,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Alamance,22.0,5.0,0.0
1,Alamance,24.0,151126.0,1.0
2,Alexander,42.0,37198.0,1.0
3,Alleghany,30.0,4.0,0.0
4,Alleghany,45.0,11151.0,1.0
5,Anson,25.0,26947.0,1.0
6,Anson,35.0,1.0,0.0
7,Ashe,30.0,97.0,0.004
8,Ashe,45.0,27184.0,0.996
9,Avery,45.0,17797.0,1.0
10,Beaufort,1.0,47759.0,1.0
11,Bertie,3.0,21282.0,1.0
12,Bladen,8.0,35189.0,1.0
13,Bladen,13.0,1.0,0.0
14,Brunswick,8.0,107431.0,1.0
15,Buncombe,48.0,45036.0,0.189
16,Buncombe,49.0,193282.0,0.811
17,Burke,42.0,50.0,0.001
18,Burke,46.0,90862.0,0.999
19,Cabarrus,34.0,30.0,0.0
20,Cabarrus,36.0,177981.0,1.0
21,Caldwell,45.0,83029.0,1.0
22,Camden,1.0,9980.0,1.0
23,Carteret,2.0,66469.0,1.0
24,Caswell,22.0,23719.0,1.0
25,Catawba,42.0,154355.0,1.0
26,Catawba,46.0,3.0,0.0
27,Chatham,23.0,63505.0,1.0
28,Cherokee,50.0,27444.0,1.0
29,Chowan,3.0,14793.0,1.0
30,Clay,50.0,10587.0,1.0
31,Cleveland,43.0,23.0,0.0
32,Cleveland,46.0,98055.0,1.0
33,Columbus,13.0,58098.0,1.0
34,Craven,2.0,103495.0,1.0
35,Craven,7.0,10.0,0.0
36,Cumberland,19.0,183181.0,0.573
37,Cumberland,21.0,136250.0,0.427
38,Currituck,1.0,23547.0,1.0
39,Dare,1.0,33920.0,1.0
40,Davidson,33.0,162878.0,1.0
41,Davie,34.0,41240.0,1.0
42,Duplin,6.0,7.0,0.0
43,Duplin,7.0,38.0,0.001
44,Duplin,10.0,58460.0,0.999
45,Durham,15.0,26.0,0.0
46,Durham,20.0,130851.0,0.489
47,Durham,22.0,136706.0,0.511
48,Durham,23.0,4.0,0.0
49,Edgecombe,3.0,56547.0,1.0
50,Edgecombe,11.0,5.0,0.0
51,Forsyth,31.0,161469.0,0.46
52,Forsyth,32.0,189201.0,0.54
53,Franklin,18.0,60619.0,1.0
54,Gaston,43.0,197027.0,0.956
55,Gaston,44.0,9059.0,0.044
56,Gates,1.0,12197.0,1.0
57,Graham,50.0,8861.0,1.0
58,Granville,20.0,59916.0,1.0
59,Greene,5.0,21362.0,1.0
60,Guilford,26.0,97801.0,0.2
61,Guilford,27.0,191161.0,0.391
62,Guilford,28.0,199439.0,0.408
63,Guilford,33.0,5.0,0.0
64,Halifax,4.0,54691.0,1.0
65,Harnett,12.0,114678.0,1.0
66,Haywood,50.0,59036.0,1.0
67,Henderson,48.0,106740.0,1.0
68,Hertford,3.0,24669.0,1.0
69,Hoke,13.0,10.0,0.0
70,Hoke,21.0,46942.0,1.0
71,Hyde,1.0,5810.0,1.0
72,Iredell,30.0,9.0,0.0
73,Iredell,34.0,46652.0,0.293
74,Iredell,44.0,112776.0,0.707
75,Jackson,50.0,40271.0,1.0
76,Johnston,7.0,1.0,0.0
77,Johnston,10.0,70119.0,0.415
78,Johnston,11.0,79485.0,0.471
79,Johnston,12.0,19273.0,0.114
80,Jones,6.0,10153.0,1.0
81,Lee,12.0,57866.0,1.0
82,Lenoir,5.0,28640.0,0.481
83,Lenoir,7.0,30855.0,0.519
84,Lincoln,42.0,144.0,0.002
85,Lincoln,44.0,78121.0,0.998
86,McDowell,47.0,44996.0,1.0
87,Macon,50.0,33922.0,1.0
88,Madison,47.0,20764.0,1.0
89,Martin,3.0,24505.0,1.0
90,Mecklenburg,36.0,6.0,0.0
91,Mecklenburg,37.0,183253.0,0.199
92,Mecklenburg,38.0,183694.0,0.2
93,Mecklenburg,39.0,181619.0,0.197
94,Mecklenburg,40.0,188928.0,0.205
95,Mecklenburg,41.0,182128.0,0.198
96,Mitchell,47.0,15579.0,1.0
97,Montgomery,33.0,27798.0,1.0
98,Moore,29.0,88247.0,1.0
99,Nash,4.0,40718.0,0.425
100,Nash,11.0,55122.0,0.575
101,New Hanover,8.0,5295.0,0.026
102,New Hanover,9.0,197372.0,0.974
103,Northampton,3.0,22099.0,1.0
104,Onslow,6.0,177772.0,1.0
105,Orange,22.0,4.0,0.0
106,Orange,23.0,133775.0,1.0
107,Orange,24.0,22.0,0.0
108,Pamlico,2.0,13144.0,1.0
109,Pasquotank,1.0,40661.0,1.0
110,Pender,8.0,52214.0,1.0
111,Pender,9.0,3.0,0.0
112,Perquimans,1.0,13453.0,1.0
113,Person,22.0,39464.0,1.0
114,Pitt,5.0,85293.0,0.507
115,Pitt,7.0,82855.0,0.493
116,Polk,47.0,20510.0,1.0
117,Randolph,24.0,37040.0,0.261
118,Randolph,29.0,104712.0,0.739
119,Richmond,25.0,46639.0,1.0
120,Robeson,13.0,134168.0,1.0
121,Rockingham,26.0,93643.0,1.0
122,Rowan,25.0,28965.0,0.209
123,Rowan,34.0,109463.0,0.791
124,Rutherford,47.0,67810.0,1.0
125,Sampson,7.0,1.0,0.0
126,Sampson,10.0,63430.0,1.0
127,Scotland,25.0,36157.0,1.0
128,Stanly,25.0,60585.0,1.0
129,Stokes,30.0,47401.0,1.0
130,Surry,30.0,73673.0,1.0
131,Swain,50.0,13981.0,1.0
132,Transylvania,48.0,33090.0,1.0
133,Tyrrell,3.0,4407.0,1.0
134,Union,35.0,189794.0,0.943
135,Union,36.0,11498.0,0.057
136,Vance,4.0,45422.0,1.0
137,Wake,12.0,10.0,0.0
138,Wake,14.0,189566.0,0.21
139,Wake,15.0,188841.0,0.21
140,Wake,16.0,199392.0,0.221
141,Wake,17.0,194407.0,0.216
142,Wake,18.0,128776.0,0.143
143,Wake,22.0,1.0,0.0
144,Warren,3.0,3.0,0.0
145,Warren,4.0,20969.0,1.0
146,Washington,3.0,13228.0,1.0
147,Watauga,45.0,51079.0,1.0
148,Wayne,5.0,46227.0,0.377
149,Wayne,7.0,76396.0,0.623
150,Wilkes,30.0,69331.0,1.0
151,Wilkes,45.0,9.0,0.0
152,Wilson,4.0,29190.0,0.359
153,Wilson,11.0,52044.0,0.641
154,Yadkin,31.0,38406.0,1.0
155,Yancey,47.0,17818.0,1.0
