,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Churchill,17.0,24877.0,1.0
1,Clark,1.0,128861.0,0.066
2,Clark,2.0,128715.0,0.066
3,Clark,3.0,128724.0,0.066
4,Clark,4.0,128783.0,0.066
5,Clark,5.0,128800.0,0.066
6,Clark,6.0,128587.0,0.066
7,Clark,7.0,128598.0,0.066
8,Clark,8.0,128218.0,0.066
9,Clark,9.0,128882.0,0.066
10,Clark,10.0,128440.0,0.066
11,Clark,11.0,128564.0,0.066
12,Clark,12.0,128846.0,0.066
13,Clark,18.0,128710.0,0.066
14,Clark,19.0,21613.0,0.011
15,Clark,20.0,128541.0,0.066
16,Clark,21.0,128387.0,0.066
17,Douglas,17.0,46997.0,1.0
18,Elko,19.0,48818.0,1.0
19,Esmeralda,14.0,783.0,1.0
20,Eureka,19.0,1987.0,1.0
21,Humboldt,14.0,16528.0,1.0
22,Lander,14.0,5775.0,1.0
23,Lincoln,19.0,5345.0,1.0
24,Lyon,17.0,51980.0,1.0
25,Mineral,14.0,4772.0,1.0
26,Nye,14.0,3133.0,0.071
27,Nye,19.0,40813.0,0.929
28,Pershing,14.0,6753.0,1.0
29,Storey,17.0,4010.0,1.0
30,Washoe,13.0,128574.0,0.305
31,Washoe,14.0,91155.0,0.216
32,Washoe,15.0,128462.0,0.305
33,Washoe,16.0,73216.0,0.174
34,White Pine,19.0,10030.0,1.0
35,Carson City,16.0,55274.0,1.0
