,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Adams,14.0,28550.0,1.0
1,Allen,12.0,106331.0,1.0
2,Ashland,22.0,53139.0,1.0
3,Ashtabula,32.0,101497.0,1.0
4,Athens,20.0,4480.0,0.069
5,Athens,30.0,60277.0,0.931
6,Auglaize,1.0,23357.0,0.508
7,Auglaize,12.0,22592.0,0.492
8,Belmont,30.0,70400.0,1.0
9,Brown,14.0,44846.0,1.0
10,Butler,4.0,349633.0,0.95
11,Butler,7.0,18497.0,0.05
12,Carroll,30.0,28836.0,1.0
13,Champaign,12.0,40097.0,1.0
14,Clark,10.0,138333.0,1.0
15,Clermont,14.0,197363.0,1.0
16,Clinton,17.0,42040.0,1.0
17,Columbiana,33.0,107841.0,1.0
18,Coshocton,31.0,36901.0,1.0
19,Crawford,26.0,43784.0,1.0
20,Cuyahoga,21.0,355248.0,0.278
21,Cuyahoga,23.0,336595.0,0.263
22,Cuyahoga,24.0,356289.0,0.278
23,Cuyahoga,25.0,231990.0,0.181
24,Darke,5.0,19137.0,0.361
25,Darke,12.0,33822.0,0.639
26,Defiance,1.0,39037.0,1.0
27,Delaware,19.0,174214.0,1.0
28,Erie,2.0,77079.0,1.0
29,Fairfield,20.0,146156.0,1.0
30,Fayette,17.0,29030.0,1.0
31,Franklin,3.0,340393.0,0.293
32,Franklin,15.0,356120.0,0.306
33,Franklin,16.0,348174.0,0.299
34,Franklin,19.0,118727.0,0.102
35,Fulton,1.0,14382.0,0.337
36,Fulton,2.0,28316.0,0.663
37,Gallia,17.0,30934.0,1.0
38,Geauga,18.0,72481.0,0.776
39,Geauga,32.0,20908.0,0.224
40,Greene,10.0,161573.0,1.0
41,Guernsey,20.0,40087.0,1.0
42,Hamilton,7.0,112804.0,0.141
43,Hamilton,8.0,346673.0,0.432
44,Hamilton,9.0,342897.0,0.427
45,Hancock,1.0,74782.0,1.0
46,Hardin,1.0,32058.0,1.0
47,Harrison,30.0,15864.0,1.0
48,Henry,1.0,28215.0,1.0
49,Highland,17.0,43589.0,1.0
50,Hocking,20.0,29380.0,1.0
51,Holmes,22.0,12788.0,0.302
52,Holmes,31.0,29578.0,0.698
53,Huron,13.0,59626.0,1.0
54,Jackson,17.0,33225.0,1.0
55,Jefferson,30.0,69709.0,1.0
56,Knox,19.0,60921.0,1.0
57,Lake,18.0,117476.0,0.511
58,Lake,25.0,112565.0,0.489
59,Lawrence,14.0,14221.0,0.228
60,Lawrence,17.0,48229.0,0.772
61,Licking,19.0,5.0,0.0
62,Licking,31.0,166487.0,1.0
63,Logan,1.0,6067.0,0.132
64,Logan,12.0,39791.0,0.868
65,Lorain,13.0,301356.0,1.0
66,Lucas,2.0,87202.0,0.197
67,Lucas,11.0,354613.0,0.803
68,Madison,10.0,43435.0,1.0
69,Mahoning,33.0,238823.0,1.0
70,Marion,26.0,66501.0,1.0
71,Medina,22.0,172332.0,1.0
72,Meigs,30.0,23770.0,1.0
73,Mercer,12.0,40814.0,1.0
74,Miami,5.0,102506.0,1.0
75,Monroe,30.0,14642.0,1.0
76,Montgomery,5.0,189011.0,0.353
77,Montgomery,6.0,346142.0,0.647
78,Morgan,20.0,15054.0,1.0
79,Morrow,26.0,34827.0,1.0
80,Muskingum,20.0,86074.0,1.0
81,Noble,30.0,14645.0,1.0
82,Ottawa,2.0,41428.0,1.0
83,Paulding,1.0,19614.0,1.0
84,Perry,31.0,36058.0,1.0
85,Pickaway,17.0,22396.0,0.402
86,Pickaway,20.0,33302.0,0.598
87,Pike,17.0,28709.0,1.0
88,Portage,18.0,161419.0,1.0
89,Preble,5.0,42270.0,1.0
90,Putnam,1.0,34499.0,1.0
91,Richland,22.0,124475.0,1.0
92,Ross,17.0,78064.0,1.0
93,Sandusky,26.0,60944.0,1.0
94,Scioto,14.0,79499.0,1.0
95,Seneca,26.0,56745.0,1.0
96,Shelby,12.0,49423.0,1.0
97,Stark,27.0,31719.0,0.084
98,Stark,29.0,343867.0,0.916
99,Summit,27.0,197421.0,0.364
100,Summit,28.0,344360.0,0.636
101,Trumbull,32.0,210312.0,1.0
102,Tuscarawas,31.0,92582.0,1.0
103,Union,26.0,52300.0,1.0
104,Van Wert,1.0,28744.0,1.0
105,Vinton,17.0,8483.0,0.631
106,Vinton,30.0,4952.0,0.369
107,Warren,7.0,212693.0,1.0
108,Washington,30.0,61778.0,1.0
109,Wayne,27.0,114520.0,1.0
110,Williams,1.0,37642.0,1.0
111,Wood,2.0,125488.0,1.0
112,Wyandot,26.0,22615.0,1.0
