,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Adair,3.0,22683.0,1.0
1,Alfalfa,19.0,5642.0,1.0
2,Atoka,5.0,3119.0,0.22
3,Atoka,6.0,11063.0,0.78
4,Beaver,27.0,5636.0,1.0
5,Beckham,26.0,22119.0,1.0
6,Blaine,26.0,11943.0,1.0
7,Bryan,6.0,42416.0,1.0
8,Caddo,26.0,29600.0,1.0
9,Canadian,22.0,42179.0,0.365
10,Canadian,23.0,28624.0,0.248
11,Canadian,44.0,10686.0,0.092
12,Canadian,45.0,34052.0,0.295
13,Carter,14.0,47557.0,1.0
14,Cherokee,3.0,13398.0,0.285
15,Cherokee,9.0,24628.0,0.524
16,Cherokee,18.0,8961.0,0.191
17,Choctaw,5.0,15205.0,1.0
18,Cimarron,27.0,2475.0,1.0
19,Cleveland,15.0,71027.0,0.278
20,Cleveland,16.0,78785.0,0.308
21,Cleveland,24.0,78934.0,0.309
22,Cleveland,45.0,27009.0,0.106
23,Coal,6.0,5925.0,1.0
24,Comanche,31.0,46590.0,0.375
25,Comanche,32.0,77508.0,0.625
26,Cotton,31.0,6193.0,1.0
27,Craig,1.0,15029.0,1.0
28,Creek,12.0,69967.0,1.0
29,Custer,26.0,5311.0,0.193
30,Custer,38.0,22158.0,0.807
31,Delaware,1.0,15786.0,0.381
32,Delaware,3.0,25701.0,0.619
33,Dewey,27.0,4810.0,1.0
34,Ellis,27.0,4151.0,1.0
35,Garfield,19.0,60580.0,1.0
36,Garvin,13.0,22970.0,0.833
37,Garvin,43.0,4606.0,0.167
38,Grady,23.0,47920.0,0.914
39,Grady,43.0,4511.0,0.086
40,Grant,19.0,4527.0,1.0
41,Greer,38.0,6239.0,1.0
42,Harmon,38.0,2922.0,1.0
43,Harper,27.0,3685.0,1.0
44,Haskell,7.0,12769.0,1.0
45,Hughes,7.0,6450.0,0.461
46,Hughes,13.0,7553.0,0.539
47,Jackson,38.0,26446.0,1.0
48,Jefferson,31.0,6472.0,1.0
49,Johnston,6.0,3674.0,0.335
50,Johnston,14.0,7283.0,0.665
51,Kay,10.0,38388.0,0.824
52,Kay,19.0,8174.0,0.176
53,Kingfisher,20.0,8464.0,0.563
54,Kingfisher,23.0,904.0,0.06
55,Kingfisher,26.0,5666.0,0.377
56,Kiowa,38.0,9446.0,1.0
57,Latimer,7.0,11154.0,1.0
58,Le Flore,4.0,35769.0,0.71
59,Le Flore,5.0,14615.0,0.29
60,Lincoln,28.0,34273.0,1.0
61,Logan,20.0,41848.0,1.0
62,Love,14.0,9423.0,1.0
63,McClain,43.0,34506.0,1.0
64,McCurtain,5.0,33151.0,1.0
65,McIntosh,8.0,20252.0,1.0
66,Major,27.0,7527.0,1.0
67,Marshall,6.0,15840.0,1.0
68,Mayes,1.0,16098.0,0.39
69,Mayes,2.0,12880.0,0.312
70,Mayes,3.0,9822.0,0.238
71,Mayes,18.0,2459.0,0.06
72,Murray,14.0,13488.0,1.0
73,Muskogee,8.0,6986.0,0.098
74,Muskogee,9.0,53393.0,0.752
75,Muskogee,18.0,10611.0,0.149
76,Noble,20.0,11561.0,1.0
77,Nowata,29.0,10536.0,1.0
78,Okfuskee,7.0,2026.0,0.166
79,Okfuskee,8.0,10165.0,0.834
80,Oklahoma,15.0,7820.0,0.011
81,Oklahoma,17.0,38724.0,0.054
82,Oklahoma,22.0,35904.0,0.05
83,Oklahoma,30.0,78904.0,0.11
84,Oklahoma,40.0,78898.0,0.11
85,Oklahoma,41.0,78319.0,0.109
86,Oklahoma,42.0,78744.0,0.11
87,Oklahoma,44.0,67622.0,0.094
88,Oklahoma,45.0,17825.0,0.025
89,Oklahoma,46.0,78069.0,0.109
90,Oklahoma,47.0,78924.0,0.11
91,Oklahoma,48.0,78880.0,0.11
92,Okmulgee,8.0,40069.0,1.0
93,Osage,10.0,40464.0,0.852
94,Osage,11.0,7008.0,0.148
95,Ottawa,1.0,31848.0,1.0
96,Pawnee,20.0,16577.0,1.0
97,Payne,21.0,77350.0,1.0
98,Pittsburg,7.0,45837.0,1.0
99,Pontotoc,13.0,37492.0,1.0
100,Pottawatomie,13.0,5498.0,0.079
101,Pottawatomie,17.0,39513.0,0.569
102,Pottawatomie,28.0,24431.0,0.352
103,Pushmataha,5.0,11572.0,1.0
104,Roger Mills,26.0,3647.0,1.0
105,Rogers,2.0,64748.0,0.745
106,Rogers,3.0,5858.0,0.067
107,Rogers,29.0,16051.0,0.185
108,Rogers,34.0,248.0,0.003
109,Seminole,13.0,5278.0,0.207
110,Seminole,28.0,20204.0,0.793
111,Sequoyah,4.0,42391.0,1.0
112,Stephens,31.0,10405.0,0.231
113,Stephens,43.0,34643.0,0.769
114,Texas,27.0,20640.0,1.0
115,Tillman,31.0,7992.0,1.0
116,Tulsa,11.0,70370.0,0.117
117,Tulsa,12.0,7555.0,0.013
118,Tulsa,18.0,1341.0,0.002
119,Tulsa,25.0,77473.0,0.128
120,Tulsa,33.0,77436.0,0.128
121,Tulsa,34.0,77845.0,0.129
122,Tulsa,35.0,77393.0,0.128
123,Tulsa,36.0,58469.0,0.097
124,Tulsa,37.0,77769.0,0.129
125,Tulsa,39.0,77752.0,0.129
126,Wagoner,18.0,54067.0,0.74
127,Wagoner,36.0,19018.0,0.26
128,Washington,29.0,50976.0,1.0
129,Washita,38.0,11629.0,1.0
130,Woods,27.0,8878.0,1.0
131,Woodward,27.0,20081.0,1.0
