,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Anderson,5.0,75129.0,1.0
1,Bedford,14.0,45058.0,1.0
2,Benton,24.0,16489.0,1.0
3,Bledsoe,15.0,12876.0,1.0
4,Blount,2.0,123010.0,1.0
5,Bradley,9.0,60497.0,0.611
6,Bradley,10.0,38466.0,0.389
7,Campbell,12.0,40716.0,1.0
8,Cannon,17.0,13801.0,1.0
9,Carroll,24.0,28522.0,1.0
10,Carter,3.0,45588.0,0.794
11,Carter,4.0,11836.0,0.206
12,Cheatham,25.0,39105.0,1.0
13,Chester,26.0,17131.0,1.0
14,Claiborne,8.0,32213.0,1.0
15,Clay,17.0,7861.0,1.0
16,Cocke,1.0,35662.0,1.0
17,Coffee,16.0,52796.0,1.0
18,Crockett,27.0,14586.0,1.0
19,Cumberland,15.0,56053.0,1.0
20,Davidson,18.0,28227.0,0.045
21,Davidson,19.0,199634.0,0.319
22,Davidson,20.0,199162.0,0.318
23,Davidson,21.0,199658.0,0.319
24,Decatur,26.0,11757.0,1.0
25,DeKalb,17.0,18723.0,1.0
26,Dickson,25.0,49666.0,1.0
27,Dyer,27.0,38335.0,1.0
28,Fayette,26.0,38413.0,1.0
29,Fentress,12.0,17959.0,1.0
30,Franklin,16.0,41052.0,1.0
31,Gibson,24.0,49683.0,1.0
32,Giles,28.0,29485.0,1.0
33,Grainger,8.0,22657.0,1.0
34,Greene,1.0,68831.0,1.0
35,Grundy,16.0,13703.0,1.0
36,Hamblen,1.0,62544.0,1.0
37,Hamilton,10.0,149359.0,0.444
38,Hamilton,11.0,187104.0,0.556
39,Hancock,8.0,6819.0,1.0
40,Hardeman,26.0,27253.0,1.0
41,Hardin,26.0,26026.0,1.0
42,Hawkins,8.0,56833.0,1.0
43,Haywood,26.0,18787.0,1.0
44,Henderson,26.0,27769.0,1.0
45,Henry,24.0,32330.0,1.0
46,Hickman,25.0,24690.0,1.0
47,Houston,22.0,8426.0,1.0
48,Humphreys,25.0,18538.0,1.0
49,Jackson,15.0,11638.0,1.0
50,Jefferson,8.0,51407.0,1.0
51,Johnson,4.0,18244.0,1.0
52,Knox,5.0,60979.0,0.141
53,Knox,6.0,185872.0,0.43
54,Knox,7.0,185375.0,0.429
55,Lake,27.0,7832.0,1.0
56,Lauderdale,27.0,27815.0,1.0
57,Lawrence,28.0,41869.0,1.0
58,Lewis,28.0,12161.0,1.0
59,Lincoln,14.0,33361.0,1.0
60,Loudon,5.0,48556.0,1.0
61,McMinn,9.0,52266.0,1.0
62,McNairy,26.0,26075.0,1.0
63,Macon,17.0,22248.0,1.0
64,Madison,27.0,98294.0,1.0
65,Marion,16.0,28237.0,1.0
66,Marshall,14.0,30617.0,1.0
67,Maury,28.0,80956.0,1.0
68,Meigs,9.0,11753.0,1.0
69,Monroe,9.0,44519.0,1.0
70,Montgomery,22.0,172331.0,1.0
71,Moore,14.0,6362.0,1.0
72,Morgan,12.0,21987.0,1.0
73,Obion,24.0,31807.0,1.0
74,Overton,15.0,22083.0,1.0
75,Perry,28.0,7915.0,1.0
76,Pickett,12.0,5077.0,1.0
77,Polk,9.0,16825.0,1.0
78,Putnam,15.0,72321.0,1.0
79,Rhea,12.0,31809.0,1.0
80,Roane,12.0,54181.0,1.0
81,Robertson,25.0,66283.0,1.0
82,Rutherford,13.0,190126.0,0.724
83,Rutherford,14.0,72478.0,0.276
84,Scott,12.0,22228.0,1.0
85,Sequatchie,16.0,14112.0,1.0
86,Sevier,1.0,22378.0,0.249
87,Sevier,2.0,67511.0,0.751
88,Shelby,29.0,197772.0,0.213
89,Shelby,30.0,197297.0,0.213
90,Shelby,31.0,197580.0,0.213
91,Shelby,32.0,137372.0,0.148
92,Shelby,33.0,197623.0,0.213
93,Smith,17.0,19166.0,1.0
94,Stewart,22.0,13324.0,1.0
95,Sullivan,4.0,156823.0,1.0
96,Sumner,18.0,160645.0,1.0
97,Tipton,32.0,61081.0,1.0
98,Trousdale,18.0,7870.0,1.0
99,Unicoi,3.0,18313.0,1.0
100,Union,8.0,19109.0,1.0
101,Van Buren,16.0,5548.0,1.0
102,Warren,16.0,39839.0,1.0
103,Washington,3.0,122979.0,1.0
104,Wayne,28.0,17021.0,1.0
105,Weakley,24.0,35021.0,1.0
106,White,15.0,25841.0,1.0
107,Williamson,23.0,183182.0,1.0
108,Wilson,17.0,113993.0,1.0
