,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Anderson,3.0,58458.0,1.0
1,Andrews,31.0,14786.0,1.0
2,Angelina,3.0,86771.0,1.0
3,Aransas,18.0,23158.0,1.0
4,Archer,30.0,9054.0,1.0
5,Armstrong,31.0,1901.0,1.0
6,Atascosa,19.0,43923.0,0.978
7,Atascosa,21.0,988.0,0.022
8,Austin,18.0,28417.0,1.0
9,Bailey,31.0,7165.0,1.0
10,Bandera,24.0,20485.0,1.0
11,Bastrop,14.0,74171.0,1.0
12,Baylor,28.0,3726.0,1.0
13,Bee,21.0,31861.0,1.0
14,Bell,24.0,310235.0,1.0
15,Bexar,19.0,490006.0,0.286
16,Bexar,21.0,11953.0,0.007
17,Bexar,25.0,410768.0,0.24
18,Bexar,26.0,802046.0,0.468
19,Blanco,24.0,10497.0,1.0
20,Borden,28.0,641.0,1.0
21,Bosque,22.0,18212.0,1.0
22,Bowie,1.0,92565.0,1.0
23,Brazoria,11.0,216713.0,0.692
24,Brazoria,17.0,96453.0,0.308
25,Brazos,5.0,194851.0,1.0
26,Brewster,19.0,9232.0,1.0
27,Briscoe,31.0,1637.0,1.0
28,Brooks,20.0,7223.0,1.0
29,Brown,24.0,38106.0,1.0
30,Burleson,18.0,17187.0,1.0
31,Burnet,24.0,42750.0,1.0
32,Caldwell,21.0,38066.0,1.0
33,Calhoun,18.0,21381.0,1.0
34,Callahan,24.0,13544.0,1.0
35,Cameron,27.0,406220.0,1.0
36,Camp,1.0,12401.0,1.0
37,Carson,31.0,6182.0,1.0
38,Cass,1.0,30464.0,1.0
39,Castro,31.0,8062.0,1.0
40,Chambers,4.0,35096.0,1.0
41,Cherokee,3.0,50845.0,1.0
42,Childress,28.0,7041.0,1.0
43,Clay,30.0,10752.0,1.0
44,Cochran,31.0,3127.0,1.0
45,Coke,28.0,3320.0,1.0
46,Coleman,28.0,8895.0,1.0
47,Collin,8.0,668605.0,0.855
48,Collin,30.0,113736.0,0.145
49,Collingsworth,31.0,3057.0,1.0
50,Colorado,18.0,20874.0,1.0
51,Comal,25.0,108472.0,1.0
52,Comanche,24.0,13974.0,1.0
53,Concho,28.0,4087.0,1.0
54,Cooke,30.0,38437.0,1.0
55,Coryell,24.0,75388.0,1.0
56,Cottle,28.0,1505.0,1.0
57,Crane,28.0,4375.0,1.0
58,Crockett,19.0,3719.0,1.0
59,Crosby,28.0,6059.0,1.0
60,Culberson,29.0,2398.0,1.0
61,Dallam,31.0,6703.0,1.0
62,Dallas,2.0,402908.0,0.17
63,Dallas,8.0,126295.0,0.053
64,Dallas,9.0,208574.0,0.088
65,Dallas,16.0,816670.0,0.345
66,Dallas,23.0,813692.0,0.344
67,Dawson,28.0,13833.0,1.0
68,Deaf Smith,31.0,19372.0,1.0
69,Delta,2.0,5231.0,1.0
70,Denton,12.0,546764.0,0.825
71,Denton,30.0,115850.0,0.175
72,DeWitt,18.0,20097.0,1.0
73,Dickens,28.0,2444.0,1.0
74,Dimmit,19.0,9996.0,1.0
75,Donley,31.0,3677.0,1.0
76,Duval,21.0,11782.0,1.0
77,Eastland,28.0,18583.0,1.0
78,Ector,31.0,137130.0,1.0
79,Edwards,19.0,2002.0,1.0
80,Ellis,22.0,149610.0,1.0
81,El Paso,29.0,800647.0,1.0
82,Erath,30.0,37890.0,1.0
83,Falls,22.0,17866.0,1.0
84,Fannin,2.0,33915.0,1.0
85,Fayette,18.0,24554.0,1.0
86,Fisher,28.0,3974.0,1.0
87,Floyd,28.0,6446.0,1.0
88,Foard,28.0,1336.0,1.0
89,Fort Bend,13.0,112495.0,0.192
90,Fort Bend,17.0,186302.0,0.318
91,Fort Bend,18.0,286578.0,0.49
92,Franklin,1.0,10605.0,1.0
93,Freestone,5.0,19816.0,1.0
94,Frio,19.0,17217.0,1.0
95,Gaines,31.0,17526.0,1.0
96,Galveston,4.0,2417.0,0.008
97,Galveston,11.0,288892.0,0.992
98,Garza,28.0,6461.0,1.0
99,Gillespie,24.0,24837.0,1.0
100,Glasscock,31.0,1226.0,1.0
101,Goliad,18.0,7210.0,1.0
102,Gonzales,18.0,19807.0,1.0
103,Gray,31.0,22535.0,1.0
104,Grayson,30.0,120877.0,1.0
105,Gregg,1.0,121730.0,1.0
106,Grimes,5.0,26604.0,1.0
107,Guadalupe,21.0,49858.0,0.379
108,Guadalupe,25.0,81675.0,0.621
109,Hale,28.0,36273.0,1.0
110,Hall,31.0,3353.0,1.0
111,Hamilton,24.0,8517.0,1.0
112,Hansford,31.0,5613.0,1.0
113,Hardeman,28.0,4139.0,1.0
114,Hardin,3.0,54635.0,1.0
115,Harris,4.0,135603.0,0.033
116,Harris,6.0,812881.0,0.199
117,Harris,7.0,809277.0,0.198
118,Harris,11.0,286165.0,0.07
119,Harris,13.0,696185.0,0.17
120,Harris,15.0,793108.0,0.194
121,Harris,17.0,521407.0,0.127
122,Harris,18.0,37833.0,0.009
123,Harrison,1.0,65631.0,1.0
124,Hartley,31.0,6062.0,1.0
125,Haskell,28.0,5899.0,1.0
126,Hays,21.0,48090.0,0.306
127,Hays,25.0,109017.0,0.694
128,Hemphill,31.0,3807.0,1.0
129,Henderson,3.0,78532.0,1.0
130,Hidalgo,20.0,448654.0,0.579
131,Hidalgo,27.0,326115.0,0.421
132,Hill,22.0,35089.0,1.0
133,Hockley,28.0,22935.0,1.0
134,Hood,22.0,51182.0,1.0
135,Hopkins,2.0,35161.0,1.0
136,Houston,3.0,23732.0,1.0
137,Howard,31.0,35012.0,1.0
138,Hudspeth,29.0,3476.0,1.0
139,Hunt,2.0,86129.0,1.0
140,Hutchinson,31.0,22150.0,1.0
141,Irion,28.0,1599.0,1.0
142,Jack,30.0,9044.0,1.0
143,Jackson,18.0,14075.0,1.0
144,Jasper,3.0,35710.0,1.0
145,Jeff Davis,29.0,2342.0,1.0
146,Jefferson,4.0,252273.0,1.0
147,Jim Hogg,21.0,5300.0,1.0
148,Jim Wells,20.0,40838.0,1.0
149,Johnson,22.0,150934.0,1.0
150,Jones,28.0,20202.0,1.0
151,Karnes,21.0,14824.0,1.0
152,Kaufman,2.0,103350.0,1.0
153,Kendall,25.0,33410.0,1.0
154,Kenedy,27.0,416.0,1.0
155,Kent,28.0,808.0,1.0
156,Kerr,24.0,49625.0,1.0
157,Kimble,28.0,4607.0,1.0
158,King,28.0,286.0,1.0
159,Kinney,19.0,3598.0,1.0
160,Kleberg,27.0,32061.0,1.0
161,Knox,28.0,3719.0,1.0
162,Lamar,1.0,49793.0,1.0
163,Lamb,28.0,13977.0,1.0
164,Lampasas,24.0,19677.0,1.0
165,La Salle,21.0,6886.0,1.0
166,Lavaca,18.0,19263.0,1.0
167,Lee,18.0,16612.0,1.0
168,Leon,5.0,16801.0,1.0
169,Liberty,3.0,75643.0,1.0
170,Limestone,5.0,23384.0,1.0
171,Lipscomb,31.0,3302.0,1.0
172,Live Oak,21.0,11531.0,1.0
173,Llano,24.0,19301.0,1.0
174,Loving,31.0,82.0,1.0
175,Lubbock,28.0,278831.0,1.0
176,Lynn,28.0,5915.0,1.0
177,McCulloch,28.0,8283.0,1.0
178,McLennan,22.0,234906.0,1.0
179,McMullen,21.0,707.0,1.0
180,Madison,5.0,13664.0,1.0
181,Marion,1.0,10546.0,1.0
182,Martin,31.0,4799.0,1.0
183,Mason,28.0,4012.0,1.0
184,Matagorda,18.0,36702.0,1.0
185,Maverick,19.0,54258.0,1.0
186,Medina,19.0,46006.0,1.0
187,Menard,28.0,2242.0,1.0
188,Midland,31.0,136872.0,1.0
189,Milam,5.0,24757.0,1.0
190,Mills,24.0,4936.0,1.0
191,Mitchell,28.0,9403.0,1.0
192,Montague,30.0,19719.0,1.0
193,Montgomery,3.0,65140.0,0.143
194,Montgomery,4.0,390606.0,0.857
195,Moore,31.0,21904.0,1.0
196,Morris,1.0,12934.0,1.0
197,Motley,28.0,1210.0,1.0
198,Nacogdoches,3.0,64524.0,1.0
199,Navarro,22.0,47735.0,1.0
200,Newton,3.0,14445.0,1.0
201,Nolan,28.0,15216.0,1.0
202,Nueces,18.0,3599.0,0.011
203,Nueces,20.0,336624.0,0.989
204,Ochiltree,31.0,10223.0,1.0
205,Oldham,31.0,2052.0,1.0
206,Orange,3.0,81837.0,1.0
207,Palo Pinto,30.0,28111.0,1.0
208,Panola,1.0,23796.0,1.0
209,Parker,30.0,116927.0,1.0
210,Parmer,31.0,10269.0,1.0
211,Pecos,19.0,15507.0,1.0
212,Polk,3.0,45413.0,1.0
213,Potter,31.0,121073.0,1.0
214,Presidio,29.0,7818.0,1.0
215,Rains,2.0,10914.0,1.0
216,Randall,31.0,120725.0,1.0
217,Reagan,28.0,3367.0,1.0
218,Real,19.0,3309.0,1.0
219,Red River,1.0,12860.0,1.0
220,Reeves,19.0,13783.0,1.0
221,Refugio,18.0,7383.0,1.0
222,Roberts,31.0,929.0,1.0
223,Robertson,5.0,16622.0,1.0
224,Rockwall,2.0,78337.0,1.0
225,Runnels,28.0,10501.0,1.0
226,Rusk,1.0,53330.0,1.0
227,Sabine,3.0,10834.0,1.0
228,San Augustine,3.0,8865.0,1.0
229,San Jacinto,3.0,26384.0,1.0
230,San Patricio,21.0,64804.0,1.0
231,San Saba,24.0,6131.0,1.0
232,Schleicher,28.0,3461.0,1.0
233,Scurry,28.0,16921.0,1.0
234,Shackelford,28.0,3378.0,1.0
235,Shelby,3.0,25448.0,1.0
236,Sherman,31.0,3034.0,1.0
237,Smith,1.0,209714.0,1.0
238,Somervell,22.0,8490.0,1.0
239,Starr,21.0,60968.0,1.0
240,Stephens,28.0,9630.0,1.0
241,Sterling,28.0,1143.0,1.0
242,Stonewall,28.0,1490.0,1.0
243,Sutton,28.0,4128.0,1.0
244,Swisher,31.0,7854.0,1.0
245,Tarrant,9.0,606877.0,0.335
246,Tarrant,10.0,834267.0,0.461
247,Tarrant,12.0,272074.0,0.15
248,Tarrant,22.0,95816.0,0.053
249,Taylor,24.0,91530.0,0.696
250,Taylor,28.0,39976.0,0.304
251,Terrell,19.0,984.0,1.0
252,Terry,28.0,12651.0,1.0
253,Throckmorton,28.0,1641.0,1.0
254,Titus,1.0,32334.0,1.0
255,Tom Green,28.0,110224.0,1.0
256,Travis,14.0,760579.0,0.743
257,Travis,21.0,142602.0,0.139
258,Travis,24.0,48656.0,0.048
259,Travis,25.0,72429.0,0.071
260,Trinity,3.0,14585.0,1.0
261,Tyler,3.0,21766.0,1.0
262,Upshur,1.0,39309.0,1.0
263,Upton,28.0,3355.0,1.0
264,Uvalde,19.0,26405.0,1.0
265,Val Verde,19.0,48879.0,1.0
266,Van Zandt,2.0,52579.0,1.0
267,Victoria,18.0,86793.0,1.0
268,Walker,5.0,67861.0,1.0
269,Waller,18.0,43205.0,1.0
270,Ward,28.0,10658.0,1.0
271,Washington,18.0,33718.0,1.0
272,Webb,21.0,250304.0,1.0
273,Wharton,18.0,41280.0,1.0
274,Wheeler,31.0,5410.0,1.0
275,Wichita,30.0,131500.0,1.0
276,Wilbarger,28.0,13535.0,1.0
277,Willacy,27.0,22134.0,1.0
278,Williamson,5.0,422677.0,1.0
279,Williamson,14.0,2.0,0.0
280,Wilson,21.0,42918.0,1.0
281,Winkler,31.0,7110.0,1.0
282,Wise,30.0,59127.0,1.0
283,Wood,1.0,41964.0,1.0
284,Yoakum,31.0,7879.0,1.0
285,Young,30.0,18550.0,1.0
286,Zapata,21.0,14018.0,1.0
287,Zavala,19.0,11677.0,1.0
