,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Accomack,6.0,33164.0,1.0
1,Albemarle,17.0,24482.0,0.247
2,Albemarle,25.0,74488.0,0.753
3,Alleghany,25.0,16250.0,1.0
4,Amelia,11.0,12690.0,1.0
5,Amherst,22.0,32353.0,1.0
6,Appomattox,22.0,14973.0,1.0
7,Arlington,30.0,55380.0,0.267
8,Arlington,31.0,116599.0,0.562
9,Arlington,32.0,35648.0,0.172
10,Augusta,24.0,73750.0,1.0
11,Bath,25.0,4731.0,1.0
12,Bedford,19.0,4865.0,0.065
13,Bedford,23.0,70033.0,0.935
14,Bland,38.0,6824.0,1.0
15,Botetourt,23.0,33148.0,1.0
16,Brunswick,15.0,11172.0,0.641
17,Brunswick,18.0,6262.0,0.359
18,Buchanan,38.0,24098.0,1.0
19,Buckingham,22.0,17146.0,1.0
20,Campbell,15.0,10415.0,0.19
21,Campbell,23.0,44427.0,0.81
22,Caroline,4.0,28545.0,1.0
23,Carroll,19.0,12708.0,0.423
24,Carroll,20.0,17334.0,0.577
25,Charles City,9.0,7256.0,1.0
26,Charlotte,15.0,12586.0,1.0
27,Chesterfield,10.0,92267.0,0.292
28,Chesterfield,11.0,171687.0,0.543
29,Chesterfield,16.0,52282.0,0.165
30,Clarke,27.0,14034.0,1.0
31,Craig,23.0,5190.0,1.0
32,Culpeper,17.0,21914.0,0.469
33,Culpeper,24.0,19084.0,0.409
34,Culpeper,27.0,5691.0,0.122
35,Cumberland,22.0,10052.0,1.0
36,Dickenson,38.0,15903.0,1.0
37,Dinwiddie,15.0,15366.0,0.549
38,Dinwiddie,16.0,12635.0,0.451
39,Essex,4.0,11151.0,1.0
40,Fairfax,30.0,64860.0,0.06
41,Fairfax,31.0,59263.0,0.055
42,Fairfax,32.0,162969.0,0.151
43,Fairfax,33.0,61629.0,0.057
44,Fairfax,34.0,173747.0,0.161
45,Fairfax,35.0,156777.0,0.145
46,Fairfax,36.0,80727.0,0.075
47,Fairfax,37.0,198267.0,0.183
48,Fairfax,39.0,123487.0,0.114
49,Fauquier,27.0,65203.0,1.0
50,Floyd,19.0,15279.0,1.0
51,Fluvanna,22.0,25691.0,1.0
52,Franklin,19.0,39144.0,0.697
53,Franklin,20.0,17015.0,0.303
54,Frederick,27.0,78305.0,1.0
55,Giles,21.0,17286.0,1.0
56,Gloucester,3.0,36858.0,1.0
57,Goochland,22.0,21717.0,1.0
58,Grayson,40.0,15533.0,1.0
59,Greene,24.0,18403.0,1.0
60,Greensville,18.0,12243.0,1.0
61,Halifax,15.0,17217.0,0.475
62,Halifax,20.0,19024.0,0.525
63,Hanover,4.0,74683.0,0.748
64,Hanover,9.0,11710.0,0.117
65,Hanover,12.0,13470.0,0.135
66,Henrico,9.0,116775.0,0.38
67,Henrico,12.0,190160.0,0.62
68,Henry,20.0,54151.0,1.0
69,Highland,25.0,2321.0,1.0
70,Isle of Wight,3.0,18951.0,0.537
71,Isle of Wight,14.0,7043.0,0.2
72,Isle of Wight,18.0,9276.0,0.263
73,James City,1.0,18847.0,0.281
74,James City,3.0,48162.0,0.719
75,King and Queen,3.0,6945.0,1.0
76,King George,4.0,5256.0,0.223
77,King George,28.0,18328.0,0.777
78,King William,3.0,15935.0,1.0
79,Lancaster,4.0,11391.0,1.0
80,Lee,40.0,25587.0,1.0
81,Loudoun,13.0,147939.0,0.474
82,Loudoun,27.0,4780.0,0.015
83,Loudoun,31.0,25043.0,0.08
84,Loudoun,33.0,134549.0,0.431
85,Louisa,17.0,23987.0,0.724
86,Louisa,22.0,9166.0,0.276
87,Lunenburg,15.0,12914.0,1.0
88,Madison,24.0,13308.0,1.0
89,Mathews,6.0,8978.0,1.0
90,Mecklenburg,15.0,32727.0,1.0
91,Middlesex,4.0,10959.0,1.0
92,Montgomery,19.0,24386.0,0.258
93,Montgomery,21.0,70003.0,0.742
94,Montgomery,38.0,3.0,0.0
95,Nelson,25.0,15020.0,1.0
96,New Kent,3.0,18429.0,1.0
97,Northampton,6.0,12389.0,1.0
98,Northumberland,4.0,12330.0,1.0
99,Nottoway,15.0,15853.0,1.0
100,Orange,17.0,33481.0,1.0
