,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Addison,Addison,36821.0,1.0
1,Bennington,Bennington,37125.0,1.0
2,Caledonia,Caledonia,31227.0,1.0
3,Chittenden,Addison,1968.0,0.013
4,Chittenden,Grand Isle-Chittenden,17067.0,0.109
5,Chittenden,Chittenden,137510.0,0.878
6,Essex,Essex-Orleans,6306.0,1.0
7,Franklin,Essex-Orleans,3509.0,0.073
8,Franklin,Franklin,44237.0,0.927
9,Grand Isle,Grand Isle-Chittenden,4972.0,0.713
10,Grand Isle,Franklin,1998.0,0.287
11,Lamoille,Essex-Orleans,1676.0,0.068
12,Lamoille,Lamoille,22799.0,0.932
13,Orange,Caledonia,8887.0,0.307
14,Orange,Orange,20049.0,0.693
15,Orleans,Essex-Orleans,27231.0,1.0
16,Rutland,Rutland,60405.0,0.98
17,Rutland,Windsor,1237.0,0.02
18,Washington,Washington,59534.0,1.0
19,Windham,Bennington,1876.0,0.042
20,Windham,Windham,40868.0,0.918
21,Windham,Windsor,1769.0,0.04
22,Windsor,Windsor,56670.0,1.0
