,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Adams,14.0,13507.0,0.647
1,Adams,24.0,7368.0,0.353
2,Ashland,25.0,16157.0,1.0
3,Barron,23.0,20.0,0.0
4,Barron,25.0,45850.0,1.0
5,Bayfield,25.0,15014.0,1.0
6,Brown,1.0,42370.0,0.171
7,Brown,2.0,72155.0,0.291
8,Brown,30.0,133482.0,0.538
9,Buffalo,31.0,13587.0,1.0
10,Burnett,10.0,9534.0,0.617
11,Burnett,25.0,5923.0,0.383
12,Calumet,1.0,34555.0,0.706
13,Calumet,9.0,8343.0,0.17
14,Calumet,20.0,6073.0,0.124
15,Chippewa,23.0,62363.0,0.999
16,Chippewa,31.0,52.0,0.001
17,Clark,23.0,33882.0,0.977
18,Clark,29.0,808.0,0.023
19,Columbia,13.0,4991.0,0.088
20,Columbia,14.0,36373.0,0.64
21,Columbia,27.0,15469.0,0.272
22,Crawford,32.0,16644.0,1.0
23,Dane,13.0,25574.0,0.052
24,Dane,14.0,4454.0,0.009
25,Dane,15.0,7747.0,0.016
26,Dane,16.0,172516.0,0.353
27,Dane,26.0,172333.0,0.353
28,Dane,27.0,105449.0,0.216
29,Dodge,13.0,70412.0,0.793
30,Dodge,14.0,10483.0,0.118
31,Dodge,18.0,7864.0,0.089
32,Door,1.0,27785.0,1.0
33,Douglas,25.0,44159.0,1.0
34,Dunn,10.0,23617.0,0.538
35,Dunn,23.0,15446.0,0.352
36,Dunn,25.0,677.0,0.015
37,Dunn,31.0,4117.0,0.094
38,Eau Claire,23.0,22681.0,0.23
39,Eau Claire,31.0,76055.0,0.77
40,Florence,12.0,4423.0,1.0
41,Fond du Lac,14.0,12169.0,0.12
42,Fond du Lac,18.0,75436.0,0.742
43,Fond du Lac,20.0,14028.0,0.138
44,Forest,12.0,9304.0,1.0
45,Grant,17.0,51208.0,1.0
46,Green,15.0,10561.0,0.287
47,Green,17.0,14974.0,0.406
48,Green,27.0,11307.0,0.307
49,Green Lake,14.0,19051.0,1.0
50,Iowa,17.0,16574.0,0.7
51,Iowa,27.0,7113.0,0.3
52,Iron,25.0,5916.0,1.0
53,Jackson,23.0,1119.0,0.055
54,Jackson,24.0,1482.0,0.072
55,Jackson,31.0,17848.0,0.873
56,Jefferson,11.0,33022.0,0.395
57,Jefferson,13.0,42638.0,0.509
58,Jefferson,15.0,8026.0,0.096
59,Juneau,14.0,2.0,0.0
60,Juneau,17.0,26662.0,1.0
61,Kenosha,11.0,3379.0,0.02
62,Kenosha,21.0,57618.0,0.346
63,Kenosha,22.0,105429.0,0.633
64,Kewaunee,1.0,20574.0,1.0
65,La Crosse,32.0,114638.0,1.0
66,Lafayette,17.0,16836.0,1.0
67,Langlade,12.0,19977.0,1.0
68,Lincoln,12.0,28743.0,1.0
69,Manitowoc,1.0,24015.0,0.295
70,Manitowoc,9.0,57427.0,0.705
71,Marathon,12.0,3548.0,0.026
72,Marathon,23.0,16102.0,0.12
73,Marathon,29.0,114413.0,0.853
74,Marinette,12.0,18928.0,0.453
75,Marinette,30.0,22821.0,0.547
76,Marquette,14.0,15404.0,1.0
77,Menominee,12.0,4232.0,1.0
78,Milwaukee,3.0,171977.0,0.181
79,Milwaukee,4.0,172425.0,0.182
80,Milwaukee,5.0,101843.0,0.107
81,Milwaukee,6.0,172292.0,0.182
82,Milwaukee,7.0,172423.0,0.182
83,Milwaukee,8.0,52324.0,0.055
84,Milwaukee,28.0,104451.0,0.11
85,Monroe,17.0,1829.0,0.041
86,Monroe,24.0,30970.0,0.693
87,Monroe,32.0,11874.0,0.266
88,Oconto,12.0,21193.0,0.563
89,Oconto,30.0,16467.0,0.437
90,Oneida,12.0,35998.0,1.0
91,Outagamie,1.0,23037.0,0.13
92,Outagamie,2.0,58041.0,0.328
93,Outagamie,14.0,1610.0,0.009
94,Outagamie,19.0,94007.0,0.532
95,Ozaukee,8.0,41972.0,0.486
96,Ozaukee,20.0,44423.0,0.514
97,Pepin,31.0,7469.0,1.0
98,Pierce,10.0,14122.0,0.344
99,Pierce,31.0,26897.0,0.656
100,Polk,10.0,41262.0,0.933
101,Polk,25.0,2943.0,0.067
102,Portage,24.0,70019.0,1.0
103,Price,25.0,14159.0,1.0
104,Racine,11.0,2149.0,0.011
105,Racine,21.0,114710.0,0.587
106,Racine,22.0,66837.0,0.342
107,Racine,28.0,11712.0,0.06
108,Richland,17.0,18021.0,1.0
109,Rock,11.0,26790.0,0.167
110,Rock,15.0,133541.0,0.833
111,Rusk,29.0,14755.0,1.0
112,St. Croix,10.0,83710.0,0.992
113,St. Croix,25.0,629.0,0.007
114,St. Croix,31.0,6.0,0.0
115,Sauk,14.0,3089.0,0.05
116,Sauk,17.0,25599.0,0.413
117,Sauk,27.0,33288.0,0.537
118,Sawyer,25.0,1630.0,0.098
119,Sawyer,29.0,14927.0,0.902
120,Shawano,2.0,33877.0,0.808
121,Shawano,12.0,8046.0,0.192
122,Shawano,14.0,26.0,0.001
123,Sheboygan,9.0,106671.0,0.924
124,Sheboygan,20.0,8836.0,0.076
125,Taylor,29.0,20689.0,1.0
126,Trempealeau,23.0,2511.0,0.087
127,Trempealeau,31.0,26305.0,0.913
128,Vernon,17.0,847.0,0.028
129,Vernon,32.0,28926.0,0.972
130,Vilas,12.0,17989.0,0.839
131,Vilas,25.0,3441.0,0.161
132,Walworth,11.0,88782.0,0.868
133,Walworth,15.0,12621.0,0.123
134,Walworth,28.0,825.0,0.008
135,Washburn,25.0,15911.0,1.0
136,Washington,8.0,30512.0,0.231
137,Washington,13.0,2736.0,0.021
138,Washington,20.0,98639.0,0.748
139,Waukesha,5.0,70578.0,0.181
140,Waukesha,8.0,47545.0,0.122
141,Waukesha,11.0,18214.0,0.047
142,Waukesha,13.0,26053.0,0.067
143,Waukesha,28.0,55230.0,0.142
144,Waukesha,33.0,172271.0,0.442
145,Waupaca,2.0,8389.0,0.16
146,Waupaca,14.0,44021.0,0.84
147,Waushara,14.0,11797.0,0.482
148,Waushara,24.0,12699.0,0.518
149,Winnebago,18.0,88422.0,0.529
150,Winnebago,19.0,78572.0,0.471
151,Wood,23.0,18017.0,0.241
152,Wood,24.0,50022.0,0.669
153,Wood,29.0,6710.0,0.09
