,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Albany,9.0,18024.0,0.497
1,Albany,10.0,17980.0,0.495
2,Albany,11.0,295.0,0.008
3,Big Horn,19.0,8588.0,0.736
4,Big Horn,20.0,3080.0,0.264
5,Campbell,1.0,9798.0,0.212
6,Campbell,23.0,16726.0,0.363
7,Campbell,24.0,19609.0,0.425
8,Carbon,11.0,15885.0,1.0
9,Converse,2.0,11011.0,0.796
10,Converse,23.0,2822.0,0.204
11,Crook,1.0,7083.0,1.0
12,Fremont,20.0,869.0,0.022
13,Fremont,25.0,19629.0,0.489
14,Fremont,26.0,19625.0,0.489
15,Goshen,3.0,12384.0,0.935
16,Goshen,6.0,865.0,0.065
17,Hot Springs,20.0,4812.0,1.0
18,Johnson,22.0,8569.0,1.0
19,Laramie,4.0,18323.0,0.2
20,Laramie,5.0,18558.0,0.202
21,Laramie,6.0,17710.0,0.193
22,Laramie,7.0,18308.0,0.2
23,Laramie,8.0,18839.0,0.205
24,Lincoln,14.0,4316.0,0.238
25,Lincoln,16.0,13790.0,0.762
26,Natrona,27.0,19026.0,0.252
27,Natrona,28.0,18544.0,0.246
28,Natrona,29.0,18933.0,0.251
29,Natrona,30.0,18947.0,0.251
30,Niobrara,3.0,2484.0,1.0
31,Park,18.0,17917.0,0.635
32,Park,19.0,9499.0,0.337
33,Park,20.0,789.0,0.028
34,Platte,2.0,8667.0,1.0
35,Sheridan,21.0,19097.0,0.656
36,Sheridan,22.0,10019.0,0.344
37,Sublette,14.0,9448.0,0.922
38,Sublette,16.0,799.0,0.078
39,Sweetwater,11.0,1831.0,0.042
40,Sweetwater,12.0,18772.0,0.429
41,Sweetwater,13.0,19467.0,0.444
42,Sweetwater,14.0,3736.0,0.085
43,Teton,16.0,3357.0,0.158
44,Teton,17.0,17937.0,0.842
45,Uinta,14.0,1617.0,0.077
46,Uinta,15.0,19501.0,0.923
47,Washakie,20.0,8533.0,1.0
48,Weston,1.0,2477.0,0.344
49,Weston,3.0,4731.0,0.656
