,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,Lauderdale,45968,1.0
1,2,Lauderdale,38960,0.857
2,2,Limestone,6526,0.143
3,3,Colbert,39982,0.87
4,3,Lauderdale,1642,0.036
5,3,Lawrence,4348,0.095
6,4,Limestone,10405,0.231
7,4,Morgan,34665,0.769
8,5,Limestone,45403,1.0
9,6,Limestone,12891,0.281
10,6,Madison,32910,0.719
11,7,Franklin,6704,0.149
12,7,Lawrence,29991,0.665
13,7,Morgan,3226,0.072
14,7,Winston,5168,0.115
15,8,Morgan,45096,1.0
16,9,Cullman,11622,0.258
17,9,Marshall,1276,0.028
18,9,Morgan,32185,0.714
19,10,Madison,45107,1.0
20,11,Blount,13228,0.292
21,11,Cullman,23714,0.524
22,11,Marshall,4022,0.089
23,11,Morgan,4318,0.095
24,12,Cullman,45070,1.0
25,13,Blount,5117,0.114
26,13,Walker,39953,0.886
27,14,Jefferson,5338,0.118
28,14,Walker,27070,0.601
29,14,Winston,12665,0.281
30,15,Jefferson,40368,0.88
31,15,Shelby,5525,0.12
32,16,Fayette,17241,0.382
33,16,Jefferson,12563,0.279
34,16,Lamar,6909,0.153
35,16,Tuscaloosa,8367,0.186
36,17,Lamar,7655,0.17
37,17,Marion,30776,0.683
38,17,Winston,6651,0.148
39,18,Colbert,14446,0.317
40,18,Franklin,25000,0.548
41,18,Lauderdale,6139,0.135
42,19,Madison,45064,1.0
43,20,Madison,45808,1.0
44,21,Madison,45625,1.0
45,22,Jackson,8837,0.193
46,22,Madison,37039,0.807
47,23,DeKalb,1582,0.034
48,23,Jackson,44390,0.966
49,24,DeKalb,45972,1.0
50,25,Limestone,7557,0.165
51,25,Madison,38152,0.835
52,26,DeKalb,6733,0.147
53,26,Marshall,38988,0.853
54,27,Blount,2510,0.055
55,27,DeKalb,3503,0.076
56,27,Marshall,39814,0.869
57,28,Etowah,45887,1.0
58,29,Calhoun,5362,0.117
59,29,DeKalb,8728,0.19
60,29,Etowah,31820,0.693
61,30,Etowah,26723,0.591
62,30,St. Clair,18493,0.409
63,31,Autauga,520,0.011
