,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,New Castle,21031,1.0
1,2,New Castle,20916,1.0
2,3,New Castle,21368,1.0
3,4,New Castle,21075,1.0
4,5,New Castle,21652,1.0
5,6,New Castle,21894,1.0
6,7,New Castle,20971,1.0
7,8,New Castle,22759,1.0
8,9,New Castle,21263,1.0
9,10,New Castle,21670,1.0
10,11,Kent,12484,0.597
11,11,New Castle,8431,0.403
12,12,New Castle,22964,1.0
13,13,New Castle,22933,1.0
14,14,Sussex,21224,1.0
15,15,New Castle,22758,1.0
16,16,New Castle,21218,1.0
17,17,New Castle,22445,1.0
18,18,New Castle,22864,1.0
19,19,New Castle,22764,1.0
20,20,Sussex,21216,1.0
21,21,New Castle,22794,1.0
22,22,New Castle,22916,1.0
23,23,New Castle,22744,1.0
24,24,New Castle,22687,1.0
25,25,New Castle,21763,1.0
26,26,New Castle,22656,1.0
27,27,New Castle,21943,1.0
28,28,Kent,21111,1.0
29,29,Kent,20818,1.0
30,30,Kent,20856,1.0
31,31,Kent,22894,1.0
32,32,Kent,21449,1.0
33,33,Kent,21462,1.0
34,34,Kent,21236,1.0
35,35,Sussex,20887,1.0
36,36,Sussex,20870,1.0
37,37,Sussex,22891,1.0
38,38,Sussex,22043,1.0
39,39,Sussex,22423,1.0
40,40,Sussex,22598,1.0
41,41,Sussex,22993,1.0
