,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,Escambia,156303,1.0
1,2,Escambia,141316,0.906
2,2,Santa Rosa,14616,0.094
3,3,Okaloosa,22041,0.139
4,3,Santa Rosa,136756,0.861
5,4,Okaloosa,158781,1.0
6,5,Bay,9586,0.06
7,5,Holmes,19927,0.125
8,5,Jackson,49746,0.312
9,5,Walton,55043,0.346
10,5,Washington,24896,0.156
11,6,Bay,159266,1.0
12,7,Calhoun,14625,0.094
13,7,Franklin,11549,0.074
14,7,Gulf,15863,0.102
15,7,Jefferson,14761,0.095
16,7,Lafayette,8870,0.057
17,7,Leon,9585,0.061
18,7,Liberty,8365,0.054
19,7,Madison,19224,0.123
20,7,Taylor,22570,0.145
21,7,Wakulla,30776,0.197
22,8,Gadsden,46389,0.298
23,8,Leon,109532,0.702
24,9,Leon,156370,1.0
25,10,Alachua,5427,0.035
26,10,Baker,27115,0.173
27,10,Columbia,67531,0.432
28,10,Hamilton,14799,0.095
29,10,Suwannee,41551,0.266
30,11,Duval,82709,0.53
31,11,Nassau,73314,0.47
32,12,Duval,156867,1.0
33,13,Duval,156504,1.0
34,14,Duval,155895,1.0
35,15,Duval,155797,1.0
36,16,Duval,156491,1.0
37,17,St. Johns,157926,1.0
38,18,Clay,154544,1.0
39,19,Bradford,28520,0.184
40,19,Clay,36321,0.235
41,19,Putnam,74364,0.481
42,19,Union,15535,0.1
43,20,Alachua,118352,0.755
44,20,Marion,38504,0.245
45,21,Alachua,123557,0.787
46,21,Dixie,16422,0.105
47,21,Gilchrist,16939,0.108
48,22,Levy,40801,0.264
49,22,Marion,113925,0.736
50,23,Marion,155606,1.0
51,24,Flagler,95696,0.606
52,24,St. Johns,32113,0.203
53,24,Volusia,30087,0.191
54,25,Volusia,155316,1.0
55,26,Volusia,154078,1.0
56,27,Volusia,155112,1.0
57,28,Seminole,158813,1.0
58,29,Seminole,159162,1.0
59,30,Orange,51410,0.329
60,30,Seminole,104743,0.671
61,31,Lake,101583,0.641
62,31,Orange,56879,0.359
63,32,Lake,155664,1.0
64,33,Lake,39805,0.254
65,33,Marion,23263,0.149
66,33,Sumter,93420,0.597
67,34,Citrus,141236,0.899
68,34,Hernando,15907,0.101
69,35,Hernando,156871,1.0
70,36,Pasco,154847,1.0
71,37,Pasco,154993,1.0
72,38,Pasco,154857,1.0
73,39,Osceola,18826,0.122
