,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,Hawaii,26763,1.0
1,2,Hawaii,26446,1.0
2,3,Hawaii,26032,1.0
3,4,Hawaii,27074,1.0
4,5,Hawaii,26252,1.0
5,6,Hawaii,26325,1.0
6,7,Hawaii,26187,1.0
7,8,Maui,26928,1.0
8,9,Maui,27045,1.0
9,10,Maui,24585,1.0
10,11,Maui,24815,1.0
11,12,Maui,25553,1.0
12,13,Kalawao,90,0.003
13,13,Maui,25908,0.997
14,14,Kauai,22810,1.0
15,15,Kauai,21955,1.0
16,16,Kauai,22326,1.0
17,17,Honolulu,25056,1.0
18,18,Honolulu,24897,1.0
19,19,Honolulu,24666,1.0
20,20,Honolulu,25405,1.0
21,21,Honolulu,25405,1.0
22,22,Honolulu,26352,1.0
23,23,Honolulu,26004,1.0
24,24,Honolulu,25380,1.0
25,25,Honolulu,24805,1.0
26,26,Honolulu,25130,1.0
27,27,Honolulu,24514,1.0
28,28,Honolulu,24629,1.0
29,29,Honolulu,24643,1.0
30,30,Honolulu,31537,1.0
31,31,Honolulu,31553,1.0
32,32,Honolulu,25649,1.0
33,33,Honolulu,25538,1.0
34,34,Honolulu,27014,1.0
35,35,Honolulu,30714,1.0
36,36,Honolulu,28107,1.0
37,37,Honolulu,27795,1.0
38,38,Honolulu,26740,1.0
39,39,Honolulu,28115,1.0
40,40,Honolulu,28985,1.0
41,41,Honolulu,28904,1.0
42,42,Honolulu,28145,1.0
43,43,Honolulu,27520,1.0
44,44,Honolulu,26678,1.0
45,45,Honolulu,32774,1.0
46,46,Honolulu,28715,1.0
47,47,Honolulu,27582,1.0
48,48,Honolulu,27348,1.0
49,49,Honolulu,27209,1.0
50,50,Honolulu,33744,1.0
51,51,Honolulu,25955,1.0
