,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,Cook,108734,1.0
1,2,Cook,108734,1.0
2,3,Cook,108734,1.0
3,4,Cook,108734,1.0
4,5,Cook,108734,1.0
5,6,Cook,108734,1.0
6,7,Cook,108734,1.0
7,8,Cook,108734,1.0
8,9,Cook,108734,1.0
9,10,Cook,108734,1.0
10,11,Cook,108734,1.0
11,12,Cook,108734,1.0
12,13,Cook,108734,1.0
13,14,Cook,108734,1.0
14,15,Cook,108735,1.0
15,16,Cook,108734,1.0
16,17,Cook,108734,1.0
17,18,Cook,108734,1.0
18,19,Cook,108734,1.0
19,20,Cook,108734,1.0
20,21,Cook,108734,1.0
21,22,Cook,108734,1.0
22,23,Cook,108734,1.0
23,24,Cook,108734,1.0
24,25,Cook,108734,1.0
25,26,Cook,108734,1.0
26,27,Cook,108734,1.0
27,28,Cook,108734,1.0
28,29,Cook,85735,0.788
29,29,Will,22999,0.212
30,30,Cook,108734,1.0
31,31,Cook,108734,1.0
32,32,Cook,108734,1.0
33,33,Cook,108734,1.0
34,34,Cook,76920,0.707
35,34,Kankakee,19346,0.178
36,34,Will,12468,0.115
37,35,Cook,108734,1.0
38,36,Cook,108734,1.0
39,37,Cook,25599,0.235
40,37,Will,83135,0.765
41,38,Cook,99123,0.912
42,38,Will,9611,0.088
43,39,Cook,108734,1.0
44,40,Cook,108734,1.0
45,41,DuPage,74916,0.689
46,41,Will,33818,0.311
47,42,DuPage,108771,1.0
48,43,Cook,23416,0.215
49,43,Kane,85318,0.785
50,44,Cook,108734,1.0
51,45,Cook,7993,0.074
52,45,DuPage,100741,0.926
53,46,DuPage,108749,1.0
54,47,Cook,7056,0.065
55,47,DuPage,101664,0.935
56,48,DuPage,108734,1.0
57,49,Cook,8023,0.074
58,49,DuPage,42075,0.387
59,49,Kane,58636,0.539
60,50,Kane,67130,0.617
61,50,Kendall,41605,0.383
62,51,Cook,646,0.006
63,51,Lake,108088,0.994
64,52,Cook,15420,0.142
65,52,Kane,12682,0.117
66,52,Lake,15697,0.144
67,52,McHenry,64939,0.597
68,53,Cook,108734,1.0
69,54,Cook,108735,1.0
70,55,Cook,108735,1.0
71,56,Cook,87432,0.804
72,56,DuPage,21302,0.196
73,57,Cook,103858,0.955
74,57,Lake,4876,0.045
75,58,Cook,8224,0.076
76,58,Lake,100511,0.924
77,59,Cook,15888,0.146
78,59,Lake,92846,0.854
79,60,Lake,108734,1.0
80,61,Lake,108734,1.0
81,62,Lake,108742,1.0
82,63,McHenry,108734,1.0
83,64,Lake,55234,0.508
84,64,McHenry,53489,0.492
85,65,Kane,100555,0.925
86,65,McHenry,8180,0.075
87,66,Kane,35316,0.325
88,66,McHenry,73418,0.675
89,67,Winnebago,108724,1.0
90,68,Winnebago,108745,1.0
91,69,Boone,46844,0.431
92,69,Winnebago,61890,0.569
93,70,Boone,7321,0.067
94,70,DeKalb,82517,0.759
95,70,Kane,18897,0.174
96,71,Carroll,5425,0.05
97,71,Henry,8085,0.074
98,71,Rock Island,38812,0.357
