,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,Cherokee,21603,0.945
1,1,Labette,1257,0.055
2,2,Allen,1549,0.068
3,2,Bourbon,1236,0.054
4,2,Crawford,15368,0.674
5,2,Neosho,4650,0.204
6,3,Crawford,23766,1.0
7,4,Anderson,625,0.027
8,4,Bourbon,13937,0.61
9,4,Linn,8284,0.363
10,5,Anderson,7477,0.33
11,5,Franklin,6752,0.298
12,5,Linn,1372,0.061
13,5,Miami,7072,0.312
14,6,Miami,22371,1.0
15,7,Labette,20350,0.904
16,7,Montgomery,2173,0.096
17,8,Johnson,22303,1.0
18,9,Allen,11822,0.524
19,9,Neosho,10746,0.476
20,10,Douglas,24177,1.0
21,11,Montgomery,23317,1.0
22,12,Butler,4674,0.207
23,12,Chautauqua,3669,0.163
24,12,Cowley,3454,0.153
25,12,Elk,769,0.034
26,12,Montgomery,9981,0.443
27,13,Elk,2113,0.093
28,13,Greenwood,6689,0.296
29,13,Neosho,1116,0.049
30,13,Wilson,9409,0.416
31,13,Woodson,3309,0.146
32,14,Johnson,22487,1.0
33,15,Johnson,22602,1.0
34,16,Johnson,22476,1.0
35,17,Johnson,21994,1.0
36,18,Johnson,22414,1.0
37,19,Johnson,22392,1.0
38,20,Johnson,22212,1.0
39,21,Johnson,22657,1.0
40,22,Johnson,22471,1.0
41,23,Johnson,22654,1.0
42,24,Johnson,22628,1.0
43,25,Johnson,22517,1.0
44,26,Johnson,19020,0.85
45,26,Miami,3344,0.15
46,27,Johnson,22161,1.0
47,28,Johnson,22470,1.0
48,29,Johnson,22416,1.0
49,30,Johnson,22620,1.0
50,31,Wyandotte,22959,1.0
51,32,Wyandotte,22560,1.0
52,33,Wyandotte,22583,1.0
53,34,Wyandotte,22252,1.0
54,35,Wyandotte,22295,1.0
55,36,Wyandotte,22362,1.0
56,37,Wyandotte,22494,1.0
57,38,Johnson,7760,0.347
58,38,Leavenworth,14586,0.653
59,39,Johnson,22691,1.0
60,40,Leavenworth,22827,1.0
61,41,Leavenworth,22808,1.0
62,42,Douglas,6636,0.293
63,42,Leavenworth,16006,0.707
64,43,Johnson,22674,1.0
65,44,Douglas,24642,1.0
66,45,Douglas,23380,1.0
67,46,Douglas,30908,1.0
68,47,Jefferson,19126,0.853
69,47,Shawnee,3303,0.147
70,48,Johnson,22319,1.0
71,49,Johnson,22897,1.0
72,50,Shawnee,22481,1.0
73,51,Lyon,1462,0.065
74,51,Pottawatomie,11840,0.524
75,51,Riley,341,0.015
76,51,Shawnee,1907,0.084
77,51,Wabaunsee,7053,0.312
78,52,Shawnee,22236,1.0
79,53,Shawnee,22584,1.0
80,54,Douglas,1083,0.049
81,54,Osage,7284,0.327
82,54,Shawnee,13922,0.625
83,55,Shawnee,23071,1.0
84,56,Shawnee,22746,1.0
85,57,Shawnee,22821,1.0
86,58,Shawnee,22863,1.0
87,59,Franklin,19240,0.853
88,59,Osage,3314,0.147
89,60,Lyon,23930,1.0
90,61,Jackson,12796,0.567
91,61,Pottawatomie,9763,0.433
92,62,Atchison,1674,0.074
93,62,Brown,9984,0.444
94,62,Jackson,666,0.03
95,62,Nemaha,10178,0.452
96,63,Atchison,15250,0.657
97,63,Doniphan,7945,0.343
98,64,Clay,8344,0.367
99,64,Riley,14418,0.633
100,65,Geary,22884,1.0
101,65,Riley,4,0.0
102,66,Pottawatomie,1,0.0
103,66,Riley,32728,1.0
104,67,Riley,23624,1.0
105,68,Chase,2790,0.122
106,68,Dickinson,2594,0.114
107,68,Geary,11478,0.504
108,68,Morris,5923,0.26
109,69,Saline,22536,1.0
110,70,Clay,191,0.009
111,70,Dickinson,17160,0.772
112,70,Marion,4874,0.219
113,71,Saline,22601,1.0
114,72,Butler,718,0.031
115,72,Harvey,22154,0.969
116,73,McPherson,22781,1.0
117,74,Harvey,12530,0.546
118,74,McPherson,2630,0.115
119,74,Marion,7786,0.339
120,75,Butler,22858,1.0
121,76,Coffey,8601,0.381
