,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1st Barnstable,Barnstable,41451,1.0
1,2nd Barnstable,Barnstable,40964,1.0
2,3rd Barnstable,Barnstable,42635,1.0
3,4th Barnstable,Barnstable,40252,1.0
4,"Barnstable, Dukes & Nantucket",Barnstable,14104,0.346
5,"Barnstable, Dukes & Nantucket",Dukes,16535,0.405
6,"Barnstable, Dukes & Nantucket",Nantucket,10172,0.249
7,1st Berkshire,Berkshire,39672,1.0
8,2nd Berkshire,Berkshire,14331,0.34
9,2nd Berkshire,Franklin,27822,0.66
10,3rd Berkshire,Berkshire,41632,1.0
11,4th Berkshire,Berkshire,35584,0.911
12,4th Berkshire,Hampden,3493,0.089
13,1st Bristol,Bristol,22900,0.576
14,1st Bristol,Norfolk,16865,0.424
15,2nd Bristol,Bristol,39950,1.0
16,3rd Bristol,Bristol,42201,1.0
17,4th Bristol,Bristol,39441,1.0
18,5th Bristol,Bristol,41773,1.0
19,6th Bristol,Bristol,42605,1.0
20,7th Bristol,Bristol,39365,1.0
21,8th Bristol,Bristol,39083,1.0
22,9th Bristol,Bristol,42195,1.0
23,10th Bristol,Bristol,23998,0.597
24,10th Bristol,Plymouth,16184,0.403
25,11th Bristol,Bristol,39731,1.0
26,12th Bristol,Bristol,16932,0.432
27,12th Bristol,Plymouth,22238,0.568
28,13th Bristol,Bristol,41562,1.0
29,14th Bristol,Bristol,39970,1.0
30,1st Essex,Essex,41982,1.0
31,2nd Essex,Essex,42873,1.0
32,3rd Essex,Essex,41064,1.0
33,4th Essex,Essex,42891,1.0
34,5th Essex,Essex,39245,1.0
35,6th Essex,Essex,39502,1.0
36,7th Essex,Essex,41340,1.0
37,8th Essex,Essex,39980,1.0
38,9th Essex,Essex,27810,0.66
39,9th Essex,Middlesex,14297,0.339
40,9th Essex,Suffolk,9,0.0
41,10th Essex,Essex,41618,1.0
42,11th Essex,Essex,39264,1.0
43,12th Essex,Essex,39947,1.0
44,13th Essex,Essex,42900,1.0
45,14th Essex,Essex,42409,1.0
46,15th Essex,Essex,42687,1.0
47,16th Essex,Essex,41039,1.0
48,17th Essex,Essex,40973,1.0
49,1st Franklin,Franklin,29793,0.722
50,1st Franklin,Hampden,1337,0.032
51,1st Franklin,Hampshire,10135,0.246
52,2nd Franklin,Franklin,13757,0.334
53,2nd Franklin,Hampshire,3612,0.088
54,2nd Franklin,Worcester,23771,0.578
55,1st Hampden,Hampden,20064,0.487
56,1st Hampden,Hampshire,6697,0.163
57,1st Hampden,Worcester,14403,0.35
58,2nd Hampden,Hampden,41215,1.0
59,3rd Hampden,Hampden,39506,1.0
60,4th Hampden,Hampden,41094,1.0
61,5th Hampden,Hampden,39880,1.0
62,6th Hampden,Hampden,39948,1.0
63,7th Hampden,Hampden,31647,0.741
64,7th Hampden,Hampshire,11037,0.259
65,8th Hampden,Hampden,40028,1.0
66,9th Hampden,Hampden,41934,1.0
67,10th Hampden,Hampden,42688,1.0
68,11th Hampden,Hampden,40284,1.0
69,12th Hampden,Hampden,39534,1.0
70,18th Essex,Essex,34865,0.832
71,18th Essex,Middlesex,7062,0.168
72,1st Hampshire,Hampden,838,0.021
73,1st Hampshire,Hampshire,39227,0.979
74,2nd Hampshire,Hampshire,41895,1.0
75,3rd Hampshire,Hampshire,42302,1.0
76,1st Middlesex,Middlesex,41064,1.0
77,2nd Middlesex,Middlesex,41961,1.0
78,3rd Middlesex,Middlesex,35759,0.88
79,3rd Middlesex,Worcester,4897,0.12
80,4th Middlesex,Middlesex,27610,0.655
81,4th Middlesex,Worcester,14528,0.345
82,5th Middlesex,Middlesex,37125,0.878
83,5th Middlesex,Norfolk,5180,0.122
84,6th Middlesex,Middlesex,41859,1.0
85,7th Middlesex,Middlesex,39335,1.0
86,8th Middlesex,Middlesex,28472,0.68
87,8th Middlesex,Worcester,13376,0.32
88,9th Middlesex,Middlesex,40086,1.0
89,10th Middlesex,Middlesex,40098,1.0
90,11th Middlesex,Middlesex,39555,1.0
