,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,York,8566,1.0
1,2,York,8733,1.0
2,3,York,8804,1.0
3,4,York,8701,1.0
4,5,York,8704,1.0
5,6,York,8733,1.0
6,7,York,8719,1.0
7,8,York,8984,1.0
8,9,York,8857,1.0
9,10,York,9058,1.0
10,11,York,9182,1.0
11,12,York,8526,1.0
12,13,York,8624,1.0
13,14,York,9179,1.0
14,15,York,8994,1.0
15,16,York,9167,1.0
16,17,York,8966,1.0
17,18,York,8967,1.0
18,19,York,8617,1.0
19,20,York,9219,1.0
20,21,York,9209,1.0
21,22,Cumberland,698,0.076
22,22,York,8516,0.924
23,23,Cumberland,9176,1.0
24,24,Cumberland,8599,1.0
25,25,Cumberland,8402,1.0
26,26,Cumberland,8861,1.0
27,27,Cumberland,8708,1.0
28,28,Cumberland,8885,1.0
29,29,Cumberland,8846,1.0
30,30,Cumberland,8502,1.0
31,31,Cumberland,8513,1.0
32,32,Cumberland,8555,1.0
33,33,Cumberland,8447,1.0
34,34,Cumberland,8982,1.0
35,35,Cumberland,8512,1.0
36,36,Cumberland,8437,1.0
37,37,Cumberland,8419,1.0
38,38,Cumberland,8429,1.0
39,39,Cumberland,8800,1.0
40,40,Cumberland,8534,1.0
41,41,Cumberland,8512,1.0
42,42,Cumberland,8605,1.0
43,43,Cumberland,8742,1.0
44,44,Cumberland,8901,1.0
45,45,Cumberland,8436,1.0
46,46,Androscoggin,3848,0.459
47,46,Cumberland,4535,0.541
48,47,Cumberland,8920,1.0
49,48,Cumberland,8383,1.0
50,49,Cumberland,9222,1.0
51,50,Cumberland,8945,1.0
52,51,Cumberland,6851,0.785
53,51,Sagadahoc,1877,0.215
54,52,Sagadahoc,8514,1.0
55,53,Lincoln,1672,0.195
56,53,Sagadahoc,6885,0.805
57,54,Sagadahoc,8784,1.0
58,55,Sagadahoc,9233,1.0
59,56,Androscoggin,9009,1.0
60,57,Androscoggin,9226,1.0
61,58,Androscoggin,9137,1.0
62,59,Androscoggin,9181,1.0
63,60,Androscoggin,9076,1.0
64,61,Androscoggin,9198,1.0
65,62,Androscoggin,8363,1.0
66,63,Androscoggin,8855,1.0
67,64,Androscoggin,8444,1.0
68,65,Androscoggin,3074,0.357
69,65,Cumberland,5542,0.643
70,66,Androscoggin,2302,0.27
71,66,Cumberland,6232,0.73
72,67,Cumberland,8487,1.0
73,68,Cumberland,7116,0.772
74,68,York,2106,0.228
75,69,Cumberland,7940,0.874
76,69,Oxford,1148,0.126
77,70,Oxford,9206,1.0
78,71,Oxford,8770,1.0
79,72,Androscoggin,3031,0.34
80,72,Oxford,5880,0.66
81,73,Oxford,8608,1.0
82,74,Androscoggin,4269,0.468
83,74,Franklin,4851,0.532
84,75,Androscoggin,9073,1.0
85,76,Kennebec,8738,1.0
86,77,Kennebec,8647,1.0
87,78,Kennebec,8404,1.0
88,79,Kennebec,8534,1.0
89,80,Kennebec,8338,0.938
90,80,Lincoln,549,0.062
91,81,Kennebec,9002,1.0
92,82,Androscoggin,1616,0.179
93,82,Kennebec,7416,0.821
94,83,Kennebec,8756,1.0
95,84,Kennebec,8435,1.0
96,85,Kennebec,8903,1.0
97,86,Kennebec,8810,1.0
98,87,Kennebec,4438,0.5
99,87,Lincoln,4441,0.5
100,88,Kennebec,2721,0.325
101,88,Lincoln,5644,0.675
102,89,Lincoln,8547,1.0
103,90,Lincoln,8529,1.0
104,91,Knox,3565,0.413
105,91,Lincoln,5075,0.587
106,92,Knox,8545,1.0
107,93,Knox,8877,1.0
108,94,Knox,8180,0.935
109,94,Waldo,566,0.065
110,95,Knox,8976,1.0
111,96,Waldo,8862,1.0
112,97,Waldo,8950,1.0
113,98,Waldo,8884,1.0
114,99,Waldo,9224,1.0
115,100,Penobscot,8983,1.0
116,101,Penobscot,8808,1.0
117,102,Penobscot,8793,1.0
118,103,Penobscot,8507,1.0
119,104,Penobscot,8703,1.0
120,105,Somerset,8998,1.0
121,106,Kennebec,3486,0.408
122,106,Somerset,5067,0.592
123,107,Somerset,8820,1.0
124,108,Somerset,8432,1.0
125,109,Kennebec,8757,1.0
126,110,Kennebec,8766,1.0
127,111,Somerset,9044,1.0
128,112,Franklin,5256,0.576
129,112,Somerset,3869,0.424
130,113,Franklin,9167,1.0
131,114,Franklin,8895,1.0
132,115,Oxford,8569,1.0
133,116,Oxford,8947,1.0
134,117,Franklin,2511,0.272
135,117,Oxford,6705,0.728
136,118,Franklin,88,0.011
137,118,Piscataquis,288,0.034
138,118,Somerset,7998,0.955
139,119,Piscataquis,8522,1.0
140,120,Piscataquis,8725,1.0
141,121,Penobscot,8651,1.0
142,122,Penobscot,8450,1.0
143,123,Penobscot,8881,1.0
144,124,Penobscot,9229,1.0
145,125,Penobscot,8403,1.0
146,126,Penobscot,8483,1.0
147,127,Penobscot,8405,1.0
148,128,Penobscot,8763,1.0
149,129,Penobscot,8860,1.0
150,130,Hancock,4924,0.569
151,130,Penobscot,3733,0.431
152,131,Hancock,6385,0.735
153,131,Waldo,2300,0.265
154,132,Hancock,9222,1.0
155,133,Hancock,8472,1.0
156,134,Hancock,6879,0.812
157,134,Knox,1593,0.188
158,135,Hancock,8890,1.0
159,136,Hancock,7231,0.865
160,136,Washington,1131,0.135
161,137,Hancock,2415,0.28
162,137,Penobscot,5829,0.676
163,137,Washington,380,0.044
164,138,Washington,9125,1.0
165,139,Washington,8995,1.0
166,140,Washington,8997,1.0
167,141,Penobscot,4474,0.514
168,141,Washington,4228,0.486
169,142,Penobscot,8393,1.0
170,143,Penobscot,8978,1.0
171,144,Aroostook,9081,1.0
172,145,Aroostook,8342,0.933
173,145,Penobscot,597,0.067
174,146,Aroostook,9178,1.0
175,147,Aroostook,9062,1.0
176,148,Aroostook,9065,1.0
177,149,Aroostook,8853,1.0
178,150,Aroostook,9101,1.0
179,151,Aroostook,9188,1.0
