,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,Belknap 01,Belknap ,3259,1
1,Belknap 02,Belknap ,13357,1
2,Belknap 03,Belknap ,15950,1
3,Belknap 04,Belknap ,6533,1
4,Belknap 05,Belknap ,9019,1
5,Belknap 06,Belknap ,7367,1
6,Belknap 07,Belknap ,4601,1
7,Belknap 08 (F),Belknap ,13620,1
8,Belknap 09 (F),Belknap ,23317,1
9,Carroll 01,Carroll ,3645,1
10,Carroll 02,Carroll ,10959,1
11,Carroll 03,Carroll ,7588,1
12,Carroll 04,Carroll ,7753,1
13,Carroll 05,Carroll ,11604,1
14,Carroll 06,Carroll ,6269,1
15,Carroll 07 (F),Carroll ,22192,1
16,Carroll 08 (F),Carroll ,19357,1
17,Cheshire 01,Cheshire ,13258,1
18,Cheshire 02,Cheshire ,3415,1
19,Cheshire 03,Cheshire ,3451,1
20,Cheshire 04,Cheshire ,4810,1
21,Cheshire 05,Cheshire ,4699,1
22,Cheshire 06,Cheshire ,4677,1
23,Cheshire 07,Cheshire ,4616,1
24,Cheshire 08,Cheshire ,4622,1
25,Cheshire 09,Cheshire ,8249,1
26,Cheshire 10,Cheshire ,4208,1
27,Cheshire 11,Cheshire ,8405,1
28,Cheshire 12,Cheshire ,8366,1
29,Cheshire 13,Cheshire ,4341,1
30,Cheshire 14 (F),Cheshire ,16654,1
31,Cheshire 15 (F),Cheshire ,16915,1
32,Cheshire 16 (F),Cheshire ,23424,1
33,Coos 01,Coos ,6314,1
34,Coos 02,Coos ,4485,1
35,Coos 03,Coos ,10051,1
36,Coos 04,Coos ,4476,1
37,Coos 05,Coos ,4496,1
38,Coos 06,Coos ,3233,1
39,Coos 07 (F),Coos ,13457,1
40,Grafton 01,Grafton ,8454,1
41,Grafton 02,Grafton ,4583,1
42,Grafton 03,Grafton ,5041,1
43,Grafton 04,Grafton ,4697,1
44,Grafton 05,Grafton ,3283,1
45,Grafton 06,Grafton ,4977,1
46,Grafton 07,Grafton ,3333,1
47,Grafton 08,Grafton ,9709,1
48,Grafton 09,Grafton ,9157,1
49,Grafton 10,Grafton ,4582,1
50,Grafton 11,Grafton ,5175,1
51,Grafton 12,Grafton ,12976,1
52,Grafton 13,Grafton ,13151,1
53,Grafton 14 (F),Grafton ,13037,1
54,Grafton 15 (F),Grafton ,9738,1
55,Grafton 16 (F),Grafton ,10152,1
56,Grafton 17 (F),Grafton ,13739,1
57,Hillsborough 01,Hillsborough ,8864,1
58,Hillsborough 02,Hillsborough ,10705,1
59,Hillsborough 03,Hillsborough ,4879,1
60,Hillsborough 04,Hillsborough ,9027,1
61,Hillsborough 05,Hillsborough ,7730,1
62,Hillsborough 06,Hillsborough ,17651,1
63,Hillsborough 07,Hillsborough ,21203,1
64,Hillsborough 08,Hillsborough ,9121,1
65,Hillsborough 09,Hillsborough ,9219,1
66,Hillsborough 10,Hillsborough ,9113,1
67,Hillsborough 11,Hillsborough ,9115,1
68,Hillsborough 12,Hillsborough ,9253,1
69,Hillsborough 13,Hillsborough ,9260,1
70,Hillsborough 14,Hillsborough ,9175,1
71,Hillsborough 15,Hillsborough ,9135,1
72,Hillsborough 16,Hillsborough ,9169,1
73,Hillsborough 17,Hillsborough ,9012,1
74,Hillsborough 18,Hillsborough ,8991,1
75,Hillsborough 19,Hillsborough ,9002,1
76,Hillsborough 20,Hillsborough ,8272,1
77,Hillsborough 21,Hillsborough ,25490,1
78,Hillsborough 22,Hillsborough ,11205,1
79,Hillsborough 23,Hillsborough ,15115,1
80,Hillsborough 24,Hillsborough ,6284,1
81,Hillsborough 25,Hillsborough ,6817,1
82,Hillsborough 26,Hillsborough ,6373,1
83,Hillsborough 27,Hillsborough ,7684,1
84,Hillsborough 28,Hillsborough ,9773,1
85,Hillsborough 29,Hillsborough ,9477,1
86,Hillsborough 30,Hillsborough ,9448,1
87,Hillsborough 31,Hillsborough ,9718,1
88,Hillsborough 32,Hillsborough ,9605,1
89,Hillsborough 33,Hillsborough ,9614,1
90,Hillsborough 34,Hillsborough ,9637,1
91,Hillsborough 35,Hillsborough ,9661,1
92,Hillsborough 36,Hillsborough ,9561,1
93,Hillsborough 37,Hillsborough ,37363,1
94,Hillsborough 38 (F),Hillsborough ,22770,1
95,Hillsborough 39 (F),Hillsborough ,28356,1
96,Hillsborough 40 (F),Hillsborough ,30529,1
97,Hillsborough 41 (F),Hillsborough ,32408,1
98,Hillsborough 42 (F),Hillsborough ,27453,1
99,Hillsborough 43 (F),Hillsborough ,36803,1
100,Hillsborough 44 (F),Hillsborough ,26576,1
101,Hillsborough 45 (F),Hillsborough ,27005,1
102,Merrimack 01,Merrimack ,4917,1
103,Merrimack 02,Merrimack ,6635,1
104,Merrimack 03,Merrimack ,7757,1
105,Merrimack 04,Merrimack ,3195,1
106,Merrimack 05,Merrimack ,6469,1
107,Merrimack 06,Merrimack ,6486,1
108,Merrimack 07,Merrimack ,4705,1
109,Merrimack 08,Merrimack ,3965,1
110,Merrimack 09,Merrimack ,7633,1
111,Merrimack 10,Merrimack ,9666,1
112,Merrimack 11,Merrimack ,4465,1
113,Merrimack 12,Merrimack ,4381,1
114,Merrimack 13,Merrimack ,4328,1
115,Merrimack 14,Merrimack ,4137,1
116,Merrimack 15,Merrimack ,4165,1
117,Merrimack 16,Merrimack ,4251,1
118,Merrimack 17,Merrimack ,4141,1
119,Merrimack 18,Merrimack ,4342,1
120,Merrimack 19,Merrimack ,4408,1
121,Merrimack 20,Merrimack ,9677,1
122,Merrimack 21,Merrimack ,8672,1
123,Merrimack 22,Merrimack ,4322,1
124,Merrimack 23,Merrimack ,10277,1
125,Merrimack 24,Merrimack ,13451,1
126,Merrimack 25 (F),Merrimack ,9622,1
127,Merrimack 26 (F),Merrimack ,19355,1
128,Merrimack 27 (F),Merrimack ,25727,1
129,Merrimack 28 (F),Merrimack ,12891,1
130,Merrimack 29 (F),Merrimack ,12994,1
131,Rockingham 01,Rockingham ,4241,1
132,Rockingham 02,Rockingham ,12974,1
