,AD #.1,County.3,"County Pop.
in AD","% of AD
in County"
0,1,Suffolk,128684,1.0
1,2,Suffolk,128787,1.0
2,3,Suffolk,128622,1.0
3,4,Suffolk,128783,1.0
4,5,Suffolk,128819,1.0
5,6,Suffolk,128520,1.0
6,7,Suffolk,128772,1.0
7,8,Suffolk,128876,1.0
8,9,Nassau,51557,0.4
9,9,Suffolk,77300,0.6
10,10,Suffolk,128827,1.0
11,11,Suffolk,128520,1.0
12,12,Suffolk,128840,1.0
13,13,Nassau,128820,1.0
14,14,Nassau,128867,1.0
15,15,Nassau,128876,1.0
16,16,Nassau,128897,1.0
17,17,Nassau,128866,1.0
18,18,Nassau,128294,1.0
19,19,Nassau,128880,1.0
20,20,Nassau,128832,1.0
21,21,Nassau,128807,1.0
22,22,Nassau,128836,0.999
23,22,Queens,101,0.001
24,23,Queens,123910,1.0
25,24,Queens,124005,1.0
26,25,Queens,124027,1.0
27,26,Queens,124021,1.0
28,27,Queens,123959,1.0
29,28,Queens,124011,1.0
30,29,Queens,123808,1.0
31,30,Queens,124010,1.0
32,31,Queens,123681,1.0
33,32,Queens,123534,1.0
34,33,Queens,123747,1.0
35,34,Queens,123963,1.0
36,35,Queens,123897,1.0
37,36,Queens,123998,1.0
38,37,Queens,124212,1.0
39,38,Queens,123926,1.0
40,39,Queens,123948,1.0
41,40,Queens,123964,1.0
42,41,Kings,124068,1.0
43,42,Kings,123835,1.0
44,43,Kings,123751,1.0
45,44,Kings,124109,1.0
46,45,Kings,124127,1.0
47,46,Kings,123947,1.0
48,47,Kings,124104,1.0
49,48,Kings,124180,1.0
50,49,Kings,124154,1.0
51,50,Kings,124059,1.0
52,51,Kings,123915,1.0
53,52,Kings,124034,1.0
54,53,Kings,123692,1.0
55,54,Kings,123474,1.0
56,55,Kings,123033,1.0
57,56,Kings,123091,1.0
58,57,Kings,123531,1.0
59,58,Kings,123901,1.0
60,59,Kings,124055,1.0
61,60,Kings,123314,1.0
62,61,Richmond,123791,1.0
63,62,Richmond,125086,1.0
64,63,Richmond,124078,1.0
65,64,Kings,28326,0.228
66,64,Richmond,95775,0.772
67,65,New York,132244,1.0
68,66,New York,132349,1.0
69,67,New York,132481,1.0
70,68,New York,131465,1.0
71,69,New York,132153,1.0
72,70,New York,131333,1.0
73,71,New York,131749,1.0
74,72,New York,132166,1.0
75,73,New York,132549,1.0
76,74,New York,132247,1.0
77,75,New York,132562,1.0
78,76,New York,132575,1.0
79,77,Bronx,125754,1.0
80,78,Bronx,125911,1.0
81,79,Bronx,125758,1.0
82,80,Bronx,126126,1.0
83,81,Bronx,126201,1.0
84,82,Bronx,126240,1.0
