,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,Le Flore,3723,0.101
1,1,McCurtain,33151,0.899
2,2,Sequoyah,37157,1.0
3,3,Le Flore,36932,1.0
4,4,Cherokee,37367,1.0
5,5,Delaware,26777,0.716
6,5,Mayes,10599,0.284
7,6,Craig,15029,0.405
8,6,Mayes,3806,0.102
9,6,Rogers,18315,0.493
10,7,Delaware,5304,0.143
11,7,Ottawa,31848,0.857
12,8,Mayes,26854,0.722
13,8,Rogers,8300,0.223
14,8,Wagoner,2044,0.055
15,9,Rogers,37325,1.0
16,10,Nowata,10536,0.283
17,10,Osage,2171,0.058
18,10,Washington,24457,0.658
19,11,Rogers,1953,0.052
20,11,Tulsa,8755,0.235
21,11,Washington,26519,0.712
22,12,Wagoner,37017,1.0
23,13,McIntosh,6313,0.17
24,13,Muskogee,30799,0.83
25,14,Cherokee,4556,0.123
26,14,Muskogee,32415,0.877
27,15,Haskell,12769,0.346
28,15,Le Flore,7068,0.192
29,15,McIntosh,5858,0.159
30,15,Muskogee,3177,0.086
31,15,Pittsburg,2802,0.076
32,15,Sequoyah,5234,0.142
33,16,Muskogee,4599,0.124
34,16,Okmulgee,26219,0.708
35,16,Tulsa,323,0.009
36,16,Wagoner,5878,0.159
37,17,Latimer,11154,0.301
38,17,Le Flore,2661,0.072
39,17,Pittsburg,23211,0.627
40,18,Coal,5925,0.161
41,18,Hughes,3046,0.083
42,18,McIntosh,8081,0.219
43,18,Pittsburg,19824,0.538
44,19,Atoka,5390,0.145
45,19,Bryan,5081,0.136
46,19,Choctaw,15205,0.408
47,19,Pushmataha,11572,0.311
48,20,Cleveland,18829,0.507
49,20,Garvin,4373,0.118
50,20,McClain,13250,0.357
51,20,Pottawatomie,712,0.019
52,21,Bryan,37335,1.0
53,22,Atoka,8792,0.236
54,22,Garvin,4796,0.129
55,22,Johnston,10957,0.294
56,22,Murray,12758,0.342
57,23,Rogers,8459,0.228
58,23,Tulsa,26099,0.704
59,23,Wagoner,2503,0.068
60,24,Hughes,10957,0.296
61,24,Okfuskee,12191,0.33
62,24,Okmulgee,13850,0.374
63,25,Pontotoc,37492,1.0
64,26,Pottawatomie,37114,1.0
65,27,Cleveland,17138,0.462
66,27,Pottawatomie,19947,0.538
67,28,Pottawatomie,11669,0.314
68,28,Seminole,25482,0.686
69,29,Creek,32721,0.88
70,29,Tulsa,4482,0.12
71,30,Creek,28187,0.764
72,30,Tulsa,8722,0.236
73,31,Logan,32000,0.868
74,31,Oklahoma,4849,0.132
75,32,Lincoln,34273,0.927
76,32,Logan,2691,0.073
77,33,Logan,504,0.014
78,33,Payne,36686,0.986
79,34,Payne,37140,1.0
80,35,Creek,8108,0.219
81,35,Noble,7329,0.198
82,35,Osage,1471,0.04
83,35,Pawnee,16577,0.448
84,35,Payne,3524,0.095
85,36,Osage,28669,0.774
86,36,Tulsa,8353,0.226
87,37,Kay,29766,0.798
88,37,Osage,7558,0.202
89,38,Garfield,4661,0.126
90,38,Grant,4527,0.123
91,38,Kay,16796,0.456
92,38,Logan,6653,0.18
93,38,Noble,4232,0.115
94,39,Oklahoma,37474,1.0
95,40,Garfield,37301,1.0
96,41,Canadian,12900,0.347
97,41,Garfield,18618,0.5
