,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,Erie,60428,1.0
1,2,Erie,61102,1.0
2,3,Erie,63364,1.0
3,4,Erie,60603,1.0
4,5,Berks,61841,1.0
5,6,Crawford,50259,0.78
6,6,Erie,14171,0.22
7,7,Mercer,63943,1.0
8,8,Butler,23313,0.382
9,8,Mercer,37664,0.618
10,9,Lawrence,60516,1.0
11,10,Beaver,27671,0.444
12,10,Butler,9239,0.148
13,10,Lawrence,25411,0.408
14,11,Butler,60755,1.0
15,12,Butler,61137,1.0
16,13,Chester,58883,0.928
17,13,Lancaster,4563,0.072
18,14,Beaver,47495,0.789
19,14,Butler,12724,0.211
20,15,Beaver,35809,0.593
21,15,Washington,24562,0.407
22,16,Allegheny,2852,0.046
23,16,Beaver,59564,0.954
24,17,Crawford,21292,0.341
25,17,Erie,20898,0.335
26,17,Lawrence,5181,0.083
27,17,Mercer,15031,0.241
28,18,Bucks,60427,1.0
29,19,Allegheny,60421,1.0
30,20,Allegheny,60424,1.0
31,21,Allegheny,60110,1.0
32,22,Lehigh,61697,1.0
33,23,Allegheny,61268,1.0
34,24,Allegheny,60119,1.0
35,25,Allegheny,61621,1.0
36,26,Chester,55908,0.865
37,26,Montgomery,8739,0.135
38,27,Allegheny,60431,1.0
39,28,Allegheny,61510,1.0
40,29,Bucks,63429,1.0
41,30,Allegheny,63379,1.0
42,31,Bucks,63073,1.0
43,32,Allegheny,64219,1.0
44,33,Allegheny,43004,0.702
45,33,Westmoreland,18273,0.298
46,34,Allegheny,60609,1.0
47,35,Allegheny,61200,1.0
48,36,Allegheny,60847,1.0
49,37,Lancaster,61166,1.0
50,38,Allegheny,64003,1.0
51,39,Allegheny,48421,0.803
52,39,Washington,11881,0.197
53,40,Allegheny,40419,0.656
54,40,Washington,21213,0.344
55,41,Lancaster,62692,1.0
56,42,Allegheny,60780,1.0
57,43,Lancaster,61192,1.0
58,44,Allegheny,61658,1.0
59,45,Allegheny,61008,1.0
60,46,Allegheny,29730,0.469
61,46,Washington,33635,0.531
62,47,York,64187,1.0
63,48,Washington,61340,1.0
64,49,Fayette,10675,0.177
65,49,Washington,49572,0.823
66,50,Fayette,17995,0.289
67,50,Greene,38686,0.621
68,50,Washington,5617,0.09
69,51,Fayette,51241,0.813
70,51,Somerset,11787,0.187
71,52,Fayette,56695,0.879
72,52,Westmoreland,7780,0.121
73,53,Montgomery,61659,1.0
74,54,Allegheny,15315,0.254
75,54,Westmoreland,45023,0.746
76,55,Armstrong,6547,0.105
77,55,Indiana,873,0.014
78,55,Westmoreland,55041,0.881
79,56,Westmoreland,60672,1.0
80,57,Westmoreland,62920,1.0
81,58,Westmoreland,64228,1.0
82,59,Somerset,13373,0.207
83,59,Westmoreland,51232,0.793
84,60,Armstrong,45302,0.737
85,60,Butler,10842,0.176
86,60,Indiana,5306,0.086
87,61,Montgomery,61503,1.0
88,62,Indiana,63460,1.0
89,63,Armstrong,17092,0.28
90,63,Clarion,39988,0.655
91,63,Forest,3990,0.065
92,64,Butler,5852,0.096
93,64,Venango,54984,0.904
94,65,Crawford,17214,0.274
95,65,Forest,3726,0.059
96,65,Warren,41815,0.666
97,66,Indiana,19241,0.299
98,66,Jefferson,45200,0.701
99,67,Cameron,5085,0.079
100,67,Mc Kean,43450,0.673
101,67,Potter,15984,0.248
102,68,Bradford,17058,0.282
103,68,Potter,1473,0.024
104,68,Tioga,41981,0.694
105,69,Bedford,12902,0.2
106,69,Somerset,51559,0.8
107,70,Montgomery,63899,1.0
108,71,Cambria,64013,0.984
109,71,Somerset,1023,0.016
110,72,Cambria,64033,1.0
111,73,Cambria,15633,0.241
112,73,Clearfield,49259,0.759
113,74,Chester,62890,1.0
114,75,Clearfield,32383,0.503
115,75,Elk,31946,0.497
116,76,Centre,24111,0.381
117,76,Clinton,39238,0.619
118,77,Centre,64021,1.0
119,78,Bedford,36860,0.574
120,78,Franklin,12476,0.194
121,78,Fulton,14845,0.231
122,79,Blair,63113,1.0
123,80,Blair,63976,1.0
124,81,Centre,15559,0.241
125,81,Huntingdon,45913,0.711
126,81,Mifflin,3075,0.048
