,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,Providence,13881,1.0
1,2,Providence,13821,1.0
2,3,Providence,13949,1.0
3,4,Providence,13713,1.0
4,5,Providence,14328,1.0
5,6,Providence,14226,1.0
6,7,Providence,14211,1.0
7,8,Providence,13987,1.0
8,9,Providence,13953,1.0
9,10,Providence,14169,1.0
10,11,Providence,14235,1.0
11,12,Providence,14094,1.0
12,13,Providence,13792,1.0
13,14,Providence,14342,1.0
14,15,Providence,14273,1.0
15,16,Providence,13831,1.0
16,17,Providence,14190,1.0
17,18,Providence,14222,1.0
18,19,Kent,12387,0.9
19,19,Providence,1370,0.1
20,20,Kent,11529,0.828
21,20,Providence,2402,0.172
22,21,Kent,13767,1.0
23,22,Kent,13749,1.0
24,23,Kent,14006,1.0
25,24,Kent,13752,1.0
26,25,Kent,13714,1.0
27,26,Kent,13705,1.0
28,27,Kent,14052,1.0
29,28,Kent,13865,1.0
30,28,Providence,4,0.0
31,29,Kent,14377,1.0
32,30,Kent,14324,1.0
33,31,Washington,14331,1.0
34,32,Washington,14007,1.0
35,33,Washington,14337,1.0
36,34,Washington,14202,1.0
37,35,Washington,14311,1.0
38,36,Washington,13958,1.0
39,37,Washington,14356,1.0
40,38,Washington,13785,1.0
41,39,Washington,13692,1.0
42,40,Kent,2931,0.204
43,40,Providence,11452,0.796
44,41,Providence,14344,1.0
45,42,Providence,14350,1.0
46,43,Providence,13811,1.0
47,44,Providence,14342,1.0
48,45,Providence,14143,1.0
49,46,Providence,14308,1.0
50,47,Providence,14378,1.0
51,48,Providence,14367,1.0
52,49,Providence,14059,1.0
53,50,Providence,13769,1.0
54,51,Providence,14043,1.0
55,52,Providence,14166,1.0
56,53,Providence,14320,1.0
57,54,Providence,14272,1.0
58,55,Providence,13920,1.0
59,56,Providence,14324,1.0
60,57,Providence,14153,1.0
61,58,Providence,14352,1.0
62,59,Providence,13750,1.0
63,60,Providence,14228,1.0
64,61,Providence,13752,1.0
65,62,Providence,14034,1.0
66,63,Providence,14379,1.0
67,64,Providence,13808,1.0
68,65,Providence,14285,1.0
69,66,Bristol,9314,0.671
70,66,Providence,4565,0.329
71,67,Bristol,13711,1.0
72,68,Bristol,13700,1.0
73,69,Bristol,13150,0.952
74,69,Newport,669,0.048
75,70,Newport,13736,1.0
76,71,Newport,13736,1.0
77,72,Newport,13684,1.0
78,73,Newport,13687,1.0
79,74,Newport,13684,1.0
80,75,Newport,13692,1.0
