,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,Bowie,92565,0.558
1,1,Franklin,10605,0.064
2,1,Lamar,49793,0.3
3,1,Red River,12860,0.078
4,2,Hopkins,35161,0.202
5,2,Hunt,86129,0.495
6,2,Van Zandt,52579,0.302
7,3,Montgomery,121750,0.738
8,3,Waller,43205,0.262
9,4,Henderson,65079,0.386
10,4,Kaufman,103350,0.614
11,5,Camp,12401,0.077
12,5,Morris,12934,0.081
13,5,Rains,10914,0.068
14,5,Smith,49706,0.31
15,5,Titus,32334,0.202
16,5,Wood,41964,0.262
17,6,Smith,160008,1.0
18,7,Gregg,121730,0.756
19,7,Upshur,39309,0.244
20,8,Anderson,58458,0.363
21,8,Freestone,19816,0.123
22,8,Hill,35089,0.218
23,8,Navarro,47735,0.296
24,9,Cass,30464,0.183
25,9,Harrison,65631,0.394
26,9,Marion,10546,0.063
27,9,Panola,23796,0.143
28,9,Sabine,10834,0.065
29,9,Shelby,25448,0.153
30,10,Ellis,149610,0.917
31,10,Henderson,13453,0.083
32,11,Cherokee,50845,0.301
33,11,Nacogdoches,64524,0.382
34,11,Rusk,53330,0.316
35,12,Brazos,31664,0.197
36,12,Falls,17866,0.111
37,12,Limestone,23384,0.146
38,12,McLennan,71037,0.442
39,12,Robertson,16622,0.104
40,13,Austin,28417,0.167
41,13,Burleson,17187,0.101
42,13,Colorado,20874,0.122
43,13,Fayette,24554,0.144
44,13,Grimes,26604,0.156
45,13,Lavaca,19263,0.113
46,13,Washington,33718,0.198
47,14,Brazos,163187,1.0
48,15,Montgomery,167349,1.0
49,16,Montgomery,166647,1.0
50,17,Bastrop,74171,0.454
51,17,Caldwell,38066,0.233
52,17,Gonzales,19807,0.121
53,17,Karnes,14824,0.091
54,17,Lee,16612,0.102
55,18,Liberty,75643,0.445
56,18,San Jacinto,26384,0.155
57,18,Walker,67861,0.399
58,19,Hardin,54635,0.318
59,19,Jasper,35710,0.208
60,19,Newton,14445,0.084
61,19,Polk,45413,0.264
62,19,Tyler,21766,0.127
63,20,Burnet,42750,0.267
64,20,Milam,24757,0.155
65,20,Williamson,92308,0.578
66,21,Jefferson,90343,0.525
67,21,Orange,81837,0.475
68,22,Jefferson,161930,1.0
69,23,Chambers,35096,0.214
70,23,Galveston,128624,0.786
71,24,Galveston,162685,1.0
72,25,Brazoria,137466,0.789
73,25,Matagorda,36702,0.211
74,26,Fort Bend,160091,1.0
75,27,Fort Bend,160080,1.0
76,28,Fort Bend,160373,1.0
77,29,Brazoria,175700,1.0
78,30,Aransas,23158,0.139
79,30,Calhoun,21381,0.129
80,30,DeWitt,20097,0.121
81,30,Goliad,7210,0.043
82,30,Refugio,7383,0.044
83,30,Victoria,86793,0.523
84,31,Atascosa,44911,0.261
85,31,Brooks,7223,0.042
86,31,Duval,11782,0.069
87,31,Jim Hogg,5300,0.031
88,31,Kenedy,416,0.002
89,31,La Salle,6886,0.04
90,31,Live Oak,11531,0.067
91,31,McMullen,707,0.004
92,31,Starr,60968,0.355
93,31,Willacy,22134,0.129
94,32,Nueces,167074,1.0
95,33,Collin,93798,0.545
96,33,Rockwall,78337,0.455
97,34,Nueces,173149,1.0
98,35,Cameron,68918,0.409
99,35,Hidalgo,99709,0.591
100,36,Hidalgo,168963,1.0
101,37,Cameron,169088,1.0
102,38,Cameron,168214,1.0
103,39,Hidalgo,168659,1.0
104,40,Hidalgo,168662,1.0
105,41,Hidalgo,168776,1.0
106,42,Webb,167668,1.0
107,43,Bee,31861,0.188
108,43,Jim Wells,40838,0.241
109,43,Kleberg,32061,0.189
110,43,San Patricio,64804,0.382
111,44,Guadalupe,131533,0.754
112,44,Wilson,42918,0.246
113,45,Blanco,10497,0.063
114,45,Hays,157107,0.937
115,46,Travis,166447,1.0
116,47,Travis,175314,1.0
117,47,Williamson,2,0.0
118,48,Travis,173008,1.0
119,49,Travis,167309,1.0
120,50,Travis,166516,1.0
121,51,Travis,175672,1.0
122,52,Williamson,165994,1.0
123,53,Bandera,20485,0.126
124,53,Crockett,3719,0.023
125,53,Edwards,2002,0.012
126,53,Kerr,49625,0.305
127,53,Kimble,4607,0.028
128,53,Llano,19301,0.118
129,53,Mason,4012,0.025
130,53,Medina,46006,0.282
131,53,Menard,2242,0.014
132,53,Real,3309,0.02
133,53,Schleicher,3461,0.021
134,53,Sutton,4128,0.025
135,54,Bell,148059,0.883
136,54,Lampasas,19677,0.117
137,55,Bell,162176,1.0
138,56,McLennan,163869,1.0
139,57,Angelina,86771,0.528
140,57,Houston,23732,0.144
141,57,Leon,16801,0.102
142,57,Madison,13664,0.083
143,57,San Augustine,8865,0.054
144,57,Trinity,14585,0.089
145,58,Bosque,18212,0.108
146,58,Johnson,150934,0.892
147,59,Comanche,13974,0.085
148,59,Coryell,75388,0.461
149,59,Erath,37890,0.232
150,59,Hamilton,8517,0.052
151,59,McCulloch,8283,0.051
152,59,Mills,4936,0.03
153,59,San Saba,6131,0.037
154,59,Somervell,8490,0.052
155,60,Brown,38106,0.222
156,60,Callahan,13544,0.079
157,60,Coleman,8895,0.052
158,60,Eastland,18583,0.108
