,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,Box Elder,34767,0.944
1,1,Cache,2073,0.056
2,2,Utah,36847,1.0
3,3,Cache,36863,1.0
4,4,Cache,36839,1.0
5,5,Cache,36881,1.0
6,6,Utah,36851,1.0
7,7,Weber,36904,1.0
8,8,Weber,36813,1.0
9,9,Weber,36845,1.0
10,10,Weber,36634,1.0
11,11,Davis,9380,0.252
12,11,Weber,27801,0.748
13,12,Davis,2255,0.061
14,12,Weber,34589,0.939
15,13,Davis,36899,1.0
16,14,Davis,36873,1.0
17,15,Davis,36852,1.0
18,16,Davis,36768,1.0
19,17,Davis,37020,1.0
20,18,Davis,36676,1.0
21,19,Davis,36901,1.0
22,20,Davis,36855,1.0
23,21,Tooele,36838,1.0
24,22,Salt Lake,36862,1.0
25,23,Salt Lake,36855,1.0
26,24,Salt Lake,36880,1.0
27,25,Salt Lake,36856,1.0
28,26,Salt Lake,36897,1.0
29,27,Salt Lake,26,0.001
30,27,Utah,36941,0.999
31,28,Salt Lake,34642,0.94
32,28,Summit,2194,0.06
33,29,Box Elder,15208,0.413
34,29,Weber,21650,0.587
35,30,Salt Lake,36858,1.0
36,31,Salt Lake,36775,1.0
37,32,Salt Lake,36839,1.0
38,33,Salt Lake,36875,1.0
39,34,Salt Lake,36851,1.0
40,35,Salt Lake,36879,1.0
41,36,Salt Lake,36843,1.0
42,37,Salt Lake,36841,1.0
43,38,Salt Lake,36847,1.0
44,39,Salt Lake,36859,1.0
45,40,Salt Lake,36836,1.0
46,41,Salt Lake,36844,1.0
47,42,Salt Lake,36857,1.0
48,43,Salt Lake,36857,1.0
49,44,Salt Lake,36847,1.0
50,45,Salt Lake,36856,1.0
51,46,Salt Lake,36718,1.0
52,47,Salt Lake,36864,1.0
53,48,Utah,37007,1.0
54,49,Salt Lake,36992,1.0
55,50,Salt Lake,36831,1.0
56,51,Salt Lake,36827,1.0
57,52,Salt Lake,36841,1.0
58,53,Daggett,1059,0.029
59,53,Duchesne,3217,0.087
60,53,Morgan,9469,0.257
61,53,Rich,2264,0.061
62,53,Summit,20820,0.565
63,54,Summit,13310,0.361
64,54,Wasatch,23530,0.639
65,55,Duchesne,4388,0.119
66,55,Uintah,32588,0.881
67,56,Utah,36765,1.0
68,57,Utah,36944,1.0
69,58,Juab,9366,0.254
70,58,Sanpete,27470,0.746
71,59,Utah,36764,1.0
72,60,Utah,36686,1.0
73,61,Utah,36846,1.0
74,62,Washington,36835,1.0
75,63,Utah,36855,1.0
76,64,Utah,36834,1.0
77,65,Utah,36845,1.0
78,66,Utah,36866,1.0
79,67,Utah,36865,1.0
80,68,Beaver,1413,0.038
81,68,Juab,880,0.024
82,68,Millard,12503,0.34
83,68,Tooele,21380,0.581
84,68,Utah,648,0.018
85,69,Carbon,21403,0.583
86,69,Duchesne,11002,0.3
87,69,Emery,1120,0.031
88,69,Grand,3162,0.086
89,70,Emery,9856,0.268
90,70,Grand,6063,0.165
91,70,Sanpete,352,0.01
92,70,Sevier,20559,0.558
93,71,Iron,9346,0.253
94,71,Washington,27546,0.747
95,72,Iron,36817,1.0
96,73,Beaver,5216,0.142
97,73,Garfield,5172,0.14
98,73,Kane,7125,0.193
99,73,Piute,1556,0.042
100,73,San Juan,14746,0.4
101,73,Sevier,243,0.007
102,73,Wayne,2778,0.075
103,74,Washington,36842,1.0
104,75,Washington,36892,1.0
