,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,Addison 1,Addison,8496,1.0
1,Addison 2,Addison,4496,1.0
2,Addison 3,Addison,7897,1.0
3,Addison 4,Addison,8922,1.0
4,Addison 5,Addison,3778,1.0
5,Addison-Rutland,Addison,2934,0.735
6,Addison-Rutland,Rutland,1056,0.265
7,Bennington 1,Bennington,3951,1.0
8,Bennington 3,Bennington,3840,1.0
9,Bennington 4,Bennington,7827,1.0
10,Bennington-Rutland,Bennington,2564,0.621
11,Bennington-Rutland,Rutland,1566,0.379
12,Bennington 2-1,Bennington,7997,1.0
13,Bennington 2-2,Bennington,7767,1.0
14,Chittenden 1,Chittenden,4081,1.0
15,Chittenden 2,Chittenden,8698,1.0
16,Chittenden 3,Chittenden,8025,1.0
17,Chittenden 10,Chittenden,9039,1.0
18,Chittenden 4-1,Chittenden,3787,1.0
19,Chittenden 4-2,Chittenden,4363,1.0
20,Chittenden 5-1,Chittenden,3843,1.0
21,Chittenden 5-2,Chittenden,3975,1.0
22,Chittenden 6-1,Chittenden,8257,1.0
23,Chittenden 6-2,Chittenden,3879,1.0
24,Chittenden 6-3,Chittenden,8513,1.0
25,Chittenden 6-4,Chittenden,9706,1.0
26,Chittenden 6-5,Chittenden,8623,1.0
27,Chittenden 6-6,Chittenden,3173,1.0
28,Chittenden 6-7,Chittenden,7533,1.0
29,Chittenden 7-1,Chittenden,4533,1.0
30,Chittenden 7-2,Chittenden,4299,1.0
31,Chittenden 7-3,Chittenden,4518,1.0
32,Chittenden 7-4,Chittenden,4554,1.0
33,Chittenden 8-1,Chittenden,8199,1.0
34,Chittenden 8-2,Chittenden,9070,1.0
35,Chittenden 8-3,Chittenden,4347,1.0
36,Chittenden 9-1,Chittenden,9012,1.0
37,Chittenden 9-2,Chittenden,8055,1.0
38,Caledonia 1,Caledonia,4162,1.0
39,Caledonia 2,Caledonia,4161,1.0
40,Caledonia 3,Caledonia,7603,1.0
41,Caledonia 4,Caledonia,8763,1.0
42,Caledonia-Washington,Caledonia,2928,0.671
43,Caledonia-Washington,Washington,1433,0.329
44,Essex-Caledonia,Caledonia,493,0.131
45,Essex-Caledonia,Essex,3268,0.869
46,Essex-Caledonia-Orleans,Caledonia,581,0.146
47,Essex-Caledonia-Orleans,Essex,3038,0.765
48,Essex-Caledonia-Orleans,Orleans,350,0.088
49,Franklin 1,Franklin,4515,1.0
50,Franklin 2,Franklin,4285,1.0
51,Franklin 4,Franklin,8617,1.0
52,Franklin 5,Franklin,8940,1.0
53,Franklin 6,Franklin,4490,1.0
54,Franklin 7,Franklin,3982,1.0
55,Franklin 3-1,Franklin,8583,1.0
56,Franklin 3-2,Franklin,4334,1.0
57,Grand Isle-Chittenden,Chittenden,1313,0.159
58,Grand Isle-Chittenden,Grand Isle,6970,0.841
59,Lamoille 1,Lamoille,4314,1.0
60,Lamoille 2,Lamoille,8424,1.0
61,Lamoille 3,Lamoille,4332,1.0
62,Lamoille-Washington,Lamoille,6082,0.762
63,Lamoille-Washington,Washington,1904,0.238
64,Orleans 1,Orleans,8010,1.0
65,Orleans 2,Orleans,8843,1.0
66,Orange-Caledonia,Caledonia,1022,0.232
67,Orange-Caledonia,Orange,3389,0.768
68,Orleans-Lamoille,Lamoille,1323,0.293
69,Orleans-Lamoille,Orleans,3187,0.707
70,Orleans-Caledonia,Caledonia,1514,0.181
71,Orleans-Caledonia,Orleans,6841,0.819
72,Orange 1,Orange,8835,1.0
73,Orange 2,Orange,4426,1.0
74,Orange-Washington-Addison,Addison,298,0.036
75,Orange-Washington-Addison,Orange,7316,0.881
76,Orange-Washington-Addison,Washington,691,0.083
77,Rutland 1,Rutland,3864,1.0
78,Rutland 2,Rutland,8871,1.0
79,Rutland 3,Rutland,8421,1.0
80,Rutland 4,Rutland,4054,1.0
81,Rutland 6,Rutland,7517,1.0
82,Rutland-Bennington,Bennington,714,0.157
83,Rutland-Bennington,Rutland,3831,0.843
84,Rutland-Windsor 1,Rutland,3128,0.77
85,Rutland-Windsor 1,Windsor,936,0.23
86,Rutland 5-1,Rutland,4134,1.0
87,Rutland 5-2,Rutland,3998,1.0
88,Rutland 5-3,Rutland,4099,1.0
89,Rutland 5-4,Rutland,4264,1.0
90,Rutland-Windsor 2,Rutland,2293,0.539
91,Rutland-Windsor 2,Windsor,1963,0.461
92,Windham 1,Windham,4327,1.0
93,Windham 3,Windham,7575,1.0
94,Windham 4,Windham,7521,1.0
95,Windham 5,Windham,4036,1.0
96,Windham 6,Windham,3912,1.0
97,Windham 2-1,Windham,4198,1.0
98,Windham 2-2,Windham,3932,1.0
99,Windham 2-3,Windham,3916,1.0
100,Washington 1,Washington,9094,1.0
101,Washington 2,Washington,7924,1.0
102,Washington 3,Washington,9052,1.0
103,Washington 4,Washington,7855,1.0
104,Washington 5,Washington,4307,1.0
105,Washington 6,Washington,4438,1.0
106,Washington 7,Washington,7772,1.0
107,Washington-Chittenden,Chittenden,3150,0.383
108,Washington-Chittenden,Washington,5064,0.617
109,Windham-Bennington-Windsor,Bennington,769,0.177
110,Windham-Bennington-Windsor,Windham,3020,0.693
111,Windham-Bennington-Windsor,Windsor,566,0.13
112,Windham-Bennington,Bennington,1696,0.45
113,Windham-Bennington,Windham,2076,0.55
114,Windsor 1,Windsor,8045,1.0
115,Windsor 2,Windsor,4192,1.0
116,Windsor 5,Windsor,4333,1.0
117,Windsor-Rutland,Rutland,546,0.123
118,Windsor-Rutland,Windsor,3905,0.877
119,Windsor 3-1,Windsor,4196,1.0
120,Windsor 3-2,Windsor,9042,1.0
121,Windsor 4-1,Windsor,3882,1.0
122,Windsor 4-2,Windsor,7921,1.0
123,Windsor-Orange 1,Orange,1284,0.316
124,Windsor-Orange 1,Windsor,2773,0.684
125,Windsor-Orange 2,Orange,3686,0.429
126,Windsor-Orange 2,Windsor,4916,0.571
