,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,Crook,7083,0.741
1,1,Weston,2477,0.259
2,2,Goshen,2621,0.266
3,2,Niobrara,2484,0.253
4,2,Weston,4731,0.481
5,3,Campbell,6915,0.71
6,3,Converse,2822,0.29
7,4,Converse,1182,0.12
8,4,Platte,8667,0.88
9,5,Goshen,9763,1.0
10,6,Converse,9829,1.0
11,7,Laramie,9307,1.0
12,8,Laramie,9052,1.0
13,9,Laramie,9469,1.0
14,10,Goshen,865,0.095
15,10,Laramie,8241,0.905
16,11,Laramie,9026,1.0
17,12,Laramie,9810,1.0
18,13,Albany,9061,1.0
19,14,Albany,9038,1.0
20,15,Carbon,9077,1.0
21,16,Teton,9002,1.0
22,17,Sweetwater,9453,1.0
23,18,Lincoln,4316,0.446
24,18,Sweetwater,3736,0.386
25,18,Uinta,1617,0.167
26,19,Uinta,9694,1.0
27,20,Sublette,9448,1.0
28,21,Lincoln,8937,1.0
29,22,Lincoln,4853,0.539
30,22,Sublette,799,0.089
31,22,Teton,3357,0.373
32,23,Teton,8935,1.0
33,24,Park,8983,1.0
34,25,Park,9123,1.0
35,26,Big Horn,8588,0.958
36,26,Park,376,0.042
37,27,Big Horn,536,0.059
38,27,Washakie,8533,0.941
39,28,Big Horn,2544,0.282
40,28,Fremont,869,0.096
41,28,Hot Springs,4812,0.534
42,28,Park,789,0.088
43,29,Sheridan,9302,1.0
44,30,Sheridan,9598,1.0
45,31,Campbell,9811,1.0
46,32,Campbell,9779,1.0
47,33,Fremont,9771,1.0
48,34,Fremont,9769,1.0
49,35,Natrona,9766,1.0
50,36,Natrona,9260,1.0
51,37,Natrona,9167,1.0
52,38,Natrona,9746,1.0
53,39,Sweetwater,9744,1.0
54,40,Johnson,8569,0.953
55,40,Sheridan,421,0.047
56,41,Laramie,9016,1.0
57,42,Laramie,9506,1.0
58,43,Laramie,9282,1.0
59,44,Laramie,9029,1.0
60,45,Albany,8963,1.0
61,46,Albany,8942,1.0
62,47,Albany,295,0.033
63,47,Carbon,6808,0.762
64,47,Sweetwater,1831,0.205
65,48,Sweetwater,9319,1.0
66,49,Uinta,9807,1.0
67,50,Park,8934,1.0
68,51,Sheridan,9795,1.0
69,52,Campbell,9798,1.0
70,53,Campbell,9830,1.0
71,54,Fremont,9858,1.0
72,55,Fremont,9856,1.0
73,56,Natrona,9344,1.0
74,57,Natrona,9200,1.0
75,58,Natrona,9201,1.0
76,59,Natrona,9766,1.0
77,60,Sweetwater,9723,1.0
