,SD #.1,County.1,"County Pop.
in SD","% of SD
in County"
0,1.0,Bryan,30233.0,0.176
1,1.0,Chatham,93061.0,0.543
2,1.0,Liberty,48019.0,0.28
3,2.0,Chatham,172067.0,1.0
4,3.0,Brantley,18411.0,0.107
5,3.0,Camden,50513.0,0.294
6,3.0,Charlton,9069.0,0.053
7,3.0,Glynn,79626.0,0.463
8,3.0,McIntosh,14333.0,0.083
9,4.0,Bulloch,70217.0,0.406
10,4.0,Candler,10998.0,0.064
11,4.0,Effingham,52250.0,0.302
12,4.0,Emanuel,15935.0,0.092
13,4.0,Evans,11000.0,0.064
14,4.0,Tattnall,12675.0,0.073
15,5.0,Gwinnett,172513.0,1.0
16,6.0,Cobb,95336.0,0.549
17,6.0,Fulton,78361.0,0.451
18,7.0,Atkinson,8375.0,0.049
19,7.0,Bacon,11096.0,0.065
20,7.0,Ben Hill,17634.0,0.103
21,7.0,Berrien,19286.0,0.112
22,7.0,Charlton,3102.0,0.018
23,7.0,Coffee,42356.0,0.247
24,7.0,Irwin,9538.0,0.056
25,7.0,Pierce,18758.0,0.109
26,7.0,Ware,36312.0,0.212
27,7.0,Wilcox,5041.0,0.029
28,8.0,Brooks,16243.0,0.095
29,8.0,Clinch,6798.0,0.04
30,8.0,Cook,17212.0,0.1
31,8.0,Echols,4034.0,0.024
32,8.0,Lanier,10078.0,0.059
33,8.0,Lowndes,109233.0,0.637
34,8.0,Thomas,7785.0,0.045
35,9.0,Gwinnett,173867.0,1.0
36,10.0,DeKalb,83713.0,0.486
37,10.0,Henry,88673.0,0.514
38,11.0,Colquitt,45498.0,0.264
39,11.0,Decatur,27842.0,0.161
40,11.0,Early,11008.0,0.064
41,11.0,Grady,25011.0,0.145
42,11.0,Miller,6125.0,0.035
43,11.0,Mitchell,11436.0,0.066
44,11.0,Seminole,8729.0,0.051
45,11.0,Thomas,36935.0,0.214
46,12.0,Baker,3451.0,0.02
47,12.0,Calhoun,6694.0,0.039
48,12.0,Clay,3183.0,0.018
49,12.0,Dougherty,94565.0,0.547
50,12.0,Mitchell,12062.0,0.07
51,12.0,Quitman,2513.0,0.015
52,12.0,Randolph,7719.0,0.045
53,12.0,Stewart,6058.0,0.035
54,12.0,Sumter,24672.0,0.143
55,12.0,Terrell,9315.0,0.054
56,12.0,Webster,2799.0,0.016
57,13.0,Crisp,23439.0,0.137
58,13.0,Dodge,21796.0,0.127
59,13.0,Dooly,14918.0,0.087
60,13.0,Lee,28298.0,0.165
61,13.0,Sumter,8147.0,0.047
62,13.0,Tift,40118.0,0.234
63,13.0,Turner,8930.0,0.052
64,13.0,Wilcox,4214.0,0.025
65,13.0,Worth,21679.0,0.126
66,14.0,Bartow,61564.0,0.356
67,14.0,Cherokee,91011.0,0.526
68,14.0,Cobb,20576.0,0.119
69,15.0,Chattahoochee,11267.0,0.065
70,15.0,Macon,14740.0,0.085
71,15.0,Marion,8742.0,0.05
72,15.0,Muscogee,117750.0,0.68
73,15.0,Schley,5010.0,0.029
74,15.0,Talbot,6865.0,0.04
75,15.0,Taylor,8906.0,0.051
76,16.0,Fayette,71753.0,0.417
77,16.0,Lamar,18317.0,0.106
78,16.0,Pike,17869.0,0.104
79,16.0,Spalding,64073.0,0.372
80,17.0,Henry,115249.0,0.671
81,17.0,Newton,38866.0,0.226
82,17.0,Rockdale,17707.0,0.103
83,18.0,Bibb,52830.0,0.305
84,18.0,Crawford,12630.0,0.073
85,18.0,Houston,26250.0,0.152
86,18.0,Monroe,26424.0,0.153
87,18.0,Peach,27695.0,0.16
88,18.0,Upson,27153.0,0.157
89,19.0,Appling,18236.0,0.105
90,19.0,Jeff Davis,15068.0,0.087
91,19.0,Liberty,15434.0,0.089
92,19.0,Long,14464.0,0.083
93,19.0,Montgomery,9123.0,0.053
94,19.0,Tattnall,12845.0,0.074
95,19.0,Telfair,16500.0,0.095
96,19.0,Toombs,27223.0,0.157
97,19.0,Treutlen,6885.0,0.04
98,19.0,Wayne,30099.0,0.174
99,19.0,Wheeler,7421.0,0.043
100,20.0,Bleckley,13063.0,0.075
101,20.0,Houston,100352.0,0.577
102,20.0,Laurens,48434.0,0.279
103,20.0,Pulaski,12010.0,0.069
104,21.0,Cherokee,117110.0,0.671
105,21.0,Fulton,57398.0,0.329
106,22.0,Richmond,171645.0,1.0
107,23.0,Burke,23316.0,0.136
108,23.0,Columbia,32670.0,0.19
109,23.0,Emanuel,6663.0,0.039
110,23.0,Glascock,3082.0,0.018
111,23.0,Jefferson,16930.0,0.099
112,23.0,Jenkins,8340.0,0.049
113,23.0,Johnson,9980.0,0.058
114,23.0,McDuffie,21875.0,0.128
115,23.0,Richmond,28276.0,0.165
116,23.0,Screven,14593.0,0.085
117,23.0,Warren,5834.0,0.034
118,24.0,Columbia,91383.0,0.529
119,24.0,Elbert,20166.0,0.117
120,24.0,Hart,25213.0,0.146
121,24.0,Lincoln,7996.0,0.046
122,24.0,Oglethorpe,14899.0,0.086
123,24.0,Richmond,628.0,0.004
124,24.0,Taliaferro,1717.0,0.01
125,24.0,Wilkes,10593.0,0.061
126,25.0,Baldwin,45720.0,0.263
127,25.0,Bibb,11764.0,0.068
128,25.0,Butts,23655.0,0.136
129,25.0,Greene,15994.0,0.092
130,25.0,Hancock,20.0,0.0
131,25.0,Jasper,13900.0,0.08
132,25.0,Jones,10771.0,0.062
133,25.0,Morgan,17868.0,0.103
134,25.0,Putnam,21218.0,0.122
135,25.0,Walton,13126.0,0.075
136,26.0,Bibb,90953.0,0.531
137,26.0,Hancock,9409.0,0.055
138,26.0,Houston,13298.0,0.078
139,26.0,Jones,17898.0,0.104
140,26.0,Twiggs,9023.0,0.053
141,26.0,Washington,21187.0,0.124
142,26.0,Wilkinson,9563.0,0.056
143,27.0,Forsyth,172726.0,1.0
144,28.0,Carroll,11556.0,0.067
145,28.0,Coweta,127317.0,0.739
146,28.0,Fulton,2367.0,0.014
147,28.0,Heard,11834.0,0.069
148,28.0,Troup,19284.0,0.112
149,29.0,Harris,32024.0,0.184
150,29.0,Meriwether,21992.0,0.126
151,29.0,Muscogee,72135.0,0.415
152,29.0,Troup,47760.0,0.275
153,30.0,Carroll,98971.0,0.574
154,30.0,Douglas,35279.0,0.204
155,30.0,Paulding,38281.0,0.222
156,31.0,Haralson,28780.0,0.165
157,31.0,Paulding,104043.0,0.597
158,31.0,Polk,41475.0,0.238
159,32.0,Cobb,153221.0,0.879
160,32.0,Fulton,21050.0,0.121
161,33.0,Cobb,174114.0,1.0
162,34.0,Clayton,138249.0,0.799
163,34.0,Fayette,34814.0,0.201
164,35.0,Douglas,97124.0,0.559
165,35.0,Fulton,76604.0,0.441
166,36.0,Fulton,172083.0,1.0
167,37.0,Cobb,172832.0,1.0
168,38.0,Cobb,71999.0,0.413
169,38.0,Fulton,102542.0,0.587
170,39.0,Fulton,173809.0,1.0
171,40.0,DeKalb,136349.0,0.786
172,40.0,Fulton,9738.0,0.056
173,40.0,Gwinnett,27452.0,0.158
174,41.0,DeKalb,126251.0,0.728
175,41.0,Gwinnett,47201.0,0.272
176,42.0,DeKalb,172447.0,1.0
177,43.0,DeKalb,43505.0,0.253
178,43.0,Newton,61092.0,0.355
179,43.0,Rockdale,67508.0,0.392
180,44.0,Clayton,121175.0,0.695
181,44.0,DeKalb,53289.0,0.305
182,45.0,Gwinnett,173558.0,1.0
183,46.0,Clarke,70780.0,0.406
184,46.0,Oconee,32808.0,0.188
185,46.0,Walton,70642.0,0.405
186,47.0,Barrow,69367.0,0.398
187,47.0,Clarke,45934.0,0.263
188,47.0,Jackson,30996.0,0.178
189,47.0,Madison,28120.0,0.161
190,48.0,Fulton,58367.0,0.341
191,48.0,Gwinnett,112873.0,0.659
192,49.0,Hall,173823.0,1.0
193,50.0,Banks,18395.0,0.107
194,50.0,Franklin,22084.0,0.129
195,50.0,Habersham,43041.0,0.251
196,50.0,Hall,5861.0,0.034
197,50.0,Jackson,29489.0,0.172
198,50.0,Rabun,16276.0,0.095
199,50.0,Stephens,26175.0,0.152
200,50.0,Towns,10471.0,0.061
201,51.0,Dawson,22330.0,0.129
202,51.0,Fannin,23682.0,0.136
203,51.0,Forsyth,2785.0,0.016
204,51.0,Gilmer,28292.0,0.163
205,51.0,Lumpkin,29966.0,0.173
206,51.0,Pickens,18038.0,0.104
207,51.0,Union,21356.0,0.123
208,51.0,White,27144.0,0.156
209,52.0,Bartow,38593.0,0.224
210,52.0,Chattooga,2195.0,0.013
211,52.0,Floyd,96317.0,0.558
212,52.0,Gordon,35389.0,0.205
213,53.0,Catoosa,63942.0,0.369
214,53.0,Chattooga,23820.0,0.138
215,53.0,Dade,16633.0,0.096
216,53.0,Walker,68756.0,0.397
217,54.0,Gordon,19797.0,0.114
218,54.0,Murray,39628.0,0.229
219,54.0,Pickens,11393.0,0.066
220,54.0,Whitfield,102599.0,0.592
221,55.0,DeKalb,76339.0,0.438
222,55.0,Gwinnett,97857.0,0.562
223,56.0,Cherokee,6225.0,0.036
224,56.0,Fulton,168262.0,0.964
