,SD #.1,County.1,"County Pop.
in SD","% of SD
in County"
0,1.0,Cook,217468.0,1.0
1,2.0,Cook,217468.0,1.0
2,3.0,Cook,217468.0,1.0
3,4.0,Cook,217468.0,1.0
4,5.0,Cook,217468.0,1.0
5,6.0,Cook,217468.0,1.0
6,7.0,Cook,217468.0,1.0
7,8.0,Cook,217469.0,1.0
8,9.0,Cook,217468.0,1.0
9,10.0,Cook,217468.0,1.0
10,11.0,Cook,217468.0,1.0
11,12.0,Cook,217468.0,1.0
12,13.0,Cook,217468.0,1.0
13,14.0,Cook,217468.0,1.0
14,15.0,Cook,194469.0,0.894
15,15.0,Will,22999.0,0.106
16,16.0,Cook,217468.0,1.0
17,17.0,Cook,185654.0,0.854
18,17.0,Kankakee,19346.0,0.089
19,17.0,Will,12468.0,0.057
20,18.0,Cook,217468.0,1.0
21,19.0,Cook,124722.0,0.574
22,19.0,Will,92746.0,0.426
23,20.0,Cook,217468.0,1.0
24,21.0,DuPage,183687.0,0.845
25,21.0,Will,33818.0,0.155
26,22.0,Cook,132150.0,0.608
27,22.0,Kane,85318.0,0.392
28,23.0,Cook,7993.0,0.037
29,23.0,DuPage,209490.0,0.963
30,24.0,Cook,7056.0,0.032
31,24.0,DuPage,210398.0,0.968
32,25.0,Cook,8023.0,0.037
33,25.0,DuPage,42075.0,0.193
34,25.0,Kane,125766.0,0.578
35,25.0,Kendall,41605.0,0.191
36,26.0,Cook,16066.0,0.074
37,26.0,Kane,12682.0,0.058
38,26.0,Lake,123785.0,0.569
39,26.0,McHenry,64939.0,0.299
40,27.0,Cook,217469.0,1.0
41,28.0,Cook,196167.0,0.902
42,28.0,DuPage,21302.0,0.098
43,29.0,Cook,112082.0,0.515
44,29.0,Lake,105387.0,0.485
45,30.0,Cook,15888.0,0.073
46,30.0,Lake,201580.0,0.927
47,31.0,Lake,217476.0,1.0
48,32.0,Lake,55234.0,0.254
49,32.0,McHenry,162223.0,0.746
50,33.0,Kane,135871.0,0.625
51,33.0,McHenry,81598.0,0.375
52,34.0,Winnebago,217469.0,1.0
53,35.0,Boone,54165.0,0.249
54,35.0,DeKalb,82517.0,0.379
55,35.0,Kane,18897.0,0.087
56,35.0,Winnebago,61890.0,0.285
57,36.0,Carroll,5425.0,0.025
58,36.0,Henry,8085.0,0.037
59,36.0,Rock Island,147546.0,0.678
60,36.0,Whiteside,56413.0,0.259
61,37.0,Bureau,22091.0,0.102
62,37.0,Henry,42401.0,0.195
63,37.0,Knox,30133.0,0.139
64,37.0,La Salle,1975.0,0.009
65,37.0,Lee,2999.0,0.014
66,37.0,Marshall,12640.0,0.058
67,37.0,Mercer,16434.0,0.076
68,37.0,Peoria,63885.0,0.294
69,37.0,Stark,5994.0,0.028
70,37.0,Woodford,18917.0,0.087
71,38.0,Bureau,12887.0,0.059
72,38.0,Grundy,40683.0,0.187
73,38.0,Kendall,32950.0,0.152
74,38.0,La Salle,101996.0,0.469
75,38.0,Livingston,1844.0,0.008
