,SD #.1,County.1,"County Pop.
in SD","% of SD
in County"
0,1.0,Clark,128861.0,1.0
1,2.0,Clark,128715.0,1.0
2,3.0,Clark,128724.0,1.0
3,4.0,Clark,128783.0,1.0
4,5.0,Clark,128800.0,1.0
5,6.0,Clark,128587.0,1.0
6,7.0,Clark,128598.0,1.0
7,8.0,Clark,128218.0,1.0
8,9.0,Clark,128882.0,1.0
9,10.0,Clark,128440.0,1.0
10,11.0,Clark,128564.0,1.0
11,12.0,Clark,128846.0,1.0
12,13.0,Washoe,128574.0,1.0
13,14.0,Esmeralda,783.0,0.006
14,14.0,Humboldt,16528.0,0.128
15,14.0,Lander,5775.0,0.045
16,14.0,Mineral,4772.0,0.037
17,14.0,Nye,3133.0,0.024
18,14.0,Pershing,6753.0,0.052
19,14.0,Washoe,91155.0,0.707
20,15.0,Washoe,128462.0,1.0
21,16.0,Washoe,73216.0,0.57
22,16.0,Carson City,55274.0,0.43
23,17.0,Churchill,24877.0,0.195
24,17.0,Douglas,46997.0,0.368
25,17.0,Lyon,51980.0,0.407
26,17.0,Storey,4010.0,0.031
27,18.0,Clark,128710.0,1.0
28,19.0,Clark,21613.0,0.168
29,19.0,Elko,48818.0,0.38
30,19.0,Eureka,1987.0,0.015
31,19.0,Lincoln,5345.0,0.042
32,19.0,Nye,40813.0,0.317
33,19.0,White Pine,10030.0,0.078
34,20.0,Clark,128541.0,1.0
35,21.0,Clark,128387.0,1.0
