,SD #.1,County.1,"County Pop.
in SD","% of SD
in County"
0,1.0,Providence,28161.0,1.0
1,2.0,Providence,28079.0,1.0
2,3.0,Providence,28398.0,1.0
3,4.0,Providence,28201.0,1.0
4,5.0,Providence,28356.0,1.0
5,6.0,Providence,27211.0,1.0
6,7.0,Providence,28400.0,1.0
7,8.0,Providence,27142.0,1.0
8,9.0,Kent,27765.0,1.0
9,10.0,Bristol,18777.0,0.695
10,10.0,Newport,8241.0,0.305
11,11.0,Bristol,7725.0,0.285
12,11.0,Newport,19368.0,0.715
13,12.0,Newport,27220.0,1.0
14,13.0,Newport,28059.0,1.0
15,14.0,Providence,27185.0,1.0
16,15.0,Providence,27093.0,1.0
17,16.0,Providence,27169.0,1.0
18,17.0,Providence,27013.0,1.0
19,18.0,Providence,27011.0,1.0
20,19.0,Providence,27161.0,1.0
21,20.0,Providence,27149.0,1.0
22,21.0,Kent,12319.0,0.452
23,21.0,Providence,14935.0,0.548
24,22.0,Providence,28320.0,1.0
25,23.0,Providence,28176.0,1.0
26,24.0,Providence,27014.0,1.0
27,25.0,Providence,28088.0,1.0
28,26.0,Providence,27254.0,1.0
29,27.0,Kent,1426.0,0.051
30,27.0,Providence,26719.0,0.949
31,28.0,Providence,27763.0,1.0
32,29.0,Kent,27499.0,1.0
33,30.0,Kent,27583.0,1.0
34,31.0,Kent,27590.0,0.974
35,31.0,Providence,748.0,0.026
36,32.0,Bristol,23373.0,0.856
37,32.0,Providence,3921.0,0.144
38,33.0,Kent,28277.0,1.0
39,34.0,Kent,1269.0,0.045
40,34.0,Washington,26965.0,0.955
41,35.0,Kent,12430.0,0.44
42,35.0,Washington,15801.0,0.56
43,36.0,Washington,27665.0,1.0
44,37.0,Washington,28284.0,1.0
45,38.0,Washington,28264.0,1.0
