,SD #.1,County.1,"County Pop.
in SD","% of SD
in County"
0,1.0,Salt Lake,95343.0,1.0
1,2.0,Salt Lake,95308.0,1.0
2,3.0,Salt Lake,95265.0,1.0
3,4.0,Salt Lake,95308.0,1.0
4,5.0,Salt Lake,95307.0,1.0
5,6.0,Salt Lake,95329.0,1.0
6,7.0,Utah,95299.0,1.0
7,8.0,Salt Lake,95163.0,1.0
8,9.0,Salt Lake,95442.0,1.0
9,10.0,Salt Lake,95229.0,1.0
10,11.0,Salt Lake,89748.0,0.941
11,11.0,Utah,5624.0,0.059
12,12.0,Salt Lake,62803.0,0.659
13,12.0,Tooele,32501.0,0.341
14,13.0,Salt Lake,7434.0,0.078
15,13.0,Utah,88028.0,0.922
16,14.0,Utah,95176.0,1.0
17,15.0,Utah,95289.0,1.0
18,16.0,Utah,94477.0,0.991
19,16.0,Wasatch,829.0,0.009
20,17.0,Box Elder,49975.0,0.524
21,17.0,Cache,19665.0,0.206
22,17.0,Tooele,25717.0,0.27
23,18.0,Davis,12278.0,0.129
24,18.0,Morgan,8669.0,0.091
25,18.0,Weber,74369.0,0.78
26,19.0,Morgan,800.0,0.008
27,19.0,Summit,12694.0,0.133
28,19.0,Weber,81831.0,0.858
29,20.0,Davis,20250.0,0.213
30,20.0,Weber,75036.0,0.787
31,21.0,Davis,95306.0,1.0
32,22.0,Davis,95127.0,1.0
33,23.0,Davis,83518.0,0.875
34,23.0,Salt Lake,11976.0,0.125
35,24.0,Beaver,295.0,0.003
36,24.0,Garfield,5172.0,0.054
37,24.0,Juab,10246.0,0.108
38,24.0,Kane,7125.0,0.075
39,24.0,Millard,12503.0,0.131
40,24.0,Piute,1556.0,0.016
41,24.0,Sanpete,27822.0,0.292
42,24.0,Sevier,20802.0,0.218
43,24.0,Utah,7008.0,0.074
44,24.0,Wayne,2778.0,0.029
45,25.0,Cache,92991.0,0.976
46,25.0,Rich,2264.0,0.024
47,26.0,Daggett,1059.0,0.011
48,26.0,Duchesne,18607.0,0.195
49,26.0,Summit,23630.0,0.248
50,26.0,Uintah,32588.0,0.342
51,26.0,Wasatch,19410.0,0.204
52,27.0,Carbon,21403.0,0.225
53,27.0,Emery,10976.0,0.115
54,27.0,Grand,9225.0,0.097
55,27.0,San Juan,14746.0,0.155
56,27.0,Utah,35663.0,0.374
57,27.0,Wasatch,3291.0,0.035
58,28.0,Beaver,6334.0,0.066
59,28.0,Iron,46163.0,0.484
60,28.0,Washington,42800.0,0.449
61,29.0,Washington,95315.0,1.0
