,SD #.1,County.1,"County Pop.
in SD","% of SD
in County"
0,1.0,Brown,42370.0,0.246
1,1.0,Calumet,34555.0,0.201
2,1.0,Door,27785.0,0.161
3,1.0,Kewaunee,20574.0,0.119
4,1.0,Manitowoc,24015.0,0.139
5,1.0,Outagamie,23037.0,0.134
6,2.0,Brown,72155.0,0.418
7,2.0,Outagamie,58041.0,0.337
8,2.0,Shawano,33877.0,0.196
9,2.0,Waupaca,8389.0,0.049
10,3.0,Milwaukee,171977.0,1.0
11,4.0,Milwaukee,172425.0,1.0
12,5.0,Milwaukee,101843.0,0.591
13,5.0,Waukesha,70578.0,0.409
14,6.0,Milwaukee,172292.0,1.0
15,7.0,Milwaukee,172423.0,1.0
16,8.0,Milwaukee,52324.0,0.304
17,8.0,Ozaukee,41972.0,0.244
18,8.0,Washington,30512.0,0.177
19,8.0,Waukesha,47545.0,0.276
20,9.0,Calumet,8343.0,0.048
21,9.0,Manitowoc,57427.0,0.333
22,9.0,Sheboygan,106671.0,0.619
23,10.0,Burnett,9534.0,0.055
24,10.0,Dunn,23617.0,0.137
25,10.0,Pierce,14122.0,0.082
26,10.0,Polk,41262.0,0.24
27,10.0,St. Croix,83710.0,0.486
28,11.0,Jefferson,33022.0,0.192
29,11.0,Kenosha,3379.0,0.02
30,11.0,Racine,2149.0,0.012
31,11.0,Rock,26790.0,0.155
32,11.0,Walworth,88782.0,0.515
33,11.0,Waukesha,18214.0,0.106
34,12.0,Florence,4423.0,0.026
35,12.0,Forest,9304.0,0.054
36,12.0,Langlade,19977.0,0.116
37,12.0,Lincoln,28743.0,0.167
38,12.0,Marathon,3548.0,0.021
39,12.0,Marinette,18928.0,0.11
40,12.0,Menominee,4232.0,0.025
41,12.0,Oconto,21193.0,0.123
42,12.0,Oneida,35998.0,0.209
43,12.0,Shawano,8046.0,0.047
44,12.0,Vilas,17989.0,0.104
45,13.0,Columbia,4991.0,0.029
46,13.0,Dane,25574.0,0.148
47,13.0,Dodge,70412.0,0.408
48,13.0,Jefferson,42638.0,0.247
49,13.0,Washington,2736.0,0.016
50,13.0,Waukesha,26053.0,0.151
51,14.0,Adams,13507.0,0.079
52,14.0,Columbia,36373.0,0.211
53,14.0,Dane,4454.0,0.026
54,14.0,Dodge,10483.0,0.061
55,14.0,Fond du Lac,12169.0,0.071
56,14.0,Green Lake,19051.0,0.111
57,14.0,Juneau,2.0,0.0
58,14.0,Marquette,15404.0,0.09
59,14.0,Outagamie,1610.0,0.009
60,14.0,Sauk,3089.0,0.018
61,14.0,Shawano,26.0,0.0
62,14.0,Waupaca,44021.0,0.256
63,14.0,Waushara,11797.0,0.069
64,15.0,Dane,7747.0,0.045
65,15.0,Green,10561.0,0.061
66,15.0,Jefferson,8026.0,0.047
67,15.0,Rock,133541.0,0.774
68,15.0,Walworth,12621.0,0.073
69,16.0,Dane,172516.0,1.0
70,17.0,Grant,51208.0,0.297
71,17.0,Green,14974.0,0.087
72,17.0,Iowa,16574.0,0.096
73,17.0,Juneau,26662.0,0.155
74,17.0,Lafayette,16836.0,0.098
75,17.0,Monroe,1829.0,0.011
76,17.0,Richland,18021.0,0.104
77,17.0,Sauk,25599.0,0.148
78,17.0,Vernon,847.0,0.005
79,18.0,Dodge,7864.0,0.046
80,18.0,Fond du Lac,75436.0,0.439
81,18.0,Winnebago,88422.0,0.515
82,19.0,Outagamie,94007.0,0.545
83,19.0,Winnebago,78572.0,0.455
84,20.0,Calumet,6073.0,0.035
85,20.0,Fond du Lac,14028.0,0.082
86,20.0,Ozaukee,44423.0,0.258
87,20.0,Sheboygan,8836.0,0.051
88,20.0,Washington,98639.0,0.573
89,21.0,Kenosha,57618.0,0.334
90,21.0,Racine,114710.0,0.666
91,22.0,Kenosha,105429.0,0.612
92,22.0,Racine,66837.0,0.388
93,23.0,Barron,20.0,0.0
94,23.0,Chippewa,62363.0,0.362
95,23.0,Clark,33882.0,0.197
96,23.0,Dunn,15446.0,0.09
97,23.0,Eau Claire,22681.0,0.132
98,23.0,Jackson,1119.0,0.007
99,23.0,Marathon,16102.0,0.094
100,23.0,Trempealeau,2511.0,0.015
101,23.0,Wood,18017.0,0.105
102,24.0,Adams,7368.0,0.043
103,24.0,Jackson,1482.0,0.009
104,24.0,Monroe,30970.0,0.179
105,24.0,Portage,70019.0,0.406
106,24.0,Waushara,12699.0,0.074
107,24.0,Wood,50022.0,0.29
108,25.0,Ashland,16157.0,0.094
109,25.0,Barron,45850.0,0.266
110,25.0,Bayfield,15014.0,0.087
111,25.0,Burnett,5923.0,0.034
112,25.0,Douglas,44159.0,0.256
113,25.0,Dunn,677.0,0.004
114,25.0,Iron,5916.0,0.034
115,25.0,Polk,2943.0,0.017
116,25.0,Price,14159.0,0.082
117,25.0,St. Croix,629.0,0.004
118,25.0,Sawyer,1630.0,0.009
119,25.0,Vilas,3441.0,0.02
120,25.0,Washburn,15911.0,0.092
121,26.0,Dane,172333.0,1.0
122,27.0,Columbia,15469.0,0.09
123,27.0,Dane,105449.0,0.611
124,27.0,Green,11307.0,0.065
125,27.0,Iowa,7113.0,0.041
126,27.0,Sauk,33288.0,0.193
127,28.0,Milwaukee,104451.0,0.607
128,28.0,Racine,11712.0,0.068
129,28.0,Walworth,825.0,0.005
130,28.0,Waukesha,55230.0,0.321
131,29.0,Clark,808.0,0.005
132,29.0,Marathon,114413.0,0.664
133,29.0,Rusk,14755.0,0.086
134,29.0,Sawyer,14927.0,0.087
135,29.0,Taylor,20689.0,0.12
136,29.0,Wood,6710.0,0.039
137,30.0,Brown,133482.0,0.773
138,30.0,Marinette,22821.0,0.132
139,30.0,Oconto,16467.0,0.095
140,31.0,Buffalo,13587.0,0.079
141,31.0,Chippewa,52.0,0.0
142,31.0,Dunn,4117.0,0.024
143,31.0,Eau Claire,76055.0,0.441
144,31.0,Jackson,17848.0,0.104
145,31.0,Pepin,7469.0,0.043
146,31.0,Pierce,26897.0,0.156
147,31.0,St. Croix,6.0,0.0
148,31.0,Trempealeau,26305.0,0.153
149,32.0,Crawford,16644.0,0.097
150,32.0,La Crosse,114638.0,0.666
151,32.0,Monroe,11874.0,0.069
152,32.0,Vernon,28926.0,0.168
153,33.0,Waukesha,172271.0,1.0
