,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,stateAbbr,geoType,name,geoid,sourceURL,countSolarJobs,countWindJobs,countEnergyJobs,totalJobs,percentOfStateJobs,residentialMWhInvested,commercialMWhInvested,utilityMWhInvested,totalMWhInvested,residentialDollarsInvested,commercialDollarsInvested,utilityDollarsInvested,totalDollarsInvested,investmentHomesEquivalent,countResidentialInstallations,countCommercialInstallations,countUtilityInstallations,countTotalInstallations,residentialMWCapacity,commercialMWCapacity,utilityMWCapacity,totalMWCapacity
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AK,county,Matanuska-Susitna,2170,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=county&area_id=02170,6,,438,444,9.79,257.7,0,0,258,0.9,0,0,$1.00,36,48,0,0,48,0.29,0.0,0.0,0.29
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AK,county,Bristol Bay,2060,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=county&area_id=02060,0,,6,6,0.13,4.07,0,0,4,0.01,0,0,$0.00,1,1,0,0,1,0.0,0.0,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,AK,county,Skagway,2230,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=county&area_id=02230,0,,6,6,0.13,0.0,0,0,0,0.01,0,0,$0.00,0,1,0,0,1,0.0,0.0,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,AK,county,Ketchikan Gateway,2130,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=county&area_id=02130,1,,87,88,1.94,38.31,0,0,38,0.13,0,0,$0.00,5,7,0,0,7,0.04,0.0,0.0,0.04
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,AK,county,Nome,2180,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=county&area_id=02180,0,,12,12,0.26,21.57,0,"1,688","1,710",0.07,4,5,$9.00,236,4,3,1,8,0.02,1.7,2.6,4.32
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,AK,county,Yakutat,2282,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=county&area_id=02282,0,,2,2,0.04,1.47,0,0,1,0.01,0,0,$0.00,0,0,0,0,0,0.0,0.0,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,AK,county,Kenai Peninsula,2122,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=county&area_id=02122,5,,213,218,4.81,137.33,0,0,137,0.62,0,0,$1.00,19,33,1,0,34,0.2,0.1,0.0,0.3
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,AK,county,Lake and Peninsula,2164,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=county&area_id=02164,0,,5,5,0.11,7.24,0,0,7,0.02,0,0,$0.00,1,1,0,0,1,0.01,0.0,0.0,0.01
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,AK,county,Juneau,2110,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=county&area_id=02110,3,,196,199,4.39,0.0,0,0,0,0.27,0,0,$0.00,0,14,0,0,14,0.09,0.0,0.0,0.09
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,AK,county,Bethel,2050,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=county&area_id=02050,1,,29,30,0.66,28.46,0,0,28,0.1,3,0,$3.00,4,5,4,0,9,0.03,1.08,0.0,1.11
