GeoType,GeoName,State,TotalPop,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,affectweather,affectweatherOppose,worried,worriedOppose,harmplants,harmplantsOppose,futuregen,futuregenOppose,devharm,devharmOppose,harmUS,harmUSOppose,personal,personalOppose,timing,timingOppose,fundrenewables,fundrenewablesOppose,regulate,regulateOppose,CO2limits,CO2limitsOppose,reducetax,reducetaxOppose,supportRPS,supportRPSOppose,rebates,rebatesOppose,drillANWR,drillANWROppose,drilloffshore,drilloffshoreOppose,teachGW,teachGWOppose,corporations,corporationsOppose,citizens,citizensOppose,congress,congressOppose,governor,governorOppose,localofficials,localofficialsOppose,prienv,prienvOppose,discuss,discussOppose,mediaweekly,mediaweeklyOppose
County,Accomack, Virginia,23850,67.876,11.996,53.535,32.902,43.552,27.659,59.406,5.476,57.993,41.761,69.566,17.253,68.073,17.049,59.724,22.959,56.343,28.288,40.65,44.304,49.97,50.03,84.019,12.932,76.003,20.696,67.509,31.104,67.592,28.82,61.382,35.82,80.317,16.758,35.639,61.426,51.514,45.654,78.915,20.657,66.359,12.708,63.16,12.936,61.869,15.726,55.934,14.696,56.345,14.415,67.938,28.702,30.095,69.762,18.198,80.824
County,Albemarle, Virginia,70026,76.879,10.278,61.424,28.086,58.55,25.604,69.165,5.06,65.447,34.398,75.848,15.038,75.1,14.367,65.346,22.475,60.175,28.99,42.49,47.649,53.844,46.156,88.198,9.489,80.453,16.888,75.152,23.762,71.671,24.368,68.565,29.58,85.235,12.528,31.291,67.673,41.962,56.679,82.773,16.966,73.856,10.548,69.772,10.443,67.824,14.437,61.47,13.089,58.77,12.931,72.06,25.157,38.301,61.632,25.298,73.519
County,Alleghany, Virginia,11720,60.905,18.953,47.719,37.77,38.354,35.13,53.273,7.202,50.197,49.579,64.073,24.541,62.867,23.959,53.005,31.745,49.433,37.311,33.712,53.456,42.512,57.487,82.386,14.737,73.32,23.513,60.554,38.005,61.954,34.399,56.99,40.411,78.78,18.361,42.643,54.653,58.347,39.136,72.587,26.919,61.418,15.43,57.67,16.04,53.218,21.787,48.793,19.363,50.201,18.18,63.738,32.999,28.283,71.597,19.018,80.128
County,Amelia, Virginia,8924,61.01,16.247,47.002,38.551,36.966,32.391,53.283,6.679,51.244,48.488,63.908,22.037,62.21,21.702,53.645,28.289,50.954,33.171,36.17,48.031,44.933,55.067,81.912,15.117,72.603,23.956,60.53,37.868,62.924,33.368,56.584,40.622,78.38,18.463,42.467,54.356,57.477,39.627,74.251,25.21,61.56,15.199,57.121,15.991,54.598,19.794,50.765,17.991,52.621,16.636,64.246,32.368,26.776,73.076,16.627,82.455
County,Amherst, Virginia,22495,64.266,15.916,48.933,36.018,40.348,31.641,54.388,6.502,52.871,46.894,66.001,21.631,65.094,20.856,55.552,28.347,52.028,33.674,36.446,49.55,45.537,54.463,82.979,14.117,73.961,22.862,62.828,35.778,63.142,33.059,58.554,38.728,78.966,18.173,39.301,57.771,54.73,42.65,75.129,24.439,62.788,14.516,59.268,15.013,55.954,19.121,51.16,17.527,52.705,16.676,65.273,31.452,29.551,70.337,18.099,81.047
County,Appomattox, Virginia,10849,61.647,17.372,47.918,36.637,40.381,31.909,53.743,6.726,51.218,48.522,65.068,22.533,63.598,22.874,54.705,29.414,51.515,34.601,35.659,50.591,44.674,55.326,82.421,14.371,72.964,23.887,61.852,37.094,61.679,35.038,57.083,40.055,77.963,19.119,38.978,57.53,56.245,40.966,73.731,25.955,62.505,14.791,59.196,15.417,54.484,20.861,50.691,18.276,51.548,17.351,64.248,32.588,30.085,69.788,18.707,80.673
County,Arlington, Virginia,169813,82.158,7.684,69.61,20.061,69.696,19.725,72.937,4.164,73.336,26.527,81.183,11.622,80.992,11.21,72.926,18.061,67.253,24.887,48.207,44.892,60.749,39.251,89.544,7.748,82.144,15.335,81.133,18.426,75.133,21.746,72.122,25.626,85.9,12.338,21.989,76.237,35.149,63.908,86.298,13.828,78.015,8.594,74.772,8.238,74.044,11.609,67.019,10.842,62.692,11.732,75.399,22.326,47.731,52.247,30.888,68.411
County,Augusta, Virginia,53700,59.153,20.787,47.127,37.247,37.901,37.087,52.453,7.74,48.674,51.097,62.859,26.685,62.196,26.002,52.156,33.546,47.793,39.701,32.179,55.878,41.242,58.757,80.73,16.707,71.716,25.504,58.542,40.254,58.518,37.847,55.209,42.439,77.745,19.702,43.21,54.082,57.396,40.625,70.802,28.762,60.693,16.506,56.946,17.343,52.428,23.82,48.636,20.908,48.901,19.88,62.35,34.641,28.069,71.865,19.234,79.987
County,Bath, Virginia,3453,59.872,20.089,46.674,38.845,37.111,36.497,52.488,7.508,48.842,50.921,63.284,25.69,61.921,25.192,52.055,33.077,48.589,38.624,32.984,54.721,41.256,58.744,82.089,14.936,72.415,24.33,58.861,39.685,61.023,35.404,55.834,41.564,78.393,18.643,44.408,52.772,59.777,37.628,71.483,28.014,60.45,15.994,56.916,16.583,51.841,22.825,47.437,20.122,49.287,18.619,63.019,33.821,27.762,72.087,19.361,79.818
County,Bedford, Virginia,55090,60.897,20.537,47.223,37.368,39.939,36.248,51.997,7.56,49.132,50.061,63.837,26.055,63.041,25.461,53.299,33.006,49.008,39.007,33.416,55.008,41.794,58.206,82.9,14.341,72.209,24.922,59.795,39.134,58.752,37.717,56.517,41.023,78.378,18.981,41.756,55.439,58.241,39.535,69.934,29.664,61.186,15.991,57.675,16.75,52.264,24.24,48.157,20.712,49.043,19.512,63.063,34.057,29.62,70.307,20.098,79.3
