,CD #.1,County.1,"County Pop.
in CD","% of CD
in County"
0,AL,Adams,2343,0.003
1,AL,Barnes,11066,0.016
2,AL,Benson,6660,0.01
3,AL,Billings,783,0.001
4,AL,Bottineau,6429,0.01
5,AL,Bowman,3151,0.005
6,AL,Burke,1968,0.003
7,AL,Burleigh,81308,0.121
8,AL,Cass,149778,0.223
9,AL,Cavalier,3993,0.006
10,AL,Dickey,5289,0.008
11,AL,Divide,2071,0.003
12,AL,Dunn,3536,0.005
13,AL,Eddy,2385,0.004
14,AL,Emmons,3550,0.005
15,AL,Foster,3343,0.005
16,AL,Golden Valley,1680,0.002
17,AL,Grand Forks,66861,0.099
18,AL,Grant,2394,0.004
19,AL,Griggs,2420,0.004
20,AL,Hettinger,2477,0.004
21,AL,Kidder,2435,0.004
22,AL,LaMoure,4139,0.006
23,AL,Logan,1990,0.003
24,AL,McHenry,5395,0.008
25,AL,McIntosh,2809,0.004
26,AL,McKenzie,6360,0.009
27,AL,McLean,8962,0.013
28,AL,Mercer,8424,0.013
29,AL,Morton,27471,0.041
30,AL,Mountrail,7673,0.011
31,AL,Nelson,3126,0.005
32,AL,Oliver,1846,0.003
33,AL,Pembina,7413,0.011
34,AL,Pierce,4357,0.006
35,AL,Ramsey,11451,0.017
36,AL,Ransom,5457,0.008
37,AL,Renville,2470,0.004
38,AL,Richland,16321,0.024
39,AL,Rolette,13937,0.021
40,AL,Sargent,3829,0.006
41,AL,Sheridan,1321,0.002
42,AL,Sioux,4153,0.006
43,AL,Slope,727,0.001
44,AL,Stark,24199,0.036
45,AL,Steele,1975,0.003
46,AL,Stutsman,21100,0.031
47,AL,Towner,2246,0.003
48,AL,Traill,8121,0.012
49,AL,Walsh,11119,0.017
50,AL,Ward,61675,0.092
51,AL,Wells,4207,0.006
52,AL,Williams,22398,0.033
