,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Arkansas,1,19019,1.0
1,Ashley,4,21853,1.0
2,Baxter,1,41513,1.0
3,Benton,3,221339,1.0
4,Boone,3,36903,1.0
5,Bradley,4,11508,1.0
6,Calhoun,4,5368,1.0
7,Carroll,3,27446,1.0
8,Chicot,1,11800,1.0
9,Clark,4,22995,1.0
10,Clay,1,16083,1.0
11,Cleburne,1,25970,1.0
12,Cleveland,4,8689,1.0
13,Columbia,4,24552,1.0
14,Conway,2,21273,1.0
15,Craighead,1,96443,1.0
16,Crawford,3,44616,0.72
17,Crawford,4,17332,0.28
18,Crittenden,1,50902,1.0
19,Cross,1,17870,1.0
20,Dallas,4,8116,1.0
21,Desha,1,13008,1.0
22,Drew,4,18509,1.0
23,Faulkner,2,113237,1.0
24,Franklin,4,18125,1.0
25,Fulton,1,12245,1.0
26,Garland,4,96024,1.0
27,Grant,4,17853,1.0
28,Greene,1,42090,1.0
29,Hempstead,4,22609,1.0
30,Hot Spring,4,32923,1.0
31,Howard,4,13789,1.0
32,Independence,1,36647,1.0
33,Izard,1,13696,1.0
34,Jackson,1,17997,1.0
35,Jefferson,1,2679,0.035
36,Jefferson,4,74756,0.965
37,Johnson,4,25540,1.0
38,Lafayette,4,7645,1.0
39,Lawrence,1,17415,1.0
40,Lee,1,10424,1.0
41,Lincoln,1,14134,1.0
42,Little River,4,13171,1.0
43,Logan,4,22353,1.0
44,Lonoke,1,68356,1.0
45,Madison,4,15717,1.0
46,Marion,3,16653,1.0
47,Miller,4,43462,1.0
48,Mississippi,1,46480,1.0
49,Monroe,1,8149,1.0
50,Montgomery,4,9487,1.0
51,Nevada,4,8997,1.0
52,Newton,3,4071,0.489
53,Newton,4,4259,0.511
54,Ouachita,4,26120,1.0
55,Perry,2,10445,1.0
56,Phillips,1,21757,1.0
57,Pike,4,11291,1.0
58,Poinsett,1,24583,1.0
59,Polk,4,20662,1.0
60,Pope,3,61754,1.0
61,Prairie,1,8715,1.0
62,Pulaski,2,382748,1.0
63,Randolph,1,17969,1.0
64,St. Francis,1,28258,1.0
65,Saline,2,107118,1.0
66,Scott,4,11233,1.0
67,Searcy,1,7645,0.933
68,Searcy,3,550,0.067
69,Sebastian,3,112539,0.895
70,Sebastian,4,13205,0.105
71,Sevier,4,17058,1.0
72,Sharp,1,17264,1.0
73,Stone,1,12394,1.0
74,Union,4,41639,1.0
75,Van Buren,2,17295,1.0
76,Washington,3,203065,1.0
77,White,2,77076,1.0
78,Woodruff,1,7260,1.0
79,Yell,4,22185,1.0
