,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Adams,4,7166,0.016
1,Adams,6,105561,0.239
2,Adams,7,328876,0.745
3,Alamosa,3,15445,1.0
4,Arapahoe,1,50170,0.088
5,Arapahoe,4,7220,0.013
6,Arapahoe,6,514613,0.9
7,Archuleta,3,12084,1.0
8,Baca,4,3788,1.0
9,Bent,4,6499,1.0
10,Boulder,2,206113,0.7
11,Boulder,4,88454,0.3
12,Broomfield,2,55889,1.0
13,Chaffee,5,17809,1.0
14,Cheyenne,4,1836,1.0
15,Clear Creek,2,9088,1.0
16,Conejos,3,8256,1.0
17,Costilla,3,3524,1.0
18,Crowley,4,5823,1.0
19,Custer,3,4255,1.0
20,Delta,3,30952,1.0
21,Denver,1,600158,1.0
22,Dolores,3,2064,1.0
23,Douglas,4,187183,0.656
24,Douglas,6,98282,0.344
25,Eagle,2,14636,0.28
26,Eagle,3,37561,0.72
27,Elbert,4,23086,1.0
28,El Paso,5,622263,1.0
29,Fremont,5,46824,1.0
30,Garfield,3,56389,1.0
31,Gilpin,2,5441,1.0
32,Grand,2,14843,1.0
33,Gunnison,3,15324,1.0
34,Hinsdale,3,843,1.0
35,Huerfano,3,6711,1.0
36,Jackson,3,1394,1.0
37,Jefferson,1,68129,0.127
38,Jefferson,2,76853,0.144
39,Jefferson,7,389561,0.729
40,Kiowa,4,1398,1.0
41,Kit Carson,4,8270,1.0
42,Lake,3,7310,1.0
43,La Plata,3,51334,1.0
44,Larimer,2,299630,1.0
45,Las Animas,4,15507,1.0
46,Lincoln,4,5467,1.0
47,Logan,4,22709,1.0
48,Mesa,3,146723,1.0
49,Mineral,3,712,1.0
50,Moffat,3,13795,1.0
51,Montezuma,3,25535,1.0
52,Montrose,3,41276,1.0
53,Morgan,4,28159,1.0
54,Otero,4,18831,1.0
55,Ouray,3,4436,1.0
56,Park,2,7995,0.493
57,Park,5,8211,0.507
58,Phillips,4,4442,1.0
59,Pitkin,3,17148,1.0
60,Prowers,4,12551,1.0
61,Pueblo,3,159063,1.0
62,Rio Blanco,3,6666,1.0
63,Rio Grande,3,11982,1.0
64,Routt,3,23509,1.0
65,Saguache,3,6108,1.0
66,San Juan,3,699,1.0
67,San Miguel,3,7359,1.0
68,Sedgwick,4,2379,1.0
69,Summit,2,27994,1.0
70,Teller,5,23350,1.0
71,Washington,4,4814,1.0
72,Weld,4,252825,1.0
73,Yuma,4,10043,1.0
