,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Adams,18,67103,1.0
1,Alexander,12,8238,1.0
2,Bond,13,4313,0.243
3,Bond,15,13455,0.757
4,Boone,16,54165,1.0
5,Brown,18,6937,1.0
6,Bureau,16,34978,1.0
7,Calhoun,13,5089,1.0
8,Carroll,17,15387,1.0
9,Cass,18,13642,1.0
10,Champaign,13,150996,0.751
11,Champaign,15,50085,0.249
12,Christian,13,34800,1.0
13,Clark,15,16335,1.0
14,Clay,15,13815,1.0
15,Clinton,15,37762,1.0
16,Coles,15,53873,1.0
17,Cook,1,616830,0.119
18,Cook,2,546565,0.105
19,Cook,3,618194,0.119
20,Cook,4,712813,0.137
21,Cook,5,651162,0.125
22,Cook,6,92373,0.018
23,Cook,7,712812,0.137
24,Cook,8,360056,0.069
25,Cook,9,712856,0.137
26,Cook,10,167002,0.032
27,Cook,11,4012,0.001
28,Crawford,15,19817,1.0
29,Cumberland,15,11048,1.0
30,DeKalb,14,36986,0.352
31,DeKalb,16,68174,0.648
32,De Witt,13,16561,1.0
33,Douglas,15,19980,1.0
34,DuPage,3,1300,0.001
35,DuPage,5,61651,0.067
36,DuPage,6,363408,0.396
37,DuPage,8,259111,0.283
38,DuPage,11,210774,0.23
39,DuPage,14,20680,0.023
40,Edgar,15,18576,1.0
41,Edwards,15,6721,1.0
42,Effingham,15,34242,1.0
43,Fayette,15,22140,1.0
44,Ford,15,6357,0.451
45,Ford,16,7724,0.549
46,Franklin,12,39561,1.0
47,Fulton,17,37069,1.0
48,Gallatin,15,5589,1.0
49,Greene,13,13886,1.0
50,Grundy,16,50063,1.0
51,Hamilton,15,8457,1.0
52,Hancock,18,19104,1.0
53,Hardin,15,4320,1.0
54,Henderson,17,7331,1.0
55,Henry,17,50486,1.0
56,Iroquois,16,29718,1.0
57,Jackson,12,60218,1.0
58,Jasper,15,9698,1.0
59,Jefferson,12,38827,1.0
60,Jersey,13,22985,1.0
61,Jo Daviess,17,22678,1.0
62,Johnson,15,12582,1.0
63,Kane,6,109171,0.212
64,Kane,8,93602,0.182
65,Kane,11,146149,0.284
66,Kane,14,166347,0.323
67,Kankakee,2,113449,1.0
68,Kendall,11,38142,0.332
69,Kendall,14,76594,0.668
70,Knox,17,52919,1.0
71,Lake,6,59480,0.085
72,Lake,10,545811,0.776
73,Lake,14,98171,0.14
74,La Salle,16,113924,1.0
75,Lawrence,15,16833,1.0
76,Lee,16,36031,1.0
77,Livingston,16,38950,1.0
78,Logan,18,30305,1.0
79,McDonough,18,32612,1.0
80,McHenry,6,88389,0.286
81,McHenry,14,220371,0.714
82,McLean,13,60677,0.358
83,McLean,18,108895,0.642
84,Macon,13,110768,1.0
85,Macoupin,13,47765,1.0
86,Madison,12,116804,0.434
87,Madison,13,98754,0.367
88,Madison,15,53724,0.2
89,Marion,15,39437,1.0
90,Marshall,18,12640,1.0
91,Mason,18,14666,1.0
92,Massac,15,15429,1.0
93,Menard,18,12705,1.0
94,Mercer,17,16434,1.0
95,Monroe,12,32957,1.0
96,Montgomery,13,30104,1.0
97,Morgan,18,35547,1.0
98,Moultrie,15,14846,1.0
99,Ogle,16,53497,1.0
100,Peoria,17,84935,0.455
101,Peoria,18,101559,0.545
102,Perry,12,22350,1.0
103,Piatt,13,16729,1.0
104,Pike,18,16430,1.0
105,Pope,15,4470,1.0
106,Pulaski,12,6161,1.0
107,Putnam,16,6006,1.0
108,Randolph,12,33476,1.0
109,Richland,15,16233,1.0
110,Rock Island,17,147546,1.0
111,St. Clair,12,270056,1.0
112,Saline,15,24913,1.0
113,Sangamon,13,99386,0.503
114,Sangamon,18,98079,0.497
115,Schuyler,18,7544,1.0
116,Scott,18,5355,1.0
117,Shelby,15,22363,1.0
118,Stark,16,1353,0.226
119,Stark,18,4641,0.774
120,Stephenson,17,47711,1.0
121,Tazewell,17,49009,0.362
122,Tazewell,18,86385,0.638
123,Union,12,17808,1.0
124,Vermilion,15,81625,1.0
125,Wabash,15,11947,1.0
126,Warren,17,17707,1.0
127,Washington,15,14716,1.0
128,Wayne,15,16760,1.0
129,White,15,14665,1.0
130,Whiteside,17,58498,1.0
131,Will,1,95983,0.142
132,Will,2,52799,0.078
133,Will,3,93319,0.138
134,Will,11,313693,0.463
135,Will,14,93699,0.138
136,Will,16,28067,0.041
137,Williamson,12,66357,1.0
138,Winnebago,16,190163,0.644
139,Winnebago,17,105103,0.356
140,Woodford,18,38664,1.0
