,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Alcona,1,10942,1.0
1,Alger,1,9601,1.0
2,Allegan,2,2424,0.022
3,Allegan,6,108984,0.978
4,Alpena,1,29598,1.0
5,Antrim,1,23580,1.0
6,Arenac,5,15899,1.0
7,Baraga,1,8860,1.0
8,Barry,3,59173,1.0
9,Bay,5,107771,1.0
10,Benzie,1,17525,1.0
11,Berrien,6,156813,1.0
12,Branch,7,45248,1.0
13,Calhoun,3,136146,1.0
14,Cass,6,52293,1.0
15,Charlevoix,1,25949,1.0
16,Cheboygan,1,26152,1.0
17,Chippewa,1,38520,1.0
18,Clare,4,30926,1.0
19,Clinton,4,75382,1.0
20,Crawford,1,14074,1.0
21,Delta,1,37069,1.0
22,Dickinson,1,26168,1.0
23,Eaton,7,107759,1.0
24,Emmet,1,32694,1.0
25,Genesee,5,425790,1.0
26,Gladwin,4,25692,1.0
27,Gogebic,1,16427,1.0
28,Grand Traverse,1,86986,1.0
29,Gratiot,4,42476,1.0
30,Hillsdale,7,46688,1.0
31,Houghton,1,36628,1.0
32,Huron,10,33118,1.0
33,Ingham,8,280895,1.0
34,Ionia,3,63905,1.0
35,Iosco,5,25887,1.0
36,Iron,1,11817,1.0
37,Isabella,4,70311,1.0
38,Jackson,7,160248,1.0
39,Kalamazoo,6,250331,1.0
40,Kalkaska,1,17153,1.0
41,Kent,2,159860,0.265
42,Kent,3,442762,0.735
43,Keweenaw,1,2156,1.0
44,Lake,2,11539,1.0
45,Lapeer,10,88319,1.0
46,Leelanau,1,21708,1.0
47,Lenawee,7,99892,1.0
48,Livingston,8,180967,1.0
49,Luce,1,6631,1.0
50,Mackinac,1,11113,1.0
51,Macomb,9,500365,0.595
52,Macomb,10,340613,0.405
53,Manistee,1,24733,1.0
54,Marquette,1,67077,1.0
55,Mason,1,7574,0.264
56,Mason,2,21131,0.736
57,Mecosta,4,42798,1.0
58,Menominee,1,24029,1.0
59,Midland,4,83629,1.0
60,Missaukee,4,14849,1.0
61,Monroe,7,152021,1.0
62,Montcalm,3,3990,0.063
63,Montcalm,4,59352,0.937
64,Montmorency,1,9765,1.0
65,Muskegon,2,172188,1.0
66,Newaygo,2,48460,1.0
67,Oakland,8,244106,0.203
68,Oakland,9,205474,0.171
69,Oakland,10,7,0.0
70,Oakland,11,450967,0.375
71,Oakland,14,301808,0.251
72,Oceana,2,26570,1.0
73,Ogemaw,4,21699,1.0
74,Ontonagon,1,6780,1.0
75,Osceola,4,23528,1.0
76,Oscoda,1,8640,1.0
77,Otsego,1,24164,1.0
78,Ottawa,2,263801,1.0
79,Presque Isle,1,13376,1.0
80,Roscommon,4,24449,1.0
81,Saginaw,4,87500,0.437
82,Saginaw,5,112669,0.563
83,St. Clair,10,163040,1.0
84,St. Joseph,6,61295,1.0
85,Sanilac,10,43114,1.0
86,Schoolcraft,1,8485,1.0
87,Shiawassee,4,70648,1.0
88,Tuscola,5,17959,0.322
89,Tuscola,10,37770,0.678
90,Van Buren,6,76258,1.0
91,Washtenaw,7,94118,0.273
92,Washtenaw,12,250673,0.727
93,Wayne,9,5,0.0
94,Wayne,11,255007,0.14
95,Wayne,12,455257,0.25
96,Wayne,13,706018,0.388
97,Wayne,14,404297,0.222
98,Wexford,4,32735,1.0
