,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Adams,3,32297,1.0
1,Alcorn,1,37057,1.0
2,Amite,3,13131,1.0
3,Attala,2,19564,1.0
4,Benton,1,8729,1.0
5,Bolivar,2,34145,1.0
6,Calhoun,1,14962,1.0
7,Carroll,2,10597,1.0
8,Chickasaw,1,17392,1.0
9,Choctaw,1,8547,1.0
10,Claiborne,2,9604,1.0
11,Clarke,3,14694,0.878
12,Clarke,4,2038,0.122
13,Clay,1,20634,1.0
14,Coahoma,2,26151,1.0
15,Copiah,2,29449,1.0
16,Covington,3,19568,1.0
17,DeSoto,1,161252,1.0
18,Forrest,4,74934,1.0
19,Franklin,3,8118,1.0
20,George,4,22578,1.0
21,Greene,4,14400,1.0
22,Grenada,2,21906,1.0
23,Hancock,4,43929,1.0
24,Harrison,4,187105,1.0
25,Hinds,2,214647,0.875
26,Hinds,3,30638,0.125
27,Holmes,2,19198,1.0
28,Humphreys,2,9375,1.0
29,Issaquena,2,1406,1.0
30,Itawamba,1,23401,1.0
31,Jackson,4,139668,1.0
32,Jasper,3,17062,1.0
33,Jefferson,2,7726,1.0
34,Jefferson Davis,3,12487,1.0
35,Jones,4,67761,1.0
36,Kemper,3,10456,1.0
37,Lafayette,1,47351,1.0
38,Lamar,4,55658,1.0
39,Lauderdale,3,80261,1.0
40,Lawrence,3,12929,1.0
41,Leake,2,23805,1.0
42,Lee,1,82910,1.0
43,Leflore,2,32317,1.0
44,Lincoln,3,34869,1.0
45,Lowndes,1,59779,1.0
46,Madison,2,26942,0.283
47,Madison,3,68261,0.717
48,Marion,4,27088,1.0
49,Marshall,1,37144,1.0
50,Monroe,1,36989,1.0
51,Montgomery,2,10925,1.0
52,Neshoba,3,29676,1.0
53,Newton,3,21720,1.0
54,Noxubee,3,11545,1.0
55,Oktibbeha,1,3161,0.066
56,Oktibbeha,3,44510,0.934
57,Panola,2,34707,1.0
58,Pearl River,4,55834,1.0
59,Perry,4,12250,1.0
60,Pike,3,40404,1.0
61,Pontotoc,1,29957,1.0
62,Prentiss,1,25276,1.0
63,Quitman,2,8223,1.0
64,Rankin,3,141617,1.0
65,Scott,3,28264,1.0
66,Sharkey,2,4916,1.0
67,Simpson,3,27503,1.0
68,Smith,3,16491,1.0
69,Stone,4,17786,1.0
70,Sunflower,2,29450,1.0
71,Tallahatchie,2,15378,1.0
72,Tate,1,28886,1.0
73,Tippah,1,22232,1.0
74,Tishomingo,1,19593,1.0
75,Tunica,2,10778,1.0
76,Union,1,27134,1.0
77,Walthall,3,15443,1.0
78,Warren,2,48773,1.0
79,Washington,2,51137,1.0
80,Wayne,4,20747,1.0
81,Webster,1,10253,1.0
82,Wilkinson,3,9878,1.0
83,Winston,1,19198,1.0
84,Yalobusha,2,12678,1.0
85,Yazoo,2,28065,1.0
