,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Adams,AL,2343,1
1,Barnes,AL,11066,1
2,Benson,AL,6660,1
3,Billings,AL,783,1
4,Bottineau,AL,6429,1
5,Bowman,AL,3151,1
6,Burke,AL,1968,1
7,Burleigh,AL,81308,1
8,Cass,AL,149778,1
9,Cavalier,AL,3993,1
10,Dickey,AL,5289,1
11,Divide,AL,2071,1
12,Dunn,AL,3536,1
13,Eddy,AL,2385,1
14,Emmons,AL,3550,1
15,Foster,AL,3343,1
16,Golden Valley,AL,1680,1
17,Grand Forks,AL,66861,1
18,Grant,AL,2394,1
19,Griggs,AL,2420,1
20,Hettinger,AL,2477,1
21,Kidder,AL,2435,1
22,LaMoure,AL,4139,1
23,Logan,AL,1990,1
24,McHenry,AL,5395,1
25,McIntosh,AL,2809,1
26,McKenzie,AL,6360,1
27,McLean,AL,8962,1
28,Mercer,AL,8424,1
29,Morton,AL,27471,1
30,Mountrail,AL,7673,1
31,Nelson,AL,3126,1
32,Oliver,AL,1846,1
33,Pembina,AL,7413,1
34,Pierce,AL,4357,1
35,Ramsey,AL,11451,1
36,Ransom,AL,5457,1
37,Renville,AL,2470,1
38,Richland,AL,16321,1
39,Rolette,AL,13937,1
40,Sargent,AL,3829,1
41,Sheridan,AL,1321,1
42,Sioux,AL,4153,1
43,Slope,AL,727,1
44,Stark,AL,24199,1
45,Steele,AL,1975,1
46,Stutsman,AL,21100,1
47,Towner,AL,2246,1
48,Traill,AL,8121,1
49,Walsh,AL,11119,1
50,Ward,AL,61675,1
51,Wells,AL,4207,1
52,Williams,AL,22398,1
