,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Baker,2,16134,1.0
1,Benton,4,75575,0.883
2,Benton,5,10004,0.117
3,Clackamas,3,89120,0.237
4,Clackamas,5,286872,0.763
5,Clatsop,1,37039,1.0
6,Columbia,1,49351,1.0
7,Coos,4,63043,1.0
8,Crook,2,20978,1.0
9,Curry,4,22364,1.0
10,Deschutes,2,157733,1.0
11,Douglas,4,107667,1.0
12,Gilliam,2,1871,1.0
13,Grant,2,7445,1.0
14,Harney,2,7422,1.0
15,Hood River,2,22346,1.0
16,Jackson,2,203206,1.0
17,Jefferson,2,21720,1.0
18,Josephine,2,53535,0.647
19,Josephine,4,29178,0.353
20,Klamath,2,66380,1.0
21,Lake,2,7895,1.0
22,Lane,4,351715,1.0
23,Lincoln,5,46034,1.0
24,Linn,4,116672,1.0
25,Malheur,2,31313,1.0
26,Marion,5,315335,1.0
27,Morrow,2,11173,1.0
28,Multnomah,1,50923,0.069
29,Multnomah,3,677095,0.921
30,Multnomah,5,7316,0.01
31,Polk,1,3,0.0
32,Polk,5,75400,1.0
33,Sherman,2,1765,1.0
34,Tillamook,5,25250,1.0
35,Umatilla,2,75889,1.0
36,Union,2,25748,1.0
37,Wallowa,2,7008,1.0
38,Wasco,2,25213,1.0
39,Washington,1,529710,1.0
40,Wheeler,2,1441,1.0
41,Yamhill,1,99191,1.0
42,Yamhill,5,2,0.0
