,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Adams,13,101407,1.0
1,Allegheny,17,517660,0.423
2,Allegheny,18,705688,0.577
3,Armstrong,15,68941,1.0
4,Beaver,17,170539,1.0
5,Bedford,13,49762,1.0
6,Berks,4,18330,0.045
7,Berks,6,206802,0.503
8,Berks,9,186310,0.453
9,Blair,13,127089,1.0
10,Bradford,12,62622,1.0
11,Bucks,1,625249,1.0
12,Butler,15,37763,0.205
13,Butler,16,128610,0.699
14,Butler,17,17489,0.095
15,Cambria,13,50172,0.349
16,Cambria,15,93507,0.651
17,Cameron,15,5085,1.0
18,Carbon,9,65249,1.0
19,Centre,12,89219,0.579
20,Centre,15,64771,0.421
21,Chester,6,498886,1.0
22,Clarion,15,39988,1.0
23,Clearfield,15,81642,1.0
24,Clinton,12,39238,1.0
25,Columbia,9,67295,1.0
26,Crawford,16,88765,1.0
27,Cumberland,10,188859,0.802
28,Cumberland,13,46547,0.198
29,Dauphin,10,268100,1.0
30,Delaware,5,558979,1.0
31,Elk,15,31946,1.0
32,Erie,16,280566,1.0
33,Fayette,14,136606,1.0
34,Forest,15,7716,1.0
35,Franklin,13,149618,1.0
36,Fulton,13,14845,1.0
37,Greene,14,38686,1.0
38,Huntingdon,13,45913,1.0
39,Indiana,15,88880,1.0
40,Jefferson,15,45200,1.0
41,Juniata,12,24636,1.0
42,Lackawanna,8,214437,1.0
43,Lancaster,11,519445,1.0
44,Lawrence,16,91108,1.0
45,Lebanon,9,133568,1.0
46,Lehigh,7,349497,1.0
47,Luzerne,8,269673,0.84
48,Luzerne,9,51245,0.16
49,Lycoming,12,116111,1.0
50,Mc Kean,15,43450,1.0
51,Mercer,16,116638,1.0
52,Mifflin,12,46682,1.0
53,Monroe,7,58456,0.344
54,Monroe,8,111386,0.656
55,Montgomery,1,80438,0.101
56,Montgomery,4,687357,0.859
57,Montgomery,5,32079,0.04
58,Montour,9,18267,1.0
59,Northampton,7,297735,1.0
60,Northumberland,9,35464,0.375
61,Northumberland,12,59064,0.625
62,Perry,12,45969,1.0
63,Philadelphia,2,705688,0.462
64,Philadelphia,3,705688,0.462
65,Philadelphia,5,114630,0.075
66,Pike,8,57369,1.0
67,Potter,12,17457,1.0
68,Schuylkill,9,148289,1.0
69,Snyder,12,39702,1.0
70,Somerset,13,77742,1.0
71,Sullivan,12,6428,1.0
72,Susquehanna,12,43356,1.0
73,Tioga,12,41981,1.0
74,Union,12,44947,1.0
75,Venango,15,54984,1.0
76,Warren,15,41815,1.0
77,Washington,14,207820,1.0
78,Wayne,8,52822,1.0
79,Westmoreland,13,42593,0.117
80,Westmoreland,14,322576,0.883
81,Wyoming,12,28276,1.0
82,York,10,248729,0.572
83,York,11,186243,0.428
