,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Abbeville,3,25417,1.0
1,Aiken,2,160099,1.0
2,Allendale,6,10419,1.0
3,Anderson,3,187126,1.0
4,Bamberg,6,15987,1.0
5,Barnwell,2,22621,1.0
6,Beaufort,1,148174,0.913
7,Beaufort,6,14059,0.087
8,Berkeley,1,149751,0.842
9,Berkeley,6,28092,0.158
10,Calhoun,6,15175,1.0
11,Charleston,1,245876,0.702
12,Charleston,6,104333,0.298
13,Cherokee,5,55342,1.0
14,Chester,5,33140,1.0
15,Chesterfield,7,46734,1.0
16,Clarendon,6,34971,1.0
17,Colleton,1,529,0.014
18,Colleton,6,38363,0.986
19,Darlington,7,68681,1.0
20,Dillon,7,32062,1.0
21,Dorchester,1,116436,0.853
22,Dorchester,6,20119,0.147
23,Edgefield,3,26985,1.0
24,Fairfield,5,23956,1.0
25,Florence,6,15039,0.11
26,Florence,7,121846,0.89
27,Georgetown,7,60158,1.0
28,Greenville,3,54952,0.122
29,Greenville,4,396273,0.878
30,Greenwood,3,69661,1.0
31,Hampton,6,21090,1.0
32,Horry,7,269291,1.0
33,Jasper,6,24777,1.0
34,Kershaw,5,61697,1.0
35,Lancaster,5,76652,1.0
36,Laurens,3,66537,1.0
37,Lee,5,19220,1.0
38,Lexington,2,262391,1.0
39,McCormick,3,10233,1.0
40,Marion,7,33062,1.0
41,Marlboro,7,28933,1.0
42,Newberry,3,6484,0.173
43,Newberry,5,31024,0.827
44,Oconee,3,74273,1.0
45,Orangeburg,2,20438,0.221
46,Orangeburg,6,72063,0.779
47,Pickens,3,119224,1.0
48,Richland,2,195217,0.508
49,Richland,6,189287,0.492
50,Saluda,3,19875,1.0
51,Spartanburg,4,264493,0.93
52,Spartanburg,5,19814,0.07
53,Sumter,5,84887,0.79
54,Sumter,6,22569,0.21
55,Union,5,28961,1.0
56,Williamsburg,6,34423,1.0
57,York,5,226073,1.0
