,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Anderson,3,75129,1.0
1,Bedford,4,45058,1.0
2,Benton,7,16394,0.994
3,Benton,8,95,0.006
4,Bledsoe,4,12876,1.0
5,Blount,2,123010,1.0
6,Bradley,3,27518,0.278
7,Bradley,4,71445,0.722
8,Campbell,2,5816,0.143
9,Campbell,3,34900,0.857
10,Cannon,6,13801,1.0
11,Carroll,8,28522,1.0
12,Carter,1,57424,1.0
13,Cheatham,5,28780,0.736
14,Cheatham,6,10325,0.264
15,Chester,7,17131,1.0
16,Claiborne,2,32213,1.0
17,Clay,6,7861,1.0
18,Cocke,1,35662,1.0
19,Coffee,6,52796,1.0
20,Crockett,8,14586,1.0
21,Cumberland,6,56053,1.0
22,Davidson,5,626681,1.0
23,Decatur,7,11757,1.0
24,DeKalb,6,18723,1.0
25,Dickson,5,49666,1.0
26,Dyer,8,38335,1.0
27,Fayette,8,38413,1.0
28,Fentress,6,17959,1.0
29,Franklin,4,41052,1.0
30,Gibson,8,49683,1.0
31,Giles,7,29485,1.0
32,Grainger,2,22657,1.0
33,Greene,1,68831,1.0
34,Grundy,4,13703,1.0
35,Hamblen,1,62544,1.0
36,Hamilton,3,336463,1.0
37,Hancock,1,6819,1.0
38,Hardeman,7,27253,1.0
39,Hardin,7,26026,1.0
40,Hawkins,1,56833,1.0
41,Haywood,8,18787,1.0
42,Henderson,7,27769,1.0
43,Henry,8,32330,1.0
44,Hickman,7,24690,1.0
45,Houston,7,8426,1.0
46,Humphreys,7,18538,1.0
47,Jackson,6,11638,1.0
48,Jefferson,1,10762,0.209
49,Jefferson,2,40645,0.791
50,Johnson,1,18244,1.0
51,Knox,2,432226,1.0
52,Lake,8,7832,1.0
53,Lauderdale,8,27815,1.0
54,Lawrence,7,41869,1.0
55,Lewis,7,12161,1.0
56,Lincoln,4,33361,1.0
57,Loudon,2,48556,1.0
58,McMinn,3,52266,1.0
59,McNairy,7,26075,1.0
60,Macon,6,22248,1.0
61,Madison,8,98294,1.0
62,Marion,4,28237,1.0
63,Marshall,4,30617,1.0
64,Maury,4,57180,0.706
65,Maury,7,23776,0.294
66,Meigs,4,11753,1.0
67,Monroe,3,44519,1.0
68,Montgomery,7,172331,1.0
69,Moore,4,6362,1.0
70,Morgan,3,21987,1.0
71,Obion,8,31807,1.0
72,Overton,6,22083,1.0
73,Perry,7,7915,1.0
74,Pickett,6,5077,1.0
75,Polk,3,16825,1.0
76,Putnam,6,72321,1.0
77,Rhea,4,31809,1.0
78,Roane,3,54181,1.0
79,Robertson,6,66283,1.0
80,Rutherford,4,262604,1.0
81,Scott,3,22228,1.0
82,Sequatchie,4,14112,1.0
83,Sevier,1,89889,1.0
84,Shelby,8,222521,0.24
85,Shelby,9,705123,0.76
86,Smith,6,19166,1.0
87,Stewart,7,13324,1.0
88,Sullivan,1,156823,1.0
89,Sumner,6,160645,1.0
90,Tipton,8,61081,1.0
91,Trousdale,6,7870,1.0
92,Unicoi,1,18313,1.0
93,Union,3,19109,1.0
94,Van Buren,4,5112,0.921
95,Van Buren,6,436,0.079
96,Warren,4,39839,1.0
97,Washington,1,122979,1.0
98,Wayne,7,17021,1.0
99,Weakley,8,35021,1.0
100,White,6,25841,1.0
101,Williamson,7,183182,1.0
102,Wilson,6,113993,1.0
