,County,CD #,"CD Pop.
in County","% of County
in CD"
0,Beaver,2,6629,1.0
1,Box Elder,1,49975,1.0
2,Cache,1,112656,1.0
3,Carbon,3,21403,1.0
4,Daggett,1,1059,1.0
5,Davis,1,196793,0.642
6,Davis,2,109686,0.358
7,Duchesne,1,18607,1.0
8,Emery,3,10976,1.0
9,Garfield,2,5172,1.0
10,Grand,3,9225,1.0
11,Iron,2,46163,1.0
12,Juab,2,880,0.086
13,Juab,4,9366,0.914
14,Kane,2,7125,1.0
15,Millard,2,12503,1.0
16,Morgan,1,9469,1.0
17,Piute,2,1556,1.0
18,Rich,1,2264,1.0
19,Salt Lake,2,264896,0.257
20,Salt Lake,3,177165,0.172
21,Salt Lake,4,587594,0.571
22,San Juan,3,14746,1.0
23,Sanpete,2,16448,0.591
24,Sanpete,4,11374,0.409
25,Sevier,2,20802,1.0
26,Summit,1,36324,1.0
27,Tooele,2,58218,1.0
28,Uintah,1,32588,1.0
29,Utah,3,433927,0.84
30,Utah,4,82637,0.16
31,Wasatch,3,23530,1.0
32,Washington,2,138115,1.0
33,Wayne,2,2778,1.0
34,Weber,1,231236,1.0
