,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Arkansas,12,1991,0.105
1,Arkansas,13,15966,0.839
2,Arkansas,14,1062,0.056
3,Ashley,8,3801,0.174
4,Ashley,9,14012,0.641
5,Ashley,11,4040,0.185
6,Baxter,61,377,0.009
7,Baxter,64,7811,0.188
8,Baxter,99,4327,0.104
9,Baxter,100,28998,0.699
10,Benton,87,16837,0.076
11,Benton,90,29273,0.132
12,Benton,91,29161,0.132
13,Benton,92,28977,0.131
14,Benton,93,29219,0.132
15,Benton,94,29300,0.132
16,Benton,95,29256,0.132
17,Benton,96,29316,0.132
18,Boone,83,9984,0.271
19,Boone,98,19547,0.53
20,Boone,99,7372,0.2
21,Bradley,8,11508,1.0
22,Calhoun,7,1458,0.272
23,Calhoun,8,3910,0.728
24,Carroll,83,2252,0.082
25,Carroll,97,15819,0.576
26,Carroll,98,9375,0.342
27,Chicot,11,11800,1.0
28,Clark,18,19028,0.827
29,Clark,19,3967,0.173
30,Clay,56,16083,1.0
31,Cleburne,64,12462,0.48
32,Cleburne,66,13508,0.52
33,Cleveland,8,1710,0.197
34,Cleveland,10,6979,0.803
35,Columbia,2,12697,0.517
36,Columbia,5,10228,0.417
37,Columbia,6,1627,0.066
38,Conway,65,21172,0.995
39,Conway,73,101,0.005
40,Craighead,52,9445,0.098
41,Craighead,53,28265,0.293
42,Craighead,58,28975,0.3
43,Craighead,59,29758,0.309
44,Crawford,75,7764,0.125
45,Crawford,79,29291,0.473
46,Crawford,80,6982,0.113
47,Crawford,81,17218,0.278
48,Crawford,82,693,0.011
49,Crittenden,50,22052,0.433
50,Crittenden,51,27821,0.547
51,Crittenden,55,1029,0.02
52,Cross,49,11660,0.652
53,Cross,50,6210,0.348
54,Dallas,8,6344,0.782
55,Dallas,18,1772,0.218
56,Desha,11,12934,0.994
57,Desha,12,74,0.006
58,Drew,8,1586,0.086
59,Drew,9,15304,0.827
60,Drew,10,1619,0.087
61,Faulkner,40,15957,0.141
62,Faulkner,44,2750,0.024
63,Faulkner,66,7312,0.065
64,Faulkner,67,28823,0.255
65,Faulkner,70,29213,0.258
66,Faulkner,72,29182,0.258
67,Franklin,74,896,0.049
68,Franklin,82,17229,0.951
69,Fulton,61,12245,1.0
70,Garland,18,7786,0.081
71,Garland,21,2280,0.024
72,Garland,22,23110,0.241
73,Garland,24,28857,0.301
74,Garland,25,29580,0.308
75,Garland,26,4411,0.046
76,Grant,10,2752,0.154
77,Grant,15,15101,0.846
78,Greene,56,10060,0.239
79,Greene,57,29083,0.691
80,Greene,60,2947,0.07
81,Hempstead,3,21834,0.966
82,Hempstead,19,775,0.034
83,Hot Spring,15,6560,0.199
84,Hot Spring,18,1672,0.051
85,Hot Spring,26,24691,0.75
86,Howard,4,1564,0.113
87,Howard,19,12225,0.887
88,Independence,47,2116,0.058
89,Independence,52,2525,0.069
90,Independence,62,2594,0.071
91,Independence,63,29412,0.803
92,Izard,62,13696,1.0
93,Jackson,47,13190,0.733
94,Jackson,52,4807,0.267
