,County.2,HD #,"HD Pop.
in County","% of County
in HD"
0,Adams,79,34387,1.0
1,Allen,50,21961,0.062
2,Allen,52,19530,0.055
3,Allen,79,10900,0.031
4,Allen,80,65207,0.184
5,Allen,81,65275,0.184
6,Allen,82,5158,0.015
7,Allen,83,36998,0.104
8,Allen,84,65290,0.184
9,Allen,85,65010,0.183
10,Bartholomew,57,11178,0.146
11,Bartholomew,59,64321,0.838
12,Bartholomew,69,1295,0.017
13,Benton,13,8854,1.0
14,Blackford,31,12621,0.989
15,Blackford,33,145,0.011
16,Boone,24,25085,0.443
17,Boone,28,2866,0.051
18,Boone,41,28689,0.507
19,Brown,65,15242,1.0
20,Carroll,25,12193,0.605
21,Carroll,38,7962,0.395
22,Cass,23,28283,0.726
23,Cass,25,4857,0.125
24,Cass,38,5826,0.15
25,Clark,66,19629,0.178
26,Clark,70,18057,0.164
27,Clark,71,65078,0.59
28,Clark,73,7468,0.068
29,Clay,42,15179,0.564
30,Clay,44,5422,0.202
31,Clay,46,6289,0.234
32,Clinton,25,6075,0.183
33,Clinton,38,27149,0.817
34,Crawford,74,10713,1.0
35,Daviess,45,903,0.029
36,Daviess,62,3295,0.104
37,Daviess,63,27450,0.867
38,Dearborn,67,9953,0.199
39,Dearborn,68,40094,0.801
40,Decatur,55,18815,0.731
41,Decatur,67,6925,0.269
42,De Kalb,52,42223,1.0
43,Delaware,31,6925,0.059
44,Delaware,32,2027,0.017
45,Delaware,33,17467,0.148
46,Delaware,34,64466,0.548
47,Delaware,35,26786,0.228
48,Dubois,63,24950,0.596
49,Dubois,74,16939,0.404
50,Elkhart,21,50586,0.256
51,Elkhart,22,14335,0.073
52,Elkhart,48,65059,0.329
53,Elkhart,49,64616,0.327
54,Elkhart,82,2963,0.015
55,Fayette,55,24277,1.0
56,Floyd,70,9647,0.129
57,Floyd,72,64931,0.871
58,Fountain,13,12124,0.703
59,Fountain,42,5116,0.297
60,Franklin,55,6076,0.263
61,Franklin,68,17011,0.737
62,Fulton,16,1966,0.094
63,Fulton,17,17256,0.828
64,Fulton,23,1614,0.077
65,Gibson,64,33503,1.0
66,Grant,18,3576,0.051
67,Grant,30,8055,0.115
68,Grant,31,43103,0.615
