,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Adams,47.0,67103.0,1.0
1,Alexander,59.0,8238.0,1.0
2,Bond,54.0,17768.0,1.0
3,Boone,35.0,54165.0,1.0
4,Brown,47.0,6937.0,1.0
5,Bureau,37.0,22091.0,0.632
6,Bureau,38.0,12887.0,0.368
7,Calhoun,50.0,5089.0,1.0
8,Carroll,36.0,5425.0,0.353
9,Carroll,45.0,9962.0,0.647
10,Cass,47.0,13642.0,1.0
11,Champaign,51.0,48844.0,0.243
12,Champaign,52.0,152237.0,0.757
13,Christian,48.0,34800.0,1.0
14,Clark,55.0,16335.0,1.0
15,Clay,55.0,13815.0,1.0
16,Clinton,54.0,37762.0,1.0
17,Coles,55.0,53873.0,1.0
18,Cook,1.0,217468.0,0.042
19,Cook,2.0,217468.0,0.042
20,Cook,3.0,217468.0,0.042
21,Cook,4.0,217468.0,0.042
22,Cook,5.0,217468.0,0.042
23,Cook,6.0,217468.0,0.042
24,Cook,7.0,217468.0,0.042
25,Cook,8.0,217469.0,0.042
26,Cook,9.0,217468.0,0.042
27,Cook,10.0,217468.0,0.042
28,Cook,11.0,217468.0,0.042
29,Cook,12.0,217468.0,0.042
30,Cook,13.0,217468.0,0.042
31,Cook,14.0,217468.0,0.042
32,Cook,15.0,194469.0,0.037
33,Cook,16.0,217468.0,0.042
34,Cook,17.0,185654.0,0.036
35,Cook,18.0,217468.0,0.042
36,Cook,19.0,124722.0,0.024
37,Cook,20.0,217468.0,0.042
38,Cook,22.0,132150.0,0.025
39,Cook,23.0,7993.0,0.002
40,Cook,24.0,7056.0,0.001
41,Cook,25.0,8023.0,0.002
42,Cook,26.0,16066.0,0.003
43,Cook,27.0,217469.0,0.042
44,Cook,28.0,196167.0,0.038
45,Cook,29.0,112082.0,0.022
46,Cook,30.0,15888.0,0.003
47,Cook,39.0,171379.0,0.033
48,Cook,40.0,65156.0,0.013
49,Cook,41.0,43444.0,0.008
50,Crawford,55.0,19817.0,1.0
51,Cumberland,55.0,11048.0,1.0
52,DeKalb,35.0,82517.0,0.785
53,DeKalb,45.0,22643.0,0.215
54,De Witt,51.0,16561.0,1.0
55,Douglas,51.0,19980.0,1.0
56,DuPage,21.0,183687.0,0.2
57,DuPage,23.0,209490.0,0.228
58,DuPage,24.0,210398.0,0.229
59,DuPage,25.0,42075.0,0.046
60,DuPage,28.0,21302.0,0.023
61,DuPage,39.0,46089.0,0.05
62,DuPage,41.0,144227.0,0.157
63,DuPage,42.0,42260.0,0.046
64,DuPage,43.0,17396.0,0.019
65,Edgar,51.0,16842.0,0.907
66,Edgar,55.0,1734.0,0.093
67,Edwards,55.0,6721.0,1.0
68,Effingham,54.0,26253.0,0.767
69,Effingham,55.0,7989.0,0.233
70,Fayette,54.0,22140.0,1.0
71,Ford,53.0,14081.0,1.0
72,Franklin,59.0,39561.0,1.0
