,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Adair,16.0,18656.0,1.0
1,Allen,9.0,19956.0,1.0
2,Anderson,7.0,21421.0,1.0
3,Ballard,2.0,8249.0,1.0
4,Barren,9.0,42173.0,1.0
5,Bath,21.0,11591.0,1.0
6,Bell,30.0,28691.0,1.0
7,Boone,11.0,118811.0,1.0
8,Bourbon,27.0,19985.0,1.0
9,Boyd,18.0,49542.0,1.0
10,Boyle,15.0,28432.0,1.0
11,Bracken,24.0,8488.0,1.0
12,Breathitt,30.0,13878.0,1.0
13,Breckinridge,5.0,20059.0,1.0
14,Bullitt,38.0,74319.0,1.0
15,Butler,6.0,12690.0,1.0
16,Caldwell,4.0,12984.0,1.0
17,Calloway,1.0,37191.0,1.0
18,Campbell,24.0,90336.0,1.0
19,Carlisle,2.0,5104.0,1.0
20,Carroll,20.0,10811.0,1.0
21,Carter,18.0,27720.0,1.0
22,Casey,14.0,15955.0,1.0
23,Christian,3.0,73955.0,1.0
24,Clark,28.0,35613.0,1.0
25,Clay,25.0,21730.0,1.0
26,Clinton,16.0,10272.0,1.0
27,Crittenden,4.0,9315.0,1.0
28,Cumberland,16.0,6856.0,1.0
29,Daviess,8.0,96656.0,1.0
30,Edmonson,5.0,12161.0,1.0
31,Elliott,31.0,7852.0,1.0
32,Estill,21.0,14672.0,1.0
33,Fayette,12.0,110318.0,0.373
34,Fayette,13.0,115389.0,0.39
35,Fayette,22.0,11548.0,0.039
36,Fayette,28.0,48216.0,0.163
37,Fayette,34.0,10332.0,0.035
38,Fleming,27.0,14348.0,1.0
39,Floyd,29.0,39451.0,1.0
40,Franklin,7.0,49285.0,1.0
41,Fulton,1.0,6813.0,1.0
42,Gallatin,7.0,8589.0,1.0
43,Garrard,22.0,16912.0,1.0
44,Grant,17.0,24662.0,1.0
45,Graves,1.0,37121.0,1.0
46,Grayson,5.0,25746.0,1.0
47,Green,9.0,11258.0,1.0
48,Greenup,18.0,36910.0,1.0
49,Hancock,8.0,8565.0,1.0
50,Hardin,10.0,105543.0,1.0
51,Harlan,29.0,29278.0,1.0
52,Harrison,27.0,18846.0,1.0
53,Hart,5.0,18199.0,1.0
54,Henderson,4.0,46250.0,1.0
55,Henry,20.0,15416.0,1.0
56,Hickman,1.0,4902.0,1.0
57,Hopkins,6.0,46920.0,1.0
58,Jackson,21.0,13494.0,1.0
59,Jefferson,10.0,13482.0,0.018
60,Jefferson,14.0,20779.0,0.028
61,Jefferson,19.0,119076.0,0.161
62,Jefferson,20.0,32654.0,0.044
63,Jefferson,26.0,51111.0,0.069
64,Jefferson,33.0,110891.0,0.15
65,Jefferson,35.0,115338.0,0.156
66,Jefferson,36.0,114999.0,0.155
67,Jefferson,37.0,117972.0,0.159
68,Jefferson,38.0,44794.0,0.06
69,Jessamine,22.0,48586.0,1.0
70,Johnson,30.0,23356.0,1.0
71,Kenton,17.0,44129.0,0.276
72,Kenton,23.0,115591.0,0.724
73,Knott,29.0,16346.0,1.0
74,Knox,25.0,31883.0,1.0
75,Larue,5.0,14193.0,1.0
76,Laurel,21.0,58849.0,1.0
77,Lawrence,31.0,15860.0,1.0
78,Lee,25.0,7887.0,1.0
79,Leslie,30.0,11310.0,1.0
80,Letcher,29.0,24519.0,1.0
81,Lewis,27.0,13870.0,1.0
82,Lincoln,15.0,24742.0,1.0
83,Livingston,4.0,9519.0,1.0
84,Logan,3.0,26835.0,1.0
85,Lyon,1.0,8314.0,1.0
86,McCracken,2.0,65565.0,1.0
87,McCreary,16.0,18306.0,1.0
88,McLean,8.0,9531.0,1.0
89,Madison,34.0,82916.0,1.0
90,Magoffin,30.0,13333.0,1.0
91,Marion,14.0,19820.0,1.0
92,Marshall,2.0,31448.0,1.0
93,Martin,31.0,12929.0,1.0
94,Mason,27.0,17490.0,1.0
95,Meade,5.0,28602.0,1.0
96,Menifee,21.0,6306.0,1.0
97,Mercer,22.0,21331.0,1.0
98,Metcalfe,9.0,10099.0,1.0
99,Monroe,9.0,10963.0,1.0
100,Montgomery,28.0,26499.0,1.0
101,Morgan,31.0,13923.0,1.0
102,Muhlenberg,6.0,31499.0,1.0
103,Nelson,14.0,43437.0,1.0
104,Nicholas,27.0,7135.0,1.0
105,Ohio,6.0,23842.0,1.0
106,Oldham,26.0,60316.0,1.0
107,Owen,7.0,10841.0,1.0
108,Owsley,25.0,4755.0,1.0
109,Pendleton,24.0,14877.0,1.0
110,Perry,30.0,28712.0,1.0
111,Pike,31.0,65024.0,1.0
112,Powell,21.0,12613.0,1.0
113,Pulaski,15.0,63063.0,1.0
114,Robertson,27.0,2282.0,1.0
115,Rockcastle,34.0,17056.0,1.0
116,Rowan,27.0,23333.0,1.0
117,Russell,16.0,17565.0,1.0
118,Scott,17.0,47173.0,1.0
119,Shelby,20.0,42074.0,1.0
120,Simpson,9.0,17327.0,1.0
121,Spencer,14.0,17061.0,1.0
122,Taylor,16.0,24512.0,1.0
123,Todd,3.0,12460.0,1.0
124,Trigg,1.0,14339.0,1.0
125,Trimble,20.0,8809.0,1.0
126,Union,4.0,15007.0,1.0
127,Warren,32.0,113792.0,1.0
128,Washington,22.0,11717.0,1.0
129,Wayne,16.0,20813.0,1.0
130,Webster,4.0,13621.0,1.0
131,Whitley,25.0,35637.0,1.0
132,Wolfe,25.0,7355.0,1.0
133,Woodford,7.0,24939.0,1.0
