,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Belknap ,2.0,16040.0,0.267
1,Belknap ,6.0,13620.0,0.227
2,Belknap ,7.0,30428.0,0.506
3,Carroll ,3.0,47818.0,1.0
4,Cheshire ,8.0,1974.0,0.026
5,Cheshire ,9.0,12753.0,0.165
6,Cheshire ,10.0,56381.0,0.731
7,Cheshire ,12.0,6009.0,0.078
8,Coos ,1.0,33055.0,1.0
9,Grafton ,1.0,20673.0,0.232
10,Grafton ,2.0,33580.0,0.377
11,Grafton ,3.0,247.0,0.003
12,Grafton ,5.0,34618.0,0.388
13,Hillsborough ,8.0,22607.0,0.056
14,Hillsborough ,9.0,42021.0,0.105
15,Hillsborough ,11.0,55487.0,0.138
16,Hillsborough ,12.0,50116.0,0.125
17,Hillsborough ,13.0,57639.0,0.144
18,Hillsborough ,14.0,24466.0,0.061
19,Hillsborough ,16.0,27342.0,0.068
20,Hillsborough ,18.0,54264.0,0.135
21,Hillsborough ,20.0,53882.0,0.134
22,Hillsborough ,22.0,12897.0,0.032
23,Merrimack ,2.0,3611.0,0.025
24,Merrimack ,7.0,25248.0,0.172
25,Merrimack ,8.0,9956.0,0.068
26,Merrimack ,15.0,55953.0,0.382
27,Merrimack ,16.0,23728.0,0.162
28,Merrimack ,17.0,27949.0,0.191
29,Rockingham ,14.0,29054.0,0.098
30,Rockingham ,16.0,3909.0,0.013
31,Rockingham ,17.0,23440.0,0.079
32,Rockingham ,19.0,55250.0,0.187
33,Rockingham ,21.0,32148.0,0.109
34,Rockingham ,22.0,43138.0,0.146
35,Rockingham ,23.0,53013.0,0.18
36,Rockingham ,24.0,55271.0,0.187
37,Strafford ,3.0,6381.0,0.052
38,Strafford ,4.0,52856.0,0.429
39,Strafford ,6.0,39176.0,0.318
40,Strafford ,17.0,3991.0,0.032
41,Strafford ,21.0,20739.0,0.168
42,Sullivan ,5.0,22473.0,0.514
43,Sullivan ,8.0,21269.0,0.486
