,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Bernalillo,9.0,1658.0,0.003
1,Bernalillo,10.0,41265.0,0.062
2,Bernalillo,11.0,48958.0,0.074
3,Bernalillo,12.0,48836.0,0.074
4,Bernalillo,13.0,48804.0,0.074
5,Bernalillo,14.0,48819.0,0.074
6,Bernalillo,15.0,49229.0,0.074
7,Bernalillo,16.0,48382.0,0.073
8,Bernalillo,17.0,48110.0,0.073
9,Bernalillo,18.0,49450.0,0.075
10,Bernalillo,19.0,29742.0,0.045
11,Bernalillo,20.0,49877.0,0.075
12,Bernalillo,21.0,48167.0,0.073
13,Bernalillo,22.0,1555.0,0.002
14,Bernalillo,23.0,48189.0,0.073
15,Bernalillo,26.0,48495.0,0.073
16,Bernalillo,29.0,2489.0,0.004
17,Bernalillo,39.0,539.0,0.001
18,Catron,28.0,3725.0,1.0
19,Chaves,27.0,14251.0,0.217
20,Chaves,32.0,40830.0,0.622
21,Chaves,33.0,10537.0,0.161
22,Chaves,42.0,27.0,0.0
23,Cibola,4.0,7903.0,0.29
24,Cibola,30.0,19310.0,0.71
25,Colfax,8.0,13750.0,1.0
26,Curry,7.0,37259.0,0.77
27,Curry,27.0,11117.0,0.23
28,DeBaca,27.0,2022.0,1.0
29,Dona Ana,31.0,48856.0,0.234
30,Dona Ana,34.0,3876.0,0.019
31,Dona Ana,35.0,7388.0,0.035
32,Dona Ana,36.0,49920.0,0.239
33,Dona Ana,37.0,49843.0,0.238
34,Dona Ana,38.0,49350.0,0.236
35,Eddy,32.0,5285.0,0.098
36,Eddy,34.0,12147.0,0.226
37,Eddy,41.0,16232.0,0.302
38,Eddy,42.0,20165.0,0.375
39,Grant,28.0,29514.0,1.0
40,Guadalupe,8.0,4687.0,1.0
41,Harding,8.0,695.0,1.0
42,Hidalgo,35.0,4894.0,1.0
43,Lea,27.0,1407.0,0.022
44,Lea,41.0,33744.0,0.521
45,Lea,42.0,29576.0,0.457
46,Lincoln,33.0,12720.0,0.621
47,Lincoln,39.0,7777.0,0.379
48,Los Alamos,5.0,12213.0,0.68
49,Los Alamos,6.0,5737.0,0.32
50,Luna,35.0,25095.0,1.0
51,McKinley,3.0,20488.0,0.287
52,McKinley,4.0,38784.0,0.542
53,McKinley,22.0,9943.0,0.139
54,McKinley,30.0,2277.0,0.032
55,Mora,8.0,4881.0,1.0
56,Otero,32.0,3613.0,0.057
57,Otero,33.0,26240.0,0.411
58,Otero,34.0,33944.0,0.532
59,Quay,7.0,7196.0,0.796
60,Quay,8.0,1845.0,0.204
61,Rio Arriba,5.0,31285.0,0.777
62,Rio Arriba,6.0,4170.0,0.104
63,Rio Arriba,22.0,4791.0,0.119
64,Roosevelt,27.0,19846.0,1.0
65,Sandoval,9.0,47284.0,0.359
66,Sandoval,10.0,7599.0,0.058
67,Sandoval,19.0,667.0,0.005
68,Sandoval,22.0,26289.0,0.2
69,Sandoval,40.0,49722.0,0.378
70,San Juan,1.0,47851.0,0.368
71,San Juan,2.0,47780.0,0.367
72,San Juan,3.0,27918.0,0.215
73,San Juan,4.0,2290.0,0.018
74,San Juan,22.0,4205.0,0.032
75,San Miguel,8.0,20281.0,0.69
76,San Miguel,39.0,9112.0,0.31
77,Santa Fe,5.0,5884.0,0.041
78,Santa Fe,6.0,9140.0,0.063
79,Santa Fe,19.0,10093.0,0.07
80,Santa Fe,24.0,49690.0,0.345
81,Santa Fe,25.0,49805.0,0.345
82,Santa Fe,39.0,19558.0,0.136
83,Sierra,35.0,11988.0,1.0
84,Socorro,28.0,15885.0,0.889
85,Socorro,30.0,1981.0,0.111
86,Taos,6.0,30941.0,0.939
87,Taos,8.0,1996.0,0.061
88,Torrance,19.0,8953.0,0.546
89,Torrance,39.0,7430.0,0.454
90,Union,7.0,4549.0,1.0
91,Valencia,29.0,48566.0,0.634
92,Valencia,30.0,23896.0,0.312
93,Valencia,39.0,4107.0,0.054
