,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Baker,30.0,16134.0,1.0
1,Benton,8.0,73110.0,0.854
2,Benton,12.0,12469.0,0.146
3,Clackamas,9.0,26545.0,0.071
4,Clackamas,13.0,16967.0,0.045
5,Clackamas,18.0,786.0,0.002
6,Clackamas,19.0,72493.0,0.193
7,Clackamas,20.0,128194.0,0.341
8,Clackamas,21.0,40034.0,0.106
9,Clackamas,24.0,30829.0,0.082
10,Clackamas,26.0,60144.0,0.16
11,Clatsop,16.0,37039.0,1.0
12,Columbia,16.0,49351.0,1.0
13,Coos,1.0,24434.0,0.388
14,Coos,5.0,38609.0,0.612
15,Crook,28.0,20978.0,1.0
16,Curry,1.0,22364.0,1.0
17,Deschutes,27.0,128368.0,0.814
18,Deschutes,28.0,12170.0,0.077
19,Deschutes,30.0,17195.0,0.109
20,Douglas,1.0,70084.0,0.651
21,Douglas,4.0,31776.0,0.295
22,Douglas,5.0,5807.0,0.054
23,Gilliam,29.0,1871.0,1.0
24,Grant,30.0,7445.0,1.0
25,Harney,30.0,7422.0,1.0
26,Hood River,26.0,22346.0,1.0
27,Jackson,1.0,1332.0,0.007
28,Jackson,2.0,55431.0,0.273
29,Jackson,3.0,126631.0,0.623
30,Jackson,28.0,19812.0,0.097
31,Jefferson,30.0,21720.0,1.0
32,Josephine,1.0,9074.0,0.11
33,Josephine,2.0,73639.0,0.89
34,Klamath,28.0,66380.0,1.0
35,Lake,28.0,7328.0,0.928
36,Lake,30.0,567.0,0.072
37,Lane,4.0,95074.0,0.27
38,Lane,5.0,18105.0,0.051
39,Lane,6.0,111026.0,0.316
40,Lane,7.0,127510.0,0.363
41,Lincoln,5.0,46034.0,1.0
42,Linn,6.0,15196.0,0.13
43,Linn,8.0,53777.0,0.461
44,Linn,9.0,47699.0,0.409
45,Malheur,30.0,31313.0,1.0
46,Marion,9.0,53373.0,0.169
47,Marion,10.0,84182.0,0.267
48,Marion,11.0,129044.0,0.409
49,Marion,12.0,9217.0,0.029
50,Marion,13.0,39465.0,0.125
51,Marion,20.0,54.0,0.0
52,Morrow,29.0,11173.0,1.0
53,Multnomah,14.0,1882.0,0.003
54,Multnomah,16.0,5382.0,0.007
55,Multnomah,17.0,18766.0,0.026
56,Multnomah,18.0,72426.0,0.098
57,Multnomah,19.0,29387.0,0.04
58,Multnomah,21.0,87075.0,0.118
59,Multnomah,22.0,128234.0,0.174
60,Multnomah,23.0,126250.0,0.172
61,Multnomah,24.0,95364.0,0.13
62,Multnomah,25.0,126395.0,0.172
63,Multnomah,26.0,44173.0,0.06
64,Polk,5.0,2849.0,0.038
65,Polk,10.0,44373.0,0.588
66,Polk,12.0,28181.0,0.374
67,Sherman,29.0,1765.0,1.0
68,Tillamook,5.0,7827.0,0.31
69,Tillamook,16.0,17423.0,0.69
70,Umatilla,29.0,75889.0,1.0
71,Union,29.0,25748.0,1.0
72,Wallowa,29.0,7008.0,1.0
73,Wasco,29.0,2264.0,0.09
74,Wasco,30.0,22949.0,0.91
75,Washington,12.0,12495.0,0.024
76,Washington,13.0,47742.0,0.09
77,Washington,14.0,127441.0,0.241
78,Washington,15.0,129263.0,0.244
79,Washington,16.0,19055.0,0.036
80,Washington,17.0,110394.0,0.208
81,Washington,18.0,55885.0,0.106
82,Washington,19.0,27435.0,0.052
83,Wheeler,30.0,1441.0,1.0
84,Yamhill,5.0,8143.0,0.082
85,Yamhill,12.0,65681.0,0.662
86,Yamhill,13.0,25367.0,0.256
87,Yamhill,16.0,2.0,0.0
