,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Barbour,14.0,16589.0,1.0
1,Berkeley,15.0,54117.0,0.52
2,Berkeley,16.0,50052.0,0.48
3,Boone,7.0,24629.0,1.0
4,Braxton,12.0,14523.0,1.0
5,Brooke,1.0,24069.0,1.0
6,Cabell,5.0,96319.0,1.0
7,Calhoun,2.0,7627.0,1.0
8,Clay,12.0,9386.0,1.0
9,Doddridge,2.0,8202.0,1.0
10,Fayette,10.0,46039.0,1.0
11,Gilmer,2.0,4149.0,0.477
12,Gilmer,12.0,4544.0,0.523
13,Grant,11.0,8694.0,0.728
14,Grant,14.0,3243.0,0.272
15,Greenbrier,10.0,35480.0,1.0
16,Hampshire,15.0,23964.0,1.0
17,Hancock,1.0,30676.0,1.0
18,Hardy,14.0,14025.0,1.0
19,Harrison,12.0,69099.0,1.0
20,Jackson,4.0,29211.0,1.0
21,Jefferson,16.0,53498.0,1.0
22,Kanawha,8.0,87404.0,0.453
23,Kanawha,17.0,105659.0,0.547
24,Lewis,12.0,16372.0,1.0
25,Lincoln,7.0,21720.0,1.0
26,Logan,7.0,36743.0,1.0
27,McDowell,6.0,19873.0,0.899
28,McDowell,9.0,2240.0,0.101
29,Marion,2.0,11152.0,0.198
30,Marion,13.0,45266.0,0.802
31,Marshall,1.0,4371.0,0.132
32,Marshall,2.0,28736.0,0.868
33,Mason,4.0,27324.0,1.0
34,Mercer,6.0,62264.0,1.0
35,Mineral,14.0,9386.0,0.333
36,Mineral,15.0,18826.0,0.667
37,Mingo,6.0,20107.0,0.749
38,Mingo,7.0,6732.0,0.251
39,Monongalia,2.0,14811.0,0.154
40,Monongalia,13.0,68282.0,0.71
41,Monongalia,14.0,13096.0,0.136
42,Monroe,10.0,13502.0,1.0
43,Morgan,15.0,17541.0,1.0
44,Nicholas,11.0,26233.0,1.0
45,Ohio,1.0,44443.0,1.0
46,Pendleton,11.0,7695.0,1.0
47,Pleasants,3.0,7605.0,1.0
48,Pocahontas,11.0,8719.0,1.0
49,Preston,14.0,33520.0,1.0
50,Putnam,4.0,38338.0,0.691
51,Putnam,8.0,17148.0,0.309
52,Raleigh,9.0,78859.0,1.0
53,Randolph,11.0,29405.0,1.0
54,Ritchie,2.0,10449.0,1.0
55,Roane,3.0,5609.0,0.376
56,Roane,4.0,9317.0,0.624
57,Summers,10.0,13927.0,1.0
58,Taylor,14.0,16895.0,1.0
59,Tucker,14.0,7141.0,1.0
60,Tyler,2.0,9208.0,1.0
61,Upshur,11.0,24254.0,1.0
62,Wayne,5.0,16590.0,0.391
63,Wayne,6.0,11617.0,0.273
64,Wayne,7.0,14274.0,0.336
65,Webster,11.0,9154.0,1.0
66,Wetzel,2.0,16583.0,1.0
67,Wirt,3.0,5717.0,1.0
68,Wood,3.0,86956.0,1.0
69,Wyoming,9.0,23796.0,1.0
