,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,Lake,65338,1.0
1,2,Lake,64742,1.0
2,3,Lake,64574,1.0
3,4,Porter,64610,1.0
4,5,St. Joseph,64704,1.0
5,6,St. Joseph,64590,1.0
6,7,St. Joseph,64743,1.0
7,8,La Porte,6694,0.103
8,8,St. Joseph,58184,0.897
9,9,La Porte,53544,0.825
10,9,Porter,11327,0.175
11,10,Porter,64763,1.0
12,11,Lake,45886,0.712
13,11,Porter,18556,0.288
14,12,Lake,65385,1.0
15,13,Benton,8854,0.137
16,13,Fountain,12124,0.187
17,13,Jasper,2584,0.04
18,13,Montgomery,4111,0.064
19,13,Newton,5009,0.077
20,13,Tippecanoe,21740,0.336
21,13,Warren,8090,0.125
22,13,White,2193,0.034
23,14,Lake,65082,1.0
24,15,Lake,64849,1.0
25,16,Fulton,1966,0.03
26,16,Jasper,30894,0.474
27,16,Newton,9235,0.142
28,16,Pulaski,13402,0.206
29,16,Starke,9622,0.148
30,17,Fulton,17256,0.268
31,17,Marshall,47051,0.732
32,18,Grant,3576,0.055
33,18,Kosciusko,26646,0.41
34,18,Miami,1956,0.03
35,18,Wabash,32888,0.505
36,19,Lake,60149,0.922
37,19,Porter,5087,0.078
38,20,La Porte,51229,0.789
39,20,Starke,13741,0.211
40,21,Elkhart,50586,0.775
41,21,St. Joseph,14710,0.225
42,22,Elkhart,14335,0.22
43,22,Kosciusko,50712,0.78
44,23,Cass,28283,0.436
45,23,Fulton,1614,0.025
46,23,Miami,34947,0.539
47,24,Boone,25085,0.384
48,24,Hamilton,40296,0.616
49,25,Carroll,12193,0.189
50,25,Cass,4857,0.075
51,25,Clinton,6075,0.094
52,25,Tippecanoe,18804,0.292
53,25,White,22450,0.349
54,26,Tippecanoe,65085,1.0
55,27,Tippecanoe,64555,1.0
56,28,Boone,2866,0.044
57,28,Hendricks,61618,0.956
58,29,Hamilton,64546,1.0
59,30,Grant,8055,0.123
60,30,Howard,57347,0.877
61,31,Blackford,12621,0.196
62,31,Delaware,6925,0.107
63,31,Grant,43103,0.669
64,31,Wells,1773,0.028
65,32,Delaware,2027,0.031
66,32,Grant,15327,0.237
67,32,Hamilton,27310,0.422
68,32,Howard,1029,0.016
69,32,Madison,3029,0.047
70,32,Tipton,15936,0.246
71,33,Blackford,145,0.002
72,33,Delaware,17467,0.269
73,33,Jay,21253,0.327
74,33,Randolph,26171,0.402
75,34,Delaware,64466,1.0
76,35,Delaware,26786,0.411
77,35,Madison,38397,0.589
78,36,Madison,65038,1.0
79,37,Hamilton,64427,1.0
80,38,Carroll,7962,0.122
81,38,Cass,5826,0.089
82,38,Clinton,27149,0.416
83,38,Howard,24376,0.373
84,39,Hamilton,64353,1.0
85,40,Hendricks,65340,1.0
86,41,Boone,28689,0.439
87,41,Montgomery,34013,0.521
88,41,Tippecanoe,2596,0.04
89,42,Clay,15179,0.236
90,42,Fountain,5116,0.08
91,42,Parke,14617,0.227
92,42,Vermillion,16212,0.252
93,42,Vigo,12732,0.198
94,42,Warren,418,0.007
95,43,Vigo,65039,1.0
96,44,Clay,5422,0.084
97,44,Morgan,14503,0.224
98,44,Owen,4045,0.063
99,44,Parke,2722,0.042
100,44,Putnam,37963,0.587
101,45,Daviess,903,0.014
102,45,Greene,3921,0.06
103,45,Knox,32501,0.499
104,45,Sullivan,21475,0.33
105,45,Vigo,6319,0.097
106,46,Clay,6289,0.097
107,46,Monroe,17259,0.266
108,46,Owen,17530,0.27
109,46,Vigo,23758,0.366
110,47,Johnson,53357,0.826
111,47,Morgan,11227,0.174
112,48,Elkhart,65059,1.0
113,49,Elkhart,64616,1.0
114,50,Allen,21961,0.337
115,50,Huntington,37124,0.57
116,50,Wells,6061,0.093
117,51,Lagrange,33736,0.521
118,51,Steuben,31040,0.479
119,52,Allen,19530,0.301
120,52,De Kalb,42223,0.651
121,52,Steuben,3145,0.048
122,53,Hancock,40065,0.614
123,53,Madison,25172,0.386
124,54,Henry,49462,0.759
125,54,Rush,11690,0.179
126,54,Wayne,4048,0.062
127,55,Decatur,18815,0.291
128,55,Fayette,24277,0.375
129,55,Franklin,6076,0.094
130,55,Ripley,9855,0.152
131,55,Rush,5702,0.088
132,56,Wayne,64869,1.0
133,57,Bartholomew,11178,0.174
134,57,Hancock,8669,0.135
135,57,Shelby,44436,0.691
136,58,Johnson,64591,1.0
137,59,Bartholomew,64321,1.0
138,60,Monroe,21472,0.332
139,60,Morgan,43164,0.668
140,61,Monroe,64380,1.0
141,62,Daviess,3295,0.051
142,62,Greene,29244,0.449
143,62,Martin,3101,0.048
144,62,Monroe,29503,0.453
145,63,Daviess,27450,0.42
146,63,Dubois,24950,0.382
147,63,Martin,7233,0.111
148,63,Pike,5694,0.087
149,64,Gibson,33503,0.521
150,64,Knox,5939,0.092
151,64,Pike,1205,0.019
152,64,Posey,3294,0.051
153,64,Vanderburgh,20332,0.316
154,65,Brown,15242,0.235
155,65,Jackson,1738,0.027
156,65,Johnson,5342,0.082
157,65,Lawrence,37119,0.573
158,65,Monroe,5360,0.083
159,66,Clark,19629,0.304
160,66,Jefferson,20739,0.321
161,66,Scott,24181,0.375
162,67,Dearborn,9953,0.154
163,67,Decatur,6925,0.107
164,67,Jefferson,5815,0.09
165,67,Jennings,6066,0.094
166,67,Ohio,6128,0.095
167,67,Ripley,18963,0.294
168,67,Switzerland,10613,0.165
169,68,Dearborn,40094,0.62
170,68,Franklin,17011,0.263
171,68,Union,7516,0.116
172,69,Bartholomew,1295,0.02
173,69,Jackson,35019,0.542
174,69,Jefferson,5874,0.091
175,69,Jennings,22459,0.347
176,70,Clark,18057,0.278
177,70,Floyd,9647,0.148
178,70,Harrison,37300,0.574
179,71,Clark,65078,1.0
180,72,Floyd,64931,1.0
181,73,Clark,7468,0.116
182,73,Harrison,2064,0.032
183,73,Jackson,5619,0.087
184,73,Lawrence,9015,0.14
185,73,Orange,12122,0.188
186,73,Washington,28262,0.438
187,74,Crawford,10713,0.166
188,74,Dubois,16939,0.262
189,74,Orange,7718,0.119
190,74,Perry,19338,0.299
191,74,Spencer,9911,0.153
192,75,Pike,5946,0.092
193,75,Spencer,11041,0.171
194,75,Warrick,47557,0.737
195,76,Posey,22616,0.351
196,76,Vanderburgh,41826,0.649
197,77,Vanderburgh,65099,1.0
198,78,Vanderburgh,52446,0.812
199,78,Warrick,12132,0.188
200,79,Adams,34387,0.528
201,79,Allen,10900,0.167
202,79,Wells,19802,0.304
203,80,Allen,65207,1.0
204,81,Allen,65275,1.0
205,82,Allen,5158,0.08
206,82,Elkhart,2963,0.046
207,82,Lagrange,3392,0.053
208,82,Noble,47536,0.738
209,82,Whitley,5327,0.083
210,83,Allen,36998,0.57
211,83,Whitley,27965,0.43
212,84,Allen,65290,1.0
213,85,Allen,65010,1.0
214,86,Marion,64808,1.0
215,87,Marion,65113,1.0
216,88,Hamilton,13637,0.21
217,88,Hancock,21268,0.327
218,88,Marion,30060,0.463
219,89,Marion,64282,1.0
220,90,Marion,64898,1.0
221,91,Hendricks,18490,0.287
222,91,Marion,45943,0.713
223,92,Marion,64779,1.0
224,93,Johnson,16364,0.252
225,93,Marion,48656,0.748
226,94,Marion,64535,1.0
227,95,Marion,65269,1.0
228,96,Marion,64359,1.0
229,97,Marion,65372,1.0
230,98,Marion,64707,1.0
231,99,Marion,65239,1.0
232,100,Marion,65373,1.0
