,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,Ballard,8249,0.199
1,1,Carlisle,5104,0.123
2,1,Fulton,6813,0.164
3,1,Hickman,4902,0.118
4,1,McCracken,16419,0.396
5,2,Graves,37121,0.869
6,2,McCracken,5611,0.131
7,3,McCracken,41319,1.0
8,4,Caldwell,12984,0.312
9,4,Christian,9739,0.234
10,4,Crittenden,9315,0.224
11,4,Livingston,9519,0.229
12,5,Calloway,37191,0.82
13,5,Trigg,8171,0.18
14,6,Lyon,8314,0.198
15,6,McCracken,2216,0.053
16,6,Marshall,31448,0.749
17,7,Daviess,22616,0.516
18,7,Henderson,6204,0.142
19,7,Union,15007,0.342
20,8,Christian,39354,0.865
21,8,Trigg,6168,0.135
22,9,Christian,24862,0.603
23,9,Hopkins,16395,0.397
24,10,Breckinridge,20059,0.448
25,10,Hancock,8565,0.191
26,10,Hardin,16119,0.36
27,11,Daviess,4113,0.093
28,11,Henderson,40046,0.907
29,12,Daviess,5731,0.126
30,12,Hopkins,16516,0.364
31,12,McLean,9531,0.21
32,12,Webster,13621,0.3
33,13,Daviess,43713,1.0
34,14,Daviess,20483,0.462
35,14,Ohio,23842,0.538
36,15,Hopkins,14009,0.308
37,15,Muhlenberg,31499,0.692
38,16,Logan,26835,0.646
39,16,Todd,12460,0.3
40,16,Warren,2253,0.054
41,17,Butler,12690,0.3
42,17,Warren,29556,0.7
43,18,Grayson,25746,0.602
44,18,Hardin,17017,0.398
45,19,Edmonson,12161,0.27
46,19,Warren,32934,0.73
47,20,Warren,43618,1.0
48,21,Hardin,2279,0.055
49,21,Hart,18199,0.438
50,21,Metcalfe,10099,0.243
51,21,Monroe,10963,0.264
52,22,Allen,19956,0.472
53,22,Simpson,17327,0.41
54,22,Warren,4986,0.118
55,23,Barren,42173,0.99
56,23,Warren,445,0.01
57,24,Green,11258,0.249
58,24,Larue,14193,0.314
59,24,Marion,19820,0.438
60,25,Hardin,42178,1.0
61,26,Bullitt,29407,0.694
62,26,Hardin,12995,0.306
63,27,Hardin,14955,0.343
64,27,Meade,28602,0.657
65,28,Jefferson,41468,1.0
