,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,San Juan,29636,1.0
1,2,San Juan,28980,1.0
2,3,San Juan,28852,1.0
3,4,San Juan,29914,1.0
4,5,McKinley,22083,0.77
5,5,San Juan,6588,0.23
6,6,Cibola,10207,0.346
7,6,McKinley,19309,0.654
8,7,Valencia,29216,1.0
9,8,Valencia,29558,1.0
10,9,McKinley,25722,0.916
11,9,San Juan,2363,0.084
12,10,Bernalillo,29686,1.0
13,11,Bernalillo,29464,1.0
14,12,Bernalillo,29595,1.0
15,13,Bernalillo,29571,1.0
16,14,Bernalillo,29560,1.0
17,15,Bernalillo,29629,1.0
18,16,Bernalillo,29421,1.0
19,17,Bernalillo,29603,1.0
20,18,Bernalillo,29649,1.0
21,19,Bernalillo,29695,1.0
22,20,Bernalillo,29943,1.0
23,21,Bernalillo,29497,1.0
24,22,Bernalillo,17872,0.601
25,22,Sandoval,6458,0.217
26,22,Santa Fe,5390,0.181
27,23,Bernalillo,18826,0.639
28,23,Sandoval,10614,0.361
29,24,Bernalillo,29650,1.0
30,25,Bernalillo,29179,1.0
31,26,Bernalillo,29605,1.0
32,27,Bernalillo,29807,1.0
33,28,Bernalillo,29804,1.0
34,29,Bernalillo,29576,1.0
35,30,Bernalillo,29226,1.0
36,31,Bernalillo,29672,1.0
37,32,Grant,89,0.003
38,32,Hidalgo,4511,0.152
39,32,Luna,25095,0.845
40,33,Dona Ana,29431,1.0
41,34,Dona Ana,29182,1.0
42,35,Dona Ana,29347,1.0
43,36,Dona Ana,29243,1.0
44,37,Dona Ana,29648,1.0
45,38,Grant,18279,0.628
46,38,Hidalgo,383,0.013
47,38,Sierra,10426,0.358
48,39,Dona Ana,16931,0.571
49,39,Grant,11146,0.376
50,39,Sierra,1562,0.053
51,40,Colfax,5720,0.196
52,40,Mora,4881,0.167
53,40,Rio Arriba,12514,0.428
54,40,San Miguel,6130,0.21
55,41,Rio Arriba,23538,0.801
56,41,Santa Fe,2089,0.071
57,41,Taos,3766,0.128
58,42,Taos,29171,1.0
59,43,Los Alamos,17950,0.605
60,43,Rio Arriba,713,0.024
61,43,Sandoval,4488,0.151
62,43,Santa Fe,6500,0.219
63,44,Sandoval,29392,1.0
64,45,Santa Fe,29432,1.0
65,46,Santa Fe,29228,1.0
66,47,Santa Fe,29664,1.0
67,48,Santa Fe,29543,1.0
68,49,Catron,3725,0.126
69,49,Socorro,16324,0.551
70,49,Valencia,9581,0.323
71,50,Bernalillo,539,0.018
72,50,Santa Fe,11971,0.402
73,50,Torrance,9877,0.332
74,50,Valencia,7390,0.248
75,51,Otero,29413,1.0
76,52,Dona Ana,29394,1.0
77,53,Dona Ana,16057,0.541
78,53,Otero,13625,0.459
79,54,Chaves,893,0.03
80,54,Eddy,24417,0.831
81,54,Otero,4064,0.138
82,55,Eddy,29412,1.0
83,56,Lincoln,12521,0.429
84,56,Otero,16695,0.571
85,57,Sandoval,29663,1.0
86,58,Chaves,29445,1.0
87,59,Chaves,21639,0.731
88,59,Lincoln,7976,0.269
89,60,Sandoval,29174,1.0
90,61,Lea,29473,1.0
91,62,Lea,29150,1.0
92,63,Curry,16590,0.572
93,63,DeBaca,2022,0.07
94,63,Guadalupe,4687,0.162
95,63,Roosevelt,5486,0.189
96,63,San Miguel,215,0.007
97,64,Curry,29526,1.0
98,65,Rio Arriba,3481,0.125
99,65,Sandoval,21772,0.779
100,65,San Juan,2695,0.096
101,66,Chaves,13668,0.461
102,66,Lea,6104,0.206
103,66,Roosevelt,9897,0.334
104,67,Colfax,8030,0.274
105,67,Curry,2260,0.077
106,67,Harding,695,0.024
107,67,Quay,9041,0.309
108,67,Roosevelt,4463,0.152
109,67,San Miguel,253,0.009
110,67,Union,4549,0.155
111,68,Bernalillo,29451,1.0
112,69,Bernalillo,4044,0.14
113,69,Cibola,17006,0.59
114,69,McKinley,4378,0.152
115,69,San Juan,1016,0.035
116,69,Socorro,1542,0.054
117,69,Valencia,824,0.029
118,70,San Miguel,22795,0.769
119,70,Santa Fe,353,0.012
120,70,Torrance,6506,0.219
