,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
0,1,Wayne,114520,1.0
1,2,Richland,124475,1.0
2,3,Wood,125488,1.0
3,4,Allen,106331,1.0
4,5,Columbiana,107841,1.0
5,6,Cuyahoga,121328,1.0
6,7,Cuyahoga,116912,1.0
7,8,Cuyahoga,118631,1.0
8,9,Cuyahoga,121456,1.0
9,10,Cuyahoga,116431,1.0
10,11,Cuyahoga,117361,1.0
11,12,Cuyahoga,113359,1.0
12,13,Cuyahoga,112814,1.0
13,14,Cuyahoga,111538,1.0
14,15,Cuyahoga,112243,1.0
15,16,Cuyahoga,118049,1.0
16,17,Franklin,111751,1.0
17,18,Franklin,114707,1.0
18,19,Franklin,111542,1.0
19,20,Franklin,117100,1.0
20,21,Franklin,117030,1.0
21,22,Franklin,118727,1.0
22,23,Franklin,119836,1.0
23,24,Franklin,111308,1.0
24,25,Franklin,120363,1.0
25,26,Franklin,121050,1.0
26,27,Hamilton,112804,1.0
27,28,Hamilton,120561,1.0
28,29,Hamilton,114308,1.0
29,30,Hamilton,111804,1.0
30,31,Hamilton,111683,1.0
31,32,Hamilton,119829,1.0
32,33,Hamilton,111385,1.0
33,34,Summit,111642,1.0
34,35,Summit,115493,1.0
35,36,Summit,117225,1.0
36,37,Summit,116920,1.0
37,38,Stark,31719,0.283
38,38,Summit,80501,0.717
39,39,Montgomery,112123,1.0
40,40,Montgomery,117905,1.0
41,41,Montgomery,117028,1.0
42,42,Montgomery,111209,1.0
43,43,Montgomery,76888,0.645
44,43,Preble,42270,0.355
45,44,Lucas,119850,1.0
46,45,Lucas,115199,1.0
47,46,Lucas,119564,1.0
48,47,Fulton,28316,0.245
49,47,Lucas,87202,0.755
50,48,Stark,111582,1.0
51,49,Stark,120485,1.0
52,50,Stark,111800,1.0
53,51,Butler,113750,1.0
54,52,Butler,118753,1.0
55,53,Butler,117130,1.0
56,54,Butler,18497,0.154
57,54,Warren,101764,0.846
58,55,Lorain,118452,1.0
59,56,Lorain,120262,1.0
60,57,Huron,59626,0.488
61,57,Lorain,62642,0.512
62,58,Mahoning,121674,1.0
63,59,Mahoning,117149,1.0
64,60,Lake,112565,1.0
65,61,Lake,117476,1.0
66,62,Warren,110929,1.0
67,63,Trumbull,111058,1.0
68,64,Ashtabula,11407,0.103
69,64,Trumbull,99254,0.897
70,65,Clermont,122159,1.0
71,66,Brown,44846,0.374
72,66,Clermont,75204,0.626
73,67,Delaware,118314,1.0
74,68,Delaware,55900,0.478
75,68,Knox,60921,0.521
76,68,Licking,5,0.0
77,69,Medina,118563,1.0
78,70,Ashland,53139,0.444
79,70,Holmes,12788,0.107
80,70,Medina,53769,0.449
81,71,Licking,118837,1.0
82,72,Coshocton,36901,0.306
83,72,Licking,47650,0.395
84,72,Perry,36058,0.299
85,73,Greene,111779,1.0
86,74,Clark,19150,0.17
87,74,Greene,49794,0.443
88,74,Madison,43435,0.387
89,75,Portage,118140,1.0
90,76,Geauga,72481,0.626
91,76,Portage,43279,0.374
92,77,Fairfield,115071,1.0
93,78,Athens,4480,0.037
94,78,Fairfield,31085,0.255
95,78,Hocking,29380,0.241
96,78,Morgan,15054,0.124
97,78,Muskingum,8400,0.069
98,78,Pickaway,33302,0.274
99,79,Clark,119183,1.0
100,80,Darke,19137,0.157
101,80,Miami,102506,0.843
102,81,Fulton,14382,0.125
103,81,Henry,28215,0.246
104,81,Putnam,34499,0.301
105,81,Williams,37642,0.328
106,82,Auglaize,23357,0.211
107,82,Defiance,39037,0.352
108,82,Paulding,19614,0.177
109,82,Van Wert,28744,0.26
110,83,Hancock,74782,0.662
111,83,Hardin,32058,0.284
112,83,Logan,6067,0.054
113,84,Auglaize,22592,0.196
114,84,Darke,33822,0.294
115,84,Mercer,40814,0.354
116,84,Shelby,17982,0.156
117,85,Champaign,40097,0.36
118,85,Logan,39791,0.357
119,85,Shelby,31441,0.282
120,86,Marion,59779,0.533
121,86,Union,52300,0.467
122,87,Crawford,43784,0.391
123,87,Marion,6722,0.06
124,87,Morrow,34827,0.311
125,87,Seneca,3895,0.035
126,87,Wyandot,22615,0.202
127,88,Sandusky,60944,0.536
128,88,Seneca,52850,0.464
129,89,Erie,77079,0.65
130,89,Ottawa,41428,0.35
131,90,Adams,28550,0.233
132,90,Lawrence,14221,0.116
133,90,Scioto,79499,0.65
134,91,Clinton,42040,0.344
135,91,Highland,43589,0.357
136,91,Pike,28709,0.235
137,91,Ross,7925,0.065
138,92,Fayette,29030,0.239
139,92,Pickaway,22396,0.184
140,92,Ross,70139,0.577
141,93,Gallia,30934,0.256
142,93,Jackson,33225,0.275
143,93,Lawrence,48229,0.399
144,93,Vinton,8483,0.07
145,94,Athens,60277,0.5
146,94,Meigs,23770,0.197
147,94,Vinton,4952,0.041
148,94,Washington,31654,0.262
149,95,Belmont,32451,0.266
150,95,Carroll,28836,0.237
151,95,Harrison,15864,0.13
152,95,Noble,14645,0.12
153,95,Washington,30124,0.247
154,96,Belmont,37949,0.31
155,96,Jefferson,69709,0.57
156,96,Monroe,14642,0.12
157,97,Guernsey,40087,0.34
158,97,Muskingum,77674,0.66
159,98,Holmes,29578,0.242
160,98,Tuscarawas,92582,0.758
161,99,Ashtabula,90090,0.812
162,99,Geauga,20908,0.188
