,SD #.1,County.1,"County Pop.
in SD","% of SD
in County"
0,1.0,Hartford,95421.0,1.0
1,2.0,Hartford,95378.0,1.0
2,3.0,Hartford,88123.0,0.878
3,3.0,Tolland,12252.0,0.122
4,4.0,Hartford,92668.0,0.918
5,4.0,Tolland,8283.0,0.082
6,5.0,Hartford,97590.0,1.0
7,6.0,Hartford,96421.0,1.0
8,7.0,Hartford,91178.0,0.888
9,7.0,Tolland,11444.0,0.112
10,8.0,Hartford,54719.0,0.565
11,8.0,Litchfield,42051.0,0.435
12,9.0,Hartford,54850.0,0.532
13,9.0,Middlesex,48230.0,0.468
14,10.0,New Haven,96843.0,1.0
15,11.0,New Haven,97787.0,1.0
16,12.0,Middlesex,11709.0,0.124
17,12.0,New Haven,83077.0,0.876
18,13.0,Middlesex,17848.0,0.181
19,13.0,New Haven,80632.0,0.819
20,14.0,New Haven,94431.0,1.0
21,15.0,New Haven,100668.0,1.0
22,16.0,Hartford,43069.0,0.417
23,16.0,New Haven,60290.0,0.583
24,17.0,New Haven,98963.0,1.0
25,18.0,New London,83237.0,0.812
26,18.0,Windham,19235.0,0.188
27,19.0,Hartford,6404.0,0.064
28,19.0,New London,79088.0,0.786
29,19.0,Tolland,15168.0,0.151
30,20.0,Middlesex,3852.0,0.04
31,20.0,New London,93256.0,0.96
32,21.0,Fairfield,96099.0,0.966
33,21.0,New Haven,3369.0,0.034
34,22.0,Fairfield,98546.0,1.0
35,23.0,Fairfield,96024.0,1.0
36,24.0,Fairfield,103178.0,1.0
37,25.0,Fairfield,99794.0,1.0
38,26.0,Fairfield,104154.0,1.0
39,27.0,Fairfield,103721.0,1.0
40,28.0,Fairfield,101971.0,1.0
41,29.0,Tolland,26543.0,0.257
42,29.0,Windham,76748.0,0.743
43,30.0,Fairfield,16452.0,0.171
44,30.0,Litchfield,79982.0,0.829
45,31.0,Hartford,78193.0,0.763
46,31.0,Litchfield,24231.0,0.237
47,32.0,Litchfield,43663.0,0.462
48,32.0,New Haven,50798.0,0.538
49,33.0,Middlesex,81833.0,0.816
50,33.0,New London,18474.0,0.184
51,33.0,Tolland,3.0,0.0
52,34.0,Middlesex,2204.0,0.023
53,34.0,New Haven,95619.0,0.977
54,35.0,Tolland,78998.0,0.779
55,35.0,Windham,22445.0,0.221
56,36.0,Fairfield,96890.0,1.0
