,SD #.1,County.1,"County Pop.
in SD","% of SD
in County"
0,1.0,New Castle,41995.0,1.0
1,2.0,New Castle,41184.0,1.0
2,3.0,New Castle,40878.0,1.0
3,4.0,New Castle,41287.0,1.0
4,5.0,New Castle,40722.0,1.0
5,6.0,Sussex,41985.0,1.0
6,7.0,New Castle,42033.0,1.0
7,8.0,New Castle,44063.0,1.0
8,9.0,New Castle,41073.0,1.0
9,10.0,New Castle,44841.0,1.0
10,11.0,New Castle,42149.0,1.0
11,12.0,New Castle,44750.0,1.0
12,13.0,New Castle,42134.0,1.0
13,14.0,Kent,13465.0,0.3
14,14.0,New Castle,31370.0,0.7
15,15.0,Kent,44527.0,1.0
16,16.0,Kent,41359.0,1.0
17,17.0,Kent,44707.0,1.0
18,18.0,Kent,18252.0,0.403
19,18.0,Sussex,27059.0,0.597
20,19.0,Sussex,42775.0,1.0
21,20.0,Sussex,42523.0,1.0
22,21.0,Sussex,42803.0,1.0
