,SD #.1,County.1,"County Pop.
in SD","% of SD
in County"
0,1.0,Hawaii,45714.0,1.0
1,2.0,Hawaii,46920.0,1.0
2,3.0,Hawaii,47398.0,1.0
3,4.0,Hawaii,45047.0,1.0
4,5.0,Maui,53973.0,1.0
5,6.0,Maui,49400.0,1.0
6,7.0,Kalawao,90.0,0.002
7,7.0,Maui,51461.0,0.998
8,8.0,Kauai,67091.0,1.0
9,9.0,Honolulu,54643.0,1.0
10,10.0,Honolulu,55558.0,1.0
11,11.0,Honolulu,56913.0,1.0
12,12.0,Honolulu,57419.0,1.0
13,13.0,Honolulu,54590.0,1.0
14,14.0,Honolulu,52805.0,1.0
15,15.0,Honolulu,66817.0,1.0
16,16.0,Honolulu,58384.0,1.0
17,17.0,Honolulu,51123.0,1.0
18,18.0,Honolulu,57318.0,1.0
19,19.0,Honolulu,54661.0,1.0
20,20.0,Honolulu,52806.0,1.0
21,21.0,Honolulu,51669.0,1.0
22,22.0,Honolulu,54353.0,1.0
23,23.0,Honolulu,58255.0,1.0
24,24.0,Honolulu,62011.0,1.0
25,25.0,Honolulu,53882.0,1.0
