,SD #.1,County.1,"County Pop.
in SD","% of SD
in County"
0,1.0,Lake,130220.0,1.0
1,2.0,Lake,128315.0,1.0
2,3.0,Lake,130413.0,1.0
3,4.0,La Porte,39944.0,0.312
4,4.0,Porter,88254.0,0.688
5,5.0,Jasper,26067.0,0.202
6,5.0,La Porte,4275.0,0.033
7,5.0,Porter,76089.0,0.59
8,5.0,Pulaski,13402.0,0.104
9,5.0,Starke,9172.0,0.071
10,6.0,Benton,8854.0,0.068
11,6.0,Lake,107057.0,0.823
12,6.0,Newton,14244.0,0.109
13,7.0,Boone,9581.0,0.075
14,7.0,Carroll,13389.0,0.104
15,7.0,Clinton,31503.0,0.245
16,7.0,Jasper,7411.0,0.058
17,7.0,Tippecanoe,41948.0,0.327
18,7.0,White,24643.0,0.192
19,8.0,La Porte,67248.0,0.525
20,8.0,St. Joseph,46604.0,0.364
21,8.0,Starke,14191.0,0.111
22,9.0,Elkhart,22546.0,0.172
23,9.0,Kosciusko,55964.0,0.427
24,9.0,Marshall,34792.0,0.266
25,9.0,St. Joseph,17677.0,0.135
26,10.0,St. Joseph,129311.0,1.0
27,11.0,Elkhart,55568.0,0.431
28,11.0,St. Joseph,73339.0,0.569
29,12.0,Elkhart,119445.0,0.934
30,12.0,Kosciusko,8428.0,0.066
31,13.0,De Kalb,12058.0,0.092
32,13.0,Lagrange,37128.0,0.284
33,13.0,Noble,47536.0,0.363
34,13.0,Steuben,34185.0,0.261
35,14.0,Allen,99161.0,0.767
36,14.0,De Kalb,30165.0,0.233
37,15.0,Allen,129156.0,1.0
38,16.0,Allen,127012.0,0.982
39,16.0,Whitley,2341.0,0.018
40,17.0,Grant,36303.0,0.282
41,17.0,Huntington,28447.0,0.221
42,17.0,Wabash,32888.0,0.256
43,17.0,Whitley,30951.0,0.241
44,18.0,Carroll,6766.0,0.053
45,18.0,Cass,38966.0,0.303
46,18.0,Fulton,20836.0,0.162
47,18.0,Kosciusko,12966.0,0.101
48,18.0,Marshall,12259.0,0.095
49,18.0,Miami,36903.0,0.287
50,19.0,Adams,34387.0,0.268
51,19.0,Blackford,12766.0,0.099
52,19.0,Grant,23665.0,0.184
53,19.0,Huntington,8677.0,0.068
54,19.0,Jay,21253.0,0.166
55,19.0,Wells,27636.0,0.215
56,20.0,Hamilton,129604.0,1.0
57,21.0,Clinton,1721.0,0.013
58,21.0,Grant,10093.0,0.079
59,21.0,Hamilton,17712.0,0.138
60,21.0,Howard,82752.0,0.645
61,21.0,Tipton,15936.0,0.124
62,22.0,Tippecanoe,130832.0,1.0
63,23.0,Boone,31572.0,0.245
64,23.0,Fountain,17240.0,0.134
65,23.0,Montgomery,38124.0,0.296
66,23.0,Parke,17339.0,0.134
67,23.0,Vermillion,16212.0,0.126
68,23.0,Warren,8508.0,0.066
69,24.0,Hendricks,111832.0,0.857
70,24.0,Putnam,18611.0,0.143
71,25.0,Delaware,83158.0,0.632
72,25.0,Madison,48453.0,0.368
73,26.0,Delaware,34513.0,0.263
74,26.0,Henry,13674.0,0.104
75,26.0,Madison,83183.0,0.633
76,27.0,Dearborn,10791.0,0.084
77,27.0,Fayette,607.0,0.005
78,27.0,Franklin,14059.0,0.11
79,27.0,Randolph,26171.0,0.204
80,27.0,Union,7516.0,0.059
81,27.0,Wayne,68917.0,0.538
82,28.0,Hancock,70002.0,0.543
83,28.0,Marion,46012.0,0.357
84,28.0,Shelby,12930.0,0.1
85,29.0,Boone,15487.0,0.119
86,29.0,Hamilton,37004.0,0.284
87,29.0,Marion,77699.0,0.597
88,30.0,Hamilton,38636.0,0.294
89,30.0,Marion,92887.0,0.706
90,31.0,Hamilton,51613.0,0.395
91,31.0,Marion,78942.0,0.605
92,32.0,Marion,129932.0,1.0
93,33.0,Marion,130728.0,1.0
94,34.0,Marion,130503.0,1.0
95,35.0,Hendricks,33616.0,0.257
96,35.0,Marion,97123.0,0.743
97,36.0,Johnson,11982.0,0.091
98,36.0,Marion,119567.0,0.909
99,37.0,Johnson,36136.0,0.28
100,37.0,Morgan,68894.0,0.533
101,37.0,Owen,4811.0,0.037
102,37.0,Putnam,19352.0,0.15
103,38.0,Clay,20601.0,0.16
104,38.0,Vigo,107848.0,0.84
105,39.0,Clay,6289.0,0.049
106,39.0,Daviess,31648.0,0.246
107,39.0,Greene,33165.0,0.258
108,39.0,Knox,8842.0,0.069
109,39.0,Martin,10334.0,0.08
110,39.0,Owen,16764.0,0.13
111,39.0,Sullivan,21475.0,0.167
112,40.0,Monroe,130980.0,1.0
113,41.0,Bartholomew,39765.0,0.303
114,41.0,Johnson,91536.0,0.697
115,42.0,Decatur,1767.0,0.014
116,42.0,Fayette,23670.0,0.183
117,42.0,Franklin,9028.0,0.07
118,42.0,Henry,35788.0,0.277
119,42.0,Ripley,9855.0,0.076
120,42.0,Rush,17392.0,0.135
121,42.0,Shelby,31506.0,0.244
122,43.0,Bartholomew,11994.0,0.092
123,43.0,Dearborn,39256.0,0.301
124,43.0,Decatur,23973.0,0.184
125,43.0,Jackson,1736.0,0.013
126,43.0,Jennings,28525.0,0.218
127,43.0,Ohio,6128.0,0.047
128,43.0,Ripley,18963.0,0.145
129,44.0,Bartholomew,25035.0,0.194
130,44.0,Brown,15242.0,0.118
131,44.0,Jackson,35431.0,0.275
132,44.0,Lawrence,46134.0,0.358
133,44.0,Monroe,6994.0,0.054
134,45.0,Clark,56634.0,0.439
135,45.0,Jackson,5209.0,0.04
136,45.0,Jefferson,32428.0,0.251
137,45.0,Scott,24181.0,0.187
