,SD #.1,County.1,"County Pop.
in SD","% of SD
in County"
0,1.0,Bowie,92565.0,0.113
1,1.0,Camp,12401.0,0.015
2,1.0,Cass,30464.0,0.037
3,1.0,Franklin,10605.0,0.013
4,1.0,Gregg,121730.0,0.148
5,1.0,Harrison,65631.0,0.08
6,1.0,Lamar,49793.0,0.061
7,1.0,Marion,10546.0,0.013
8,1.0,Morris,12934.0,0.016
9,1.0,Panola,23796.0,0.029
10,1.0,Red River,12860.0,0.016
11,1.0,Rusk,53330.0,0.065
12,1.0,Smith,209714.0,0.256
13,1.0,Titus,32334.0,0.039
14,1.0,Upshur,39309.0,0.048
15,1.0,Wood,41964.0,0.051
16,2.0,Dallas,402908.0,0.498
17,2.0,Delta,5231.0,0.006
18,2.0,Fannin,33915.0,0.042
19,2.0,Hopkins,35161.0,0.043
20,2.0,Hunt,86129.0,0.107
21,2.0,Kaufman,103350.0,0.128
22,2.0,Rains,10914.0,0.013
23,2.0,Rockwall,78337.0,0.097
24,2.0,Van Zandt,52579.0,0.065
25,3.0,Anderson,58458.0,0.069
26,3.0,Angelina,86771.0,0.103
27,3.0,Cherokee,50845.0,0.06
28,3.0,Hardin,54635.0,0.065
29,3.0,Henderson,78532.0,0.093
30,3.0,Houston,23732.0,0.028
31,3.0,Jasper,35710.0,0.042
32,3.0,Liberty,75643.0,0.09
33,3.0,Montgomery,65140.0,0.077
34,3.0,Nacogdoches,64524.0,0.076
35,3.0,Newton,14445.0,0.017
36,3.0,Orange,81837.0,0.097
37,3.0,Polk,45413.0,0.054
38,3.0,Sabine,10834.0,0.013
39,3.0,San Augustine,8865.0,0.011
40,3.0,San Jacinto,26384.0,0.031
41,3.0,Shelby,25448.0,0.03
42,3.0,Trinity,14585.0,0.017
43,3.0,Tyler,21766.0,0.026
44,4.0,Chambers,35096.0,0.043
45,4.0,Galveston,2417.0,0.003
46,4.0,Harris,135603.0,0.166
47,4.0,Jefferson,252273.0,0.309
48,4.0,Montgomery,390606.0,0.479
49,5.0,Brazos,194851.0,0.236
50,5.0,Freestone,19816.0,0.024
51,5.0,Grimes,26604.0,0.032
52,5.0,Leon,16801.0,0.02
53,5.0,Limestone,23384.0,0.028
54,5.0,Madison,13664.0,0.017
55,5.0,Milam,24757.0,0.03
56,5.0,Robertson,16622.0,0.02
57,5.0,Walker,67861.0,0.082
58,5.0,Williamson,422677.0,0.511
59,6.0,Harris,812881.0,1.0
60,7.0,Harris,809277.0,1.0
61,8.0,Collin,668605.0,0.841
62,8.0,Dallas,126295.0,0.159
63,9.0,Dallas,208574.0,0.256
64,9.0,Tarrant,606877.0,0.744
65,10.0,Tarrant,834267.0,1.0
66,11.0,Brazoria,216713.0,0.274
67,11.0,Galveston,288892.0,0.365
68,11.0,Harris,286165.0,0.361
69,12.0,Denton,546764.0,0.668
70,12.0,Tarrant,272074.0,0.332
71,13.0,Fort Bend,112495.0,0.139
72,13.0,Harris,696185.0,0.861
73,14.0,Bastrop,74171.0,0.089
74,14.0,Travis,760579.0,0.911
75,14.0,Williamson,2.0,0.0
76,15.0,Harris,793108.0,1.0
77,16.0,Dallas,816670.0,1.0
78,17.0,Brazoria,96453.0,0.12
79,17.0,Fort Bend,186302.0,0.232
80,17.0,Harris,521407.0,0.648
81,18.0,Aransas,23158.0,0.029
82,18.0,Austin,28417.0,0.035
